,num_bikes_available,num_bikes_disabled,is_installed,legacy_id,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,station_status,last_reported,is_returning,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
125,15,2,True,140,0,0,0,True,active,2020-08-14 01:00:27+00:00,True,140,False,2020-08-14 03:15:45,2020
126,14,0,True,141,0,1,0,True,active,2020-08-14 02:23:22+00:00,True,141,False,2020-08-14 03:15:45,2020
127,8,1,True,142,0,14,0,True,active,2020-08-14 03:08:18+00:00,True,142,False,2020-08-14 03:15:45,2020
128,19,1,True,143,0,3,0,True,active,2020-08-14 02:24:39+00:00,True,143,False,2020-08-14 03:15:45,2020
129,12,0,True,144,0,7,0,True,active,2020-08-14 01:09:44+00:00,True,144,False,2020-08-14 03:15:45,2020
130,19,0,True,145,0,0,0,True,active,2020-08-14 00:58:11+00:00,True,145,False,2020-08-14 03:15:45,2020
131,19,0,True,146,0,0,0,True,active,2020-08-14 02:35:31+00:00,True,146,False,2020-08-14 03:15:45,2020
132,6,1,True,149,0,11,0,True,active,2020-08-14 01:50:52+00:00,True,149,True,2020-08-14 03:15:45,2020
133,12,1,True,150,0,6,0,True,active,2020-08-14 03:03:22+00:00,True,150,False,2020-08-14 03:15:45,2020
134,0,1,True,151,0,18,0,True,active,2020-08-14 02:36:22+00:00,True,151,False,2020-08-14 03:15:45,2020
135,12,0,True,152,0,3,0,True,active,2020-08-14 01:01:17+00:00,True,152,True,2020-08-14 03:15:45,2020
136,9,0,True,156,0,6,0,True,active,2020-08-14 00:35:23+00:00,True,156,False,2020-08-14 03:15:45,2020
137,0,1,True,157,0,14,0,True,active,2020-08-14 03:15:33+00:00,True,157,False,2020-08-14 03:15:45,2020
138,6,0,True,159,0,9,0,True,active,2020-08-14 01:45:05+00:00,True,159,False,2020-08-14 03:15:45,2020
139,3,0,True,160,0,11,0,True,active,2020-08-14 02:38:11+00:00,True,160,True,2020-08-14 03:15:45,2020
140,12,2,True,161,0,9,0,True,active,2020-08-14 03:08:08+00:00,True,161,True,2020-08-14 03:15:45,2020
141,2,0,True,162,0,13,0,True,active,2020-08-14 00:05:05+00:00,True,162,False,2020-08-14 03:15:45,2020
142,8,0,True,163,0,11,0,True,active,2020-08-14 03:08:16+00:00,True,163,True,2020-08-14 03:15:45,2020
143,4,0,True,167,0,11,0,True,active,2020-08-14 01:40:14+00:00,True,167,False,2020-08-14 03:15:45,2020
144,9,0,True,169,0,10,0,True,active,2020-08-14 03:11:05+00:00,True,169,False,2020-08-14 03:15:45,2020
145,10,0,True,170,0,4,0,True,active,2020-08-14 03:11:17+00:00,True,170,True,2020-08-14 03:15:45,2020
146,10,0,True,171,0,13,0,True,active,2020-08-14 01:11:39+00:00,True,171,True,2020-08-14 03:15:45,2020
147,13,0,True,173,0,1,0,True,active,2020-08-14 02:39:41+00:00,True,173,True,2020-08-14 03:15:45,2020
148,5,2,True,174,0,8,0,True,active,2020-08-14 01:05:35+00:00,True,174,False,2020-08-14 03:15:45,2020
149,11,2,True,175,0,4,0,True,active,2020-08-14 02:40:32+00:00,True,175,True,2020-08-14 03:15:45,2020
150,11,0,True,176,0,4,0,True,active,2020-08-14 00:33:30+00:00,True,176,False,2020-08-14 03:15:45,2020
151,4,0,True,177,0,15,0,True,active,2020-08-14 03:15:12+00:00,True,177,False,2020-08-14 03:15:45,2020
152,9,0,True,178,0,10,0,True,active,2020-08-14 03:06:39+00:00,True,178,False,2020-08-14 03:15:45,2020
153,12,0,True,179,0,13,0,True,active,2020-08-14 03:11:10+00:00,True,179,False,2020-08-14 03:15:45,2020
154,8,0,True,180,0,11,0,True,active,2020-08-14 03:15:15+00:00,True,180,False,2020-08-14 03:15:45,2020
155,12,0,True,181,0,7,0,True,active,2020-08-14 00:22:00+00:00,True,181,False,2020-08-14 03:15:45,2020
156,5,0,True,182,0,14,0,True,active,2020-08-14 02:13:21+00:00,True,182,True,2020-08-14 03:15:45,2020
157,3,1,True,183,0,15,0,True,active,2020-08-14 03:08:58+00:00,True,183,False,2020-08-14 03:15:45,2020
158,4,0,True,184,0,15,0,True,active,2020-08-14 02:02:28+00:00,True,184,False,2020-08-14 03:15:45,2020
159,11,0,True,185,0,4,0,True,active,2020-08-14 03:07:23+00:00,True,185,False,2020-08-14 03:15:45,2020
160,4,0,True,186,0,11,0,True,active,2020-08-14 02:55:16+00:00,True,186,True,2020-08-14 03:15:45,2020
