,num_bikes_available,is_installed,num_docks_disabled,num_bikes_disabled,legacy_id,station_id,station_status,eightd_has_available_keys,num_ebikes_available,is_renting,is_returning,num_docks_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
160,10,True,0,1,186,186,active,True,0,True,True,4,2020-08-07 02:19:52+00:00,,,2020-08-07 03:51:25,2020
161,14,True,0,0,187,187,active,False,0,True,True,1,2020-08-07 02:45:53+00:00,,,2020-08-07 03:51:25,2020
162,14,True,0,0,188,188,active,False,0,True,True,1,2020-08-07 02:49:05+00:00,,,2020-08-07 03:51:25,2020
163,14,True,0,0,189,189,active,True,0,True,True,9,2020-08-07 03:24:15+00:00,,,2020-08-07 03:51:25,2020
164,20,True,0,0,190,190,active,True,0,True,True,17,2020-08-07 03:35:50+00:00,,,2020-08-07 03:51:25,2020
165,5,True,0,0,191,191,active,False,0,True,True,10,2020-08-07 02:31:05+00:00,,,2020-08-07 03:51:25,2020
166,5,True,0,0,192,192,active,False,0,True,True,14,2020-08-07 03:08:06+00:00,,,2020-08-07 03:51:25,2020
167,1,True,0,1,193,193,active,True,0,True,True,13,2020-08-06 23:50:56+00:00,,,2020-08-07 03:51:25,2020
168,6,True,0,0,194,194,active,False,0,True,True,13,2020-08-07 03:26:12+00:00,,,2020-08-07 03:51:25,2020
169,10,True,0,1,195,195,active,False,0,True,True,12,2020-08-07 02:30:21+00:00,,,2020-08-07 03:51:25,2020
170,10,True,0,0,196,196,active,True,0,True,True,0,2020-08-07 02:01:34+00:00,,,2020-08-07 03:51:25,2020
171,3,True,0,0,197,197,active,False,0,True,True,12,2020-08-06 23:36:42+00:00,,,2020-08-07 03:51:25,2020
172,5,True,0,0,199,199,active,False,0,True,True,10,2020-08-06 23:35:08+00:00,,,2020-08-07 03:51:25,2020
173,16,True,0,0,200,200,active,False,0,True,True,3,2020-08-07 00:17:56+00:00,,,2020-08-07 03:51:25,2020
174,4,True,0,0,201,201,active,False,0,True,True,11,2020-08-06 19:37:33+00:00,,,2020-08-07 03:51:25,2020
175,4,True,0,1,202,202,active,False,0,True,True,10,2020-08-07 03:25:13+00:00,,,2020-08-07 03:51:25,2020
176,3,True,0,0,203,203,active,False,0,True,True,12,2020-08-07 00:32:50+00:00,,,2020-08-07 03:51:25,2020
177,5,True,0,1,204,204,active,False,0,True,True,9,2020-08-07 02:42:59+00:00,,,2020-08-07 03:51:25,2020
178,8,True,0,0,205,205,active,False,0,True,True,7,2020-08-06 22:02:09+00:00,,,2020-08-07 03:51:25,2020
179,0,True,0,0,206,206,active,True,0,True,True,23,2020-08-07 01:17:10+00:00,,,2020-08-07 03:51:25,2020
180,10,True,0,0,208,208,active,True,0,True,True,5,2020-08-07 03:32:13+00:00,,,2020-08-07 03:51:25,2020
181,10,True,0,0,209,209,active,False,0,True,True,5,2020-08-06 23:51:49+00:00,,,2020-08-07 03:51:25,2020
182,2,True,0,0,210,210,active,False,0,True,True,13,2020-08-07 00:17:28+00:00,,,2020-08-07 03:51:25,2020
183,8,True,0,0,211,211,active,False,0,True,True,11,2020-08-07 01:42:13+00:00,,,2020-08-07 03:51:25,2020
184,18,True,0,0,212,212,active,False,0,True,True,15,2020-08-07 02:03:55+00:00,,,2020-08-07 03:51:25,2020
185,8,True,0,0,213,213,active,True,0,True,True,8,2020-08-07 00:39:37+00:00,,,2020-08-07 03:51:25,2020
186,8,True,0,0,214,214,active,False,0,True,True,7,2020-08-07 02:10:06+00:00,,,2020-08-07 03:51:25,2020
187,11,True,0,0,215,215,active,False,0,True,True,4,2020-08-07 03:30:22+00:00,,,2020-08-07 03:51:25,2020
188,17,True,0,0,216,216,active,False,0,True,True,2,2020-08-06 08:37:47+00:00,,,2020-08-07 03:51:25,2020
189,19,True,0,0,217,217,active,False,0,True,True,0,2020-08-07 02:00:42+00:00,,,2020-08-07 03:51:25,2020
190,0,True,0,0,218,218,active,False,0,True,True,15,2020-08-07 03:20:33+00:00,,,2020-08-07 03:51:25,2020
191,12,True,0,0,219,219,active,False,0,True,True,3,2020-08-06 22:40:37+00:00,,,2020-08-07 03:51:25,2020
192,12,True,0,0,221,221,active,False,0,True,True,7,2020-08-07 02:40:28+00:00,,,2020-08-07 03:51:25,2020
193,5,True,0,0,222,222,active,True,0,True,True,9,2020-08-07 02:53:15+00:00,,,2020-08-07 03:51:25,2020
194,9,True,0,1,224,224,active,False,0,True,True,7,2020-08-07 03:32:18+00:00,,,2020-08-07 03:51:25,2020
195,10,True,0,0,225,225,active,False,0,True,True,9,2020-08-07 03:31:30+00:00,,,2020-08-07 03:51:25,2020
196,8,True,0,0,226,226,active,False,0,True,True,7,2020-08-07 03:32:46+00:00,,,2020-08-07 03:51:25,2020
197,3,True,0,1,227,227,active,False,0,True,True,15,2020-08-07 03:20:43+00:00,,,2020-08-07 03:51:25,2020
198,2,True,0,0,228,228,active,False,0,True,True,17,2020-08-07 02:48:02+00:00,,,2020-08-07 03:51:25,2020
199,1,True,0,0,232,232,active,False,0,True,True,10,2020-08-06 23:51:16+00:00,,,2020-08-07 03:51:25,2020
200,5,True,0,0,233,233,active,False,0,True,True,10,2020-08-07 03:38:35+00:00,,,2020-08-07 03:51:25,2020
201,10,True,0,1,234,234,active,False,0,True,True,4,2020-08-07 03:41:49+00:00,,,2020-08-07 03:51:25,2020
202,2,True,0,1,235,235,active,False,0,True,True,12,2020-08-07 03:24:22+00:00,,,2020-08-07 03:51:25,2020
203,11,True,0,0,236,236,active,False,0,True,True,4,2020-08-07 01:16:22+00:00,,,2020-08-07 03:51:25,2020
204,11,True,0,0,239,239,active,False,0,True,True,4,2020-08-07 03:18:02+00:00,,,2020-08-07 03:51:25,2020
205,12,True,0,0,255,255,active,False,0,True,True,3,2020-08-06 08:38:19+00:00,,,2020-08-07 03:51:25,2020
206,8,True,0,0,258,258,active,False,0,True,True,7,2020-08-07 02:40:28+00:00,,,2020-08-07 03:51:25,2020
207,2,True,0,0,259,259,active,False,0,True,True,13,2020-08-06 12:36:54+00:00,,,2020-08-07 03:51:25,2020
208,9,True,0,0,260,260,active,False,0,False,False,6,2020-08-06 20:43:38+00:00,,,2020-08-07 03:51:25,2020
209,10,True,0,0,271,271,active,False,0,True,True,5,2020-08-07 02:55:23+00:00,,,2020-08-07 03:51:25,2020
210,4,True,0,0,272,272,active,False,0,True,True,15,2020-08-07 01:20:48+00:00,,,2020-08-07 03:51:25,2020
211,26,True,0,0,273,273,active,False,0,True,True,14,2020-08-07 02:33:33+00:00,,,2020-08-07 03:51:25,2020
212,12,True,0,0,279,279,active,False,0,True,True,7,2020-08-07 01:52:44+00:00,,,2020-08-07 03:51:25,2020
213,12,True,0,0,280,280,active,False,0,True,True,7,2020-08-07 02:15:15+00:00,,,2020-08-07 03:51:25,2020
214,13,True,0,0,282,282,active,False,0,True,True,2,2020-08-07 02:26:17+00:00,,,2020-08-07 03:51:25,2020
