,num_docks_available,station_status,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_renting,is_installed,last_reported,station_id,is_returning,legacy_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
203,5,active,0,False,9,0,True,True,2020-08-12 00:05:05+00:00,236,True,236,1,2020-08-12 00:47:25,2020
204,9,active,0,False,6,0,True,True,2020-08-12 00:46:31+00:00,239,True,239,0,2020-08-12 00:47:25,2020
205,3,active,0,False,12,0,True,True,2020-08-11 13:33:23+00:00,255,True,255,0,2020-08-12 00:47:25,2020
206,5,active,0,False,10,0,True,True,2020-08-12 00:05:54+00:00,258,True,258,0,2020-08-12 00:47:25,2020
207,0,active,0,False,15,0,True,True,2020-08-11 08:42:57+00:00,259,True,259,0,2020-08-12 00:47:25,2020
208,3,active,0,False,11,0,True,True,2020-08-11 23:48:57+00:00,260,True,260,1,2020-08-12 00:47:25,2020
209,10,active,0,False,5,0,True,True,2020-08-12 00:39:24+00:00,271,True,271,0,2020-08-12 00:47:25,2020
210,12,active,0,False,6,0,True,True,2020-08-12 00:45:18+00:00,272,True,272,1,2020-08-12 00:47:25,2020
211,26,active,0,False,14,0,True,True,2020-08-12 00:14:37+00:00,273,True,273,0,2020-08-12 00:47:25,2020
212,4,active,0,False,15,0,True,True,2020-08-12 00:35:47+00:00,279,True,279,0,2020-08-12 00:47:25,2020
213,12,active,0,False,7,0,True,True,2020-08-12 00:14:20+00:00,280,True,280,0,2020-08-12 00:47:25,2020
214,9,active,0,False,5,0,True,True,2020-08-12 00:41:21+00:00,282,True,282,1,2020-08-12 00:47:25,2020
215,11,active,0,False,12,0,True,True,2020-08-12 00:21:54+00:00,296,True,296,0,2020-08-12 00:47:25,2020
216,19,active,0,False,0,0,True,True,2020-08-12 00:20:34+00:00,318,True,318,0,2020-08-12 00:47:25,2020
217,22,active,0,False,3,0,True,True,2020-08-11 23:20:29+00:00,319,True,319,0,2020-08-12 00:47:25,2020
218,6,active,0,False,8,0,True,True,2020-08-12 00:25:13+00:00,327,True,327,1,2020-08-12 00:47:25,2020
219,6,active,0,False,8,0,True,True,2020-08-12 00:36:38+00:00,328,True,328,1,2020-08-12 00:47:25,2020
220,8,active,0,False,7,0,True,True,2020-08-11 23:13:16+00:00,329,True,329,0,2020-08-12 00:47:25,2020
221,5,active,0,False,10,0,True,True,2020-08-12 00:39:34+00:00,330,True,330,0,2020-08-12 00:47:25,2020
222,13,active,0,False,2,0,True,True,2020-08-12 00:30:36+00:00,331,True,331,0,2020-08-12 00:47:25,2020
223,11,active,0,False,3,0,True,True,2020-08-12 00:35:23+00:00,332,True,332,1,2020-08-12 00:47:25,2020
224,5,active,0,False,20,0,True,True,2020-08-11 23:44:29+00:00,333,True,333,0,2020-08-12 00:47:25,2020
225,0,active,0,False,19,0,True,True,2020-08-12 00:06:23+00:00,334,True,334,0,2020-08-12 00:47:25,2020
226,7,active,0,False,12,0,True,True,2020-08-12 00:34:23+00:00,335,True,335,0,2020-08-12 00:47:25,2020
227,5,active,0,False,10,0,True,True,2020-08-11 23:37:35+00:00,336,True,336,0,2020-08-12 00:47:25,2020
228,0,active,0,False,15,0,True,True,2020-08-11 21:43:00+00:00,337,True,337,0,2020-08-12 00:47:25,2020
229,8,active,0,False,7,0,True,True,2020-08-12 00:20:01+00:00,338,True,338,0,2020-08-12 00:47:25,2020
230,3,active,0,False,12,0,True,True,2020-08-11 23:14:06+00:00,339,True,339,0,2020-08-12 00:47:25,2020
231,1,active,0,False,18,0,True,True,2020-08-11 11:04:47+00:00,340,True,340,0,2020-08-12 00:47:25,2020
232,7,active,0,True,7,0,True,True,2020-08-11 23:05:02+00:00,341,True,341,1,2020-08-12 00:47:25,2020
233,13,active,0,False,2,0,True,True,2020-08-12 00:44:59+00:00,342,True,342,0,2020-08-12 00:47:25,2020
234,10,active,0,False,4,0,True,True,2020-08-11 19:40:13+00:00,343,True,343,1,2020-08-12 00:47:25,2020
235,13,active,0,False,6,0,True,True,2020-08-11 23:34:33+00:00,344,True,344,0,2020-08-12 00:47:25,2020
236,14,active,0,False,5,0,True,True,2020-08-11 23:56:50+00:00,345,True,345,0,2020-08-12 00:47:25,2020
237,7,active,0,False,8,0,True,True,2020-08-12 00:35:51+00:00,346,True,346,0,2020-08-12 00:47:25,2020
238,4,active,0,False,11,0,True,True,2020-08-12 00:42:49+00:00,347,True,347,0,2020-08-12 00:47:25,2020
239,12,active,0,False,2,0,True,True,2020-08-12 00:34:24+00:00,348,True,348,1,2020-08-12 00:47:25,2020
240,13,active,0,True,4,0,True,True,2020-08-11 19:36:10+00:00,349,True,349,0,2020-08-12 00:47:25,2020
241,5,active,0,False,12,0,True,True,2020-08-11 21:31:36+00:00,350,True,350,0,2020-08-12 00:47:25,2020
242,11,active,0,False,4,0,True,True,2020-08-12 00:05:59+00:00,351,True,351,0,2020-08-12 00:47:25,2020
