,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
212,0,False,279,4,279,True,True,0,2020-08-11 01:14:54+00:00,15,active,0,True,2020-08-11 01:21:40,2020
213,0,False,280,10,280,True,True,0,2020-08-11 00:34:06+00:00,9,active,0,True,2020-08-11 01:21:40,2020
214,2,False,282,0,282,True,True,0,2020-08-11 00:17:01+00:00,13,active,0,True,2020-08-11 01:21:40,2020
215,1,False,296,10,296,True,True,0,2020-08-11 01:12:14+00:00,12,active,0,True,2020-08-11 01:21:40,2020
216,0,False,318,15,318,True,True,0,2020-08-11 01:02:13+00:00,4,active,0,True,2020-08-11 01:21:40,2020
217,0,False,319,20,319,True,True,0,2020-08-10 23:16:00+00:00,5,active,0,True,2020-08-11 01:21:40,2020
218,0,False,327,1,327,True,True,0,2020-08-10 22:17:23+00:00,14,active,0,True,2020-08-11 01:21:40,2020
219,0,False,328,12,328,True,True,0,2020-08-11 01:04:35+00:00,3,active,0,True,2020-08-11 01:21:40,2020
220,0,False,329,9,329,True,True,0,2020-08-11 01:06:34+00:00,6,active,0,True,2020-08-11 01:21:40,2020
221,0,False,330,5,330,True,True,0,2020-08-11 00:19:35+00:00,10,active,0,True,2020-08-11 01:21:40,2020
222,0,False,331,6,331,True,True,0,2020-08-11 01:16:46+00:00,9,active,0,True,2020-08-11 01:21:40,2020
223,1,False,332,3,332,True,True,0,2020-08-11 00:53:30+00:00,11,active,0,True,2020-08-11 01:21:40,2020
224,0,False,333,5,333,True,True,0,2020-08-10 23:51:18+00:00,20,active,0,True,2020-08-11 01:21:40,2020
