,last_reported,eightd_has_available_keys,station_id,is_renting,num_docks_disabled,station_status,num_bikes_available,num_bikes_disabled,is_installed,is_returning,legacy_id,num_ebikes_available,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
177,2020-08-19 00:14:31+00:00,False,204,True,0,active,1,0,True,True,204,0,14,2020-08-19 00:51:30,2020
178,2020-08-18 23:29:38+00:00,False,205,True,0,active,4,0,True,True,205,0,11,2020-08-19 00:51:30,2020
179,2020-08-19 00:25:10+00:00,True,206,True,0,active,5,1,True,True,206,0,17,2020-08-19 00:51:30,2020
180,2020-08-19 00:51:18+00:00,True,208,True,0,active,10,0,True,True,208,0,5,2020-08-19 00:51:30,2020
181,2020-08-19 00:47:19+00:00,False,209,True,0,active,12,1,True,True,209,0,2,2020-08-19 00:51:30,2020
182,2020-08-18 23:40:04+00:00,False,210,True,0,active,4,1,True,True,210,0,10,2020-08-19 00:51:30,2020
183,2020-08-18 23:21:42+00:00,False,211,True,0,active,5,0,True,True,211,0,14,2020-08-19 00:51:30,2020
184,2020-08-19 00:42:03+00:00,False,212,True,0,active,5,0,True,True,212,0,28,2020-08-19 00:51:30,2020
185,2020-08-18 21:21:10+00:00,True,213,True,0,active,0,0,True,True,213,0,16,2020-08-19 00:51:30,2020
186,2020-08-19 00:46:32+00:00,False,214,True,0,active,8,0,True,True,214,0,7,2020-08-19 00:51:30,2020
187,2020-08-18 23:53:04+00:00,False,215,True,0,active,12,2,True,True,215,0,1,2020-08-19 00:51:30,2020
188,2020-08-18 23:12:50+00:00,False,216,True,0,active,19,0,True,True,216,0,0,2020-08-19 00:51:30,2020
189,2020-08-19 00:31:37+00:00,False,217,True,0,active,7,1,True,True,217,0,11,2020-08-19 00:51:30,2020
190,2020-08-19 00:38:52+00:00,False,218,True,0,active,8,3,True,True,218,0,4,2020-08-19 00:51:30,2020
191,2020-08-18 21:48:43+00:00,False,219,True,0,active,2,0,True,True,219,0,13,2020-08-19 00:51:30,2020
192,2020-08-19 00:42:12+00:00,False,221,True,0,active,11,1,True,True,221,0,7,2020-08-19 00:51:30,2020
193,2020-08-19 00:32:27+00:00,True,222,True,0,active,3,0,True,True,222,0,11,2020-08-19 00:51:30,2020
194,2020-08-18 23:06:42+00:00,False,224,True,0,active,12,1,True,True,224,0,4,2020-08-19 00:51:30,2020
195,2020-08-19 00:33:56+00:00,False,225,True,0,active,7,1,True,True,225,0,11,2020-08-19 00:51:30,2020
196,2020-08-19 00:38:20+00:00,False,226,True,0,active,2,1,True,True,226,0,12,2020-08-19 00:51:30,2020
197,2020-08-19 00:43:52+00:00,False,227,True,0,active,7,0,True,True,227,0,12,2020-08-19 00:51:30,2020
198,2020-08-19 00:26:03+00:00,False,228,True,0,active,3,0,True,True,228,0,16,2020-08-19 00:51:30,2020
199,2020-08-18 23:08:38+00:00,False,232,True,0,active,2,0,True,True,232,0,9,2020-08-19 00:51:30,2020
200,2020-08-19 00:43:01+00:00,False,233,True,0,active,4,0,True,True,233,0,11,2020-08-19 00:51:30,2020
201,2020-08-19 00:20:00+00:00,False,234,True,0,active,4,0,True,True,234,0,11,2020-08-19 00:51:30,2020
202,2020-08-19 00:23:46+00:00,False,235,True,0,active,2,0,True,True,235,0,13,2020-08-19 00:51:30,2020
203,2020-08-19 00:00:19+00:00,False,236,True,0,active,10,0,True,True,236,0,5,2020-08-19 00:51:30,2020
204,2020-08-19 00:33:15+00:00,False,239,True,0,active,10,1,True,True,239,0,4,2020-08-19 00:51:30,2020
205,2020-08-19 00:40:48+00:00,False,255,True,0,active,3,1,True,True,255,0,11,2020-08-19 00:51:30,2020
206,2020-08-19 00:03:23+00:00,False,258,True,0,active,8,0,True,True,258,0,7,2020-08-19 00:51:30,2020
207,2020-08-18 17:28:18+00:00,False,259,True,0,active,10,0,True,True,259,0,5,2020-08-19 00:51:30,2020
208,2020-08-18 21:49:05+00:00,False,260,True,0,active,5,0,True,True,260,0,10,2020-08-19 00:51:30,2020
209,2020-08-18 23:11:53+00:00,False,271,True,0,active,12,0,True,True,271,0,3,2020-08-19 00:51:30,2020
210,2020-08-18 21:45:45+00:00,False,272,True,0,active,12,0,True,True,272,0,7,2020-08-19 00:51:30,2020
211,2020-08-19 00:16:57+00:00,False,273,True,0,active,28,0,True,True,273,0,12,2020-08-19 00:51:30,2020
212,2020-08-19 00:27:19+00:00,False,279,True,0,active,17,0,True,True,279,0,2,2020-08-19 00:51:30,2020
213,2020-08-18 22:54:33+00:00,False,280,True,0,active,14,0,True,True,280,0,5,2020-08-19 00:51:30,2020
214,2020-08-19 00:41:52+00:00,False,282,True,0,active,14,0,True,True,282,0,1,2020-08-19 00:51:30,2020
215,2020-08-19 00:19:26+00:00,False,296,True,0,active,19,1,True,True,296,0,3,2020-08-19 00:51:30,2020
216,2020-08-19 00:15:08+00:00,False,318,True,0,active,0,0,True,True,318,0,19,2020-08-19 00:51:30,2020
217,2020-08-19 00:36:44+00:00,False,319,True,0,active,9,0,True,True,319,0,16,2020-08-19 00:51:30,2020
218,2020-08-18 23:52:25+00:00,False,327,True,0,active,1,0,True,True,327,0,14,2020-08-19 00:51:30,2020
219,2020-08-19 00:30:28+00:00,False,328,True,0,active,7,0,True,True,328,0,8,2020-08-19 00:51:30,2020
220,2020-08-19 00:46:40+00:00,False,329,True,0,active,12,1,True,True,329,0,2,2020-08-19 00:51:30,2020
221,2020-08-18 23:25:25+00:00,False,330,True,0,active,1,0,True,True,330,0,14,2020-08-19 00:51:30,2020
222,2020-08-19 00:47:42+00:00,False,331,True,0,active,2,0,True,True,331,0,13,2020-08-19 00:51:30,2020
223,2020-08-19 00:45:28+00:00,False,332,True,0,active,9,1,True,True,332,0,5,2020-08-19 00:51:30,2020
224,2020-08-19 00:49:02+00:00,False,333,True,0,active,24,0,True,True,333,0,1,2020-08-19 00:51:30,2020
