,num_bikes_disabled,is_returning,is_renting,eightd_has_available_keys,num_docks_disabled,is_installed,num_ebikes_available,last_reported,station_status,num_docks_available,legacy_id,num_bikes_available,station_id,timestamp_of_data_read_request,year_station_last_reported
189,0,True,True,False,0,True,0,2020-08-12 01:32:32+00:00,active,3,217,16,217,2020-08-12 02:50:00,2020
190,1,True,True,False,0,True,0,2020-08-12 02:49:07+00:00,active,12,218,2,218,2020-08-12 02:50:00,2020
191,2,True,True,False,0,True,0,2020-08-12 01:36:43+00:00,active,8,219,5,219,2020-08-12 02:50:00,2020
192,0,True,True,False,0,True,0,2020-08-12 01:40:51+00:00,active,9,221,10,221,2020-08-12 02:50:00,2020
193,0,True,True,True,0,True,0,2020-08-12 02:40:21+00:00,active,7,222,7,222,2020-08-12 02:50:00,2020
194,1,True,True,False,0,True,0,2020-08-12 00:21:27+00:00,active,5,224,11,224,2020-08-12 02:50:00,2020
195,1,True,True,False,0,True,0,2020-08-12 02:28:01+00:00,active,11,225,7,225,2020-08-12 02:50:00,2020
196,0,True,True,False,0,True,0,2020-08-12 02:39:35+00:00,active,11,226,4,226,2020-08-12 02:50:00,2020
197,0,True,True,False,0,True,0,2020-08-12 01:59:26+00:00,active,10,227,9,227,2020-08-12 02:50:00,2020
198,0,True,True,False,0,True,0,2020-08-12 01:46:10+00:00,active,13,228,6,228,2020-08-12 02:50:00,2020
199,0,True,True,False,0,True,0,2020-08-11 01:22:39+00:00,active,3,232,8,232,2020-08-12 02:50:00,2020
200,0,True,True,False,0,True,0,2020-08-12 02:05:43+00:00,active,6,233,9,233,2020-08-12 02:50:00,2020
201,0,True,True,False,0,True,0,2020-08-12 02:22:19+00:00,active,14,234,1,234,2020-08-12 02:50:00,2020
202,0,True,True,False,0,True,0,2020-08-12 02:48:33+00:00,active,10,235,5,235,2020-08-12 02:50:00,2020
203,0,True,True,False,0,True,0,2020-08-12 02:19:07+00:00,active,6,236,9,236,2020-08-12 02:50:00,2020
204,0,True,True,False,0,True,0,2020-08-12 00:57:19+00:00,active,8,239,7,239,2020-08-12 02:50:00,2020
205,0,True,True,False,0,True,0,2020-08-12 01:08:02+00:00,active,7,255,8,255,2020-08-12 02:50:00,2020
206,0,True,True,False,0,True,0,2020-08-12 00:05:54+00:00,active,5,258,10,258,2020-08-12 02:50:00,2020
207,0,True,True,False,0,True,0,2020-08-11 08:42:57+00:00,active,0,259,15,259,2020-08-12 02:50:00,2020
208,2,True,True,False,0,True,0,2020-08-12 01:48:50+00:00,active,2,260,11,260,2020-08-12 02:50:00,2020
209,0,True,True,False,0,True,0,2020-08-12 00:39:24+00:00,active,10,271,5,271,2020-08-12 02:50:00,2020
210,1,True,True,False,0,True,0,2020-08-12 00:45:18+00:00,active,12,272,6,272,2020-08-12 02:50:00,2020
211,0,True,True,False,0,True,0,2020-08-12 02:20:05+00:00,active,24,273,16,273,2020-08-12 02:50:00,2020
212,0,True,True,False,0,True,0,2020-08-12 02:28:48+00:00,active,3,279,16,279,2020-08-12 02:50:00,2020
213,0,True,True,False,0,True,0,2020-08-12 01:41:06+00:00,active,11,280,8,280,2020-08-12 02:50:00,2020
214,1,True,True,False,0,True,0,2020-08-12 02:47:29+00:00,active,5,282,9,282,2020-08-12 02:50:00,2020
215,1,True,True,False,0,True,0,2020-08-12 02:32:16+00:00,active,14,296,8,296,2020-08-12 02:50:00,2020
216,0,True,True,False,0,True,0,2020-08-12 02:41:12+00:00,active,14,318,5,318,2020-08-12 02:50:00,2020
217,0,True,True,False,0,True,0,2020-08-11 23:20:29+00:00,active,22,319,3,319,2020-08-12 02:50:00,2020
218,1,True,True,False,0,True,0,2020-08-12 02:40:44+00:00,active,5,327,9,327,2020-08-12 02:50:00,2020
219,1,True,True,False,0,True,0,2020-08-12 02:17:25+00:00,active,6,328,8,328,2020-08-12 02:50:00,2020
220,0,True,True,False,0,True,0,2020-08-12 01:18:44+00:00,active,9,329,6,329,2020-08-12 02:50:00,2020
221,0,True,True,False,0,True,0,2020-08-12 02:46:54+00:00,active,9,330,6,330,2020-08-12 02:50:00,2020
222,0,True,True,False,0,True,0,2020-08-12 02:18:02+00:00,active,9,331,6,331,2020-08-12 02:50:00,2020
223,1,True,True,False,0,True,0,2020-08-12 02:31:15+00:00,active,13,332,1,332,2020-08-12 02:50:00,2020
224,0,True,True,False,0,True,0,2020-08-12 01:09:08+00:00,active,4,333,21,333,2020-08-12 02:50:00,2020
