,num_docks_available,is_renting,is_returning,last_reported,num_ebikes_available,is_installed,num_bikes_disabled,station_id,num_docks_disabled,eightd_has_available_keys,station_status,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
177,6,True,True,2020-08-06 02:39:41+00:00,0,True,1,204,0,False,active,204,8,,,2020-08-06 02:58:30,2020
178,7,True,True,2020-08-06 01:22:06+00:00,0,True,0,205,0,False,active,205,8,,,2020-08-06 02:58:30,2020
179,23,True,True,2020-08-06 01:50:08+00:00,0,True,0,206,0,False,active,206,0,,,2020-08-06 02:58:30,2020
180,4,True,True,2020-08-06 01:06:43+00:00,0,True,0,208,0,True,active,208,11,,,2020-08-06 02:58:30,2020
181,10,True,True,2020-08-05 21:16:59+00:00,0,True,0,209,0,False,active,209,5,,,2020-08-06 02:58:30,2020
182,14,True,True,2020-08-06 00:24:36+00:00,0,True,0,210,0,False,active,210,1,,,2020-08-06 02:58:30,2020
183,7,True,True,2020-08-06 02:44:04+00:00,0,True,0,211,0,False,active,211,12,,,2020-08-06 02:58:30,2020
184,13,True,True,2020-08-06 02:44:19+00:00,0,True,0,212,0,False,active,212,20,,,2020-08-06 02:58:30,2020
185,8,True,True,2020-08-06 01:36:20+00:00,0,True,0,213,0,True,active,213,8,,,2020-08-06 02:58:30,2020
186,0,True,True,2020-08-06 02:54:24+00:00,0,True,0,214,0,False,active,214,15,,,2020-08-06 02:58:30,2020
187,5,True,True,2020-08-06 02:55:29+00:00,0,True,1,215,0,False,active,215,9,,,2020-08-06 02:58:30,2020
188,4,True,True,2020-08-06 02:16:25+00:00,0,True,0,216,0,False,active,216,15,,,2020-08-06 02:58:30,2020
189,0,True,True,2020-08-06 00:55:36+00:00,0,True,0,217,0,False,active,217,19,,,2020-08-06 02:58:30,2020
190,8,True,True,2020-08-06 02:57:34+00:00,0,True,1,218,0,False,active,218,6,,,2020-08-06 02:58:30,2020
191,2,True,True,2020-08-06 01:34:26+00:00,0,True,0,219,0,False,active,219,13,,,2020-08-06 02:58:30,2020
192,3,True,True,2020-08-06 02:20:07+00:00,0,True,4,221,0,False,active,221,12,,,2020-08-06 02:58:30,2020
193,8,True,True,2020-08-06 02:55:51+00:00,0,True,0,222,0,True,active,222,6,,,2020-08-06 02:58:30,2020
194,11,True,True,2020-08-06 01:15:23+00:00,0,True,2,224,0,False,active,224,4,,,2020-08-06 02:58:30,2020
195,14,True,True,2020-08-06 02:40:19+00:00,0,True,0,225,0,False,active,225,5,,,2020-08-06 02:58:30,2020
196,0,True,True,2020-08-06 02:25:14+00:00,0,True,1,226,0,False,active,226,14,,,2020-08-06 02:58:30,2020
197,17,True,True,2020-08-06 02:38:55+00:00,0,True,0,227,0,False,active,227,2,,,2020-08-06 02:58:30,2020
198,15,True,True,2020-08-06 02:41:38+00:00,0,True,1,228,0,False,active,228,3,,,2020-08-06 02:58:30,2020
199,10,True,True,2020-08-06 02:21:23+00:00,0,True,0,232,0,False,active,232,1,,,2020-08-06 02:58:30,2020
200,6,True,True,2020-08-06 02:05:48+00:00,0,True,0,233,0,False,active,233,9,,,2020-08-06 02:58:30,2020
201,13,True,True,2020-08-06 02:00:21+00:00,0,True,0,234,0,False,active,234,2,,,2020-08-06 02:58:30,2020
202,10,True,True,2020-08-06 00:31:59+00:00,0,True,1,235,0,False,active,235,4,,,2020-08-06 02:58:30,2020
203,6,True,True,2020-08-06 02:14:18+00:00,0,True,0,236,0,False,active,236,9,,,2020-08-06 02:58:30,2020
204,4,True,True,2020-08-06 01:58:53+00:00,0,True,0,239,0,False,active,239,11,,,2020-08-06 02:58:30,2020
205,3,True,True,2020-08-05 21:50:23+00:00,0,True,0,255,0,False,active,255,12,,,2020-08-06 02:58:30,2020
206,7,True,True,2020-08-05 22:06:52+00:00,0,True,0,258,0,False,active,258,8,,,2020-08-06 02:58:30,2020
207,15,True,True,2020-08-04 09:01:37+00:00,0,True,0,259,0,False,active,259,0,,,2020-08-06 02:58:30,2020
208,13,True,True,2020-08-06 02:09:58+00:00,0,True,0,260,0,False,active,260,2,,,2020-08-06 02:58:30,2020
209,7,True,True,2020-08-05 22:06:06+00:00,0,True,0,271,0,False,active,271,8,,,2020-08-06 02:58:30,2020
210,13,True,True,2020-08-05 19:11:19+00:00,0,True,0,272,0,False,active,272,6,,,2020-08-06 02:58:30,2020
211,23,True,True,2020-08-06 02:06:50+00:00,0,True,1,273,0,False,active,273,16,,,2020-08-06 02:58:30,2020
212,10,True,True,2020-08-06 02:03:35+00:00,0,True,0,279,0,False,active,279,9,,,2020-08-06 02:58:30,2020
