,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
174,0,True,2020-08-04 12:17:44+00:00,201,False,active,15,0,0,True,201,True,0,,,2020-08-04 22:38:55,2020
175,0,True,2020-08-04 18:10:32+00:00,202,False,active,14,0,1,True,202,True,0,,,2020-08-04 22:38:55,2020
176,6,True,2020-08-04 08:21:44+00:00,203,False,active,9,0,0,True,203,True,0,,,2020-08-04 22:38:55,2020
177,3,True,2020-08-04 21:02:39+00:00,204,False,active,11,0,1,True,204,True,0,,,2020-08-04 22:38:55,2020
178,8,True,2020-08-04 19:24:51+00:00,205,False,active,7,0,0,True,205,True,0,,,2020-08-04 22:38:55,2020
179,8,True,2020-08-04 22:22:38+00:00,206,False,active,15,0,0,True,206,True,0,,,2020-08-04 22:38:55,2020
180,14,True,2020-08-04 20:50:12+00:00,208,True,active,1,0,0,True,208,True,0,,,2020-08-04 22:38:55,2020
181,8,True,2020-08-04 20:12:47+00:00,209,False,active,7,0,0,True,209,True,0,,,2020-08-04 22:38:55,2020
182,1,True,2020-08-04 18:57:17+00:00,210,False,active,13,0,1,True,210,True,0,,,2020-08-04 22:38:55,2020
183,16,True,2020-08-04 20:46:47+00:00,211,False,active,3,0,0,True,211,True,0,,,2020-08-04 22:38:55,2020
184,23,True,2020-08-04 22:19:16+00:00,212,False,active,10,0,0,True,212,True,0,,,2020-08-04 22:38:55,2020
185,4,True,2020-08-04 21:42:45+00:00,213,True,active,12,0,0,True,213,True,0,,,2020-08-04 22:38:55,2020
186,6,True,2020-08-04 21:47:34+00:00,214,False,active,9,0,0,True,214,True,0,,,2020-08-04 22:38:55,2020
187,15,True,2020-08-04 19:07:32+00:00,215,False,active,0,0,0,True,215,True,0,,,2020-08-04 22:38:55,2020
188,12,True,2020-08-04 18:10:19+00:00,216,False,active,7,0,0,True,216,True,0,,,2020-08-04 22:38:55,2020
189,16,True,2020-08-04 20:01:05+00:00,217,False,active,2,0,1,True,217,True,0,,,2020-08-04 22:38:55,2020
190,6,True,2020-08-04 22:14:10+00:00,218,False,active,8,0,1,True,218,True,0,,,2020-08-04 22:38:55,2020
191,9,True,2020-08-04 20:19:56+00:00,219,False,active,6,0,0,True,219,True,0,,,2020-08-04 22:38:55,2020
192,5,True,2020-08-04 22:27:59+00:00,221,False,active,14,0,0,True,221,True,0,,,2020-08-04 22:38:55,2020
193,9,True,2020-08-04 22:33:49+00:00,222,True,active,5,0,0,True,222,True,0,,,2020-08-04 22:38:55,2020
194,6,True,2020-08-04 20:31:14+00:00,224,False,active,11,0,0,True,224,True,0,,,2020-08-04 22:38:55,2020
195,3,True,2020-08-04 22:31:56+00:00,225,False,active,16,0,0,True,225,True,0,,,2020-08-04 22:38:55,2020
196,6,True,2020-08-04 22:05:10+00:00,226,False,active,8,0,1,True,226,True,0,,,2020-08-04 22:38:55,2020
197,1,True,2020-08-04 21:40:58+00:00,227,False,active,18,0,0,True,227,True,0,,,2020-08-04 22:38:55,2020
198,15,True,2020-08-04 22:32:50+00:00,228,False,active,3,0,1,True,228,True,0,,,2020-08-04 22:38:55,2020
199,2,True,2020-08-04 18:35:54+00:00,232,False,active,9,0,0,True,232,True,0,,,2020-08-04 22:38:55,2020
200,6,True,2020-08-04 22:30:40+00:00,233,False,active,9,0,0,True,233,True,0,,,2020-08-04 22:38:55,2020
201,2,True,2020-08-04 18:48:07+00:00,234,False,active,13,0,0,True,234,True,0,,,2020-08-04 22:38:55,2020
202,4,True,2020-08-04 21:47:50+00:00,235,False,active,10,0,1,True,235,True,0,,,2020-08-04 22:38:55,2020
203,11,True,2020-08-04 22:13:14+00:00,236,False,active,4,0,0,True,236,True,0,,,2020-08-04 22:38:55,2020
204,10,True,2020-08-04 21:32:38+00:00,239,False,active,5,0,0,True,239,True,0,,,2020-08-04 22:38:55,2020
205,12,True,2020-08-04 22:15:33+00:00,255,False,active,3,0,0,True,255,True,0,,,2020-08-04 22:38:55,2020
206,15,True,2020-08-04 19:25:29+00:00,258,False,active,0,0,0,True,258,True,0,,,2020-08-04 22:38:55,2020
207,0,True,2020-08-04 09:01:37+00:00,259,False,active,15,0,0,True,259,True,0,,,2020-08-04 22:38:55,2020
208,2,True,2020-08-04 20:42:30+00:00,260,False,active,13,0,0,True,260,True,0,,,2020-08-04 22:38:55,2020
209,6,True,2020-08-04 20:37:38+00:00,271,False,active,9,0,0,True,271,True,0,,,2020-08-04 22:38:55,2020
210,5,True,2020-08-04 20:21:43+00:00,272,False,active,14,0,0,True,272,True,0,,,2020-08-04 22:38:55,2020
211,24,True,2020-08-04 21:57:33+00:00,273,False,active,15,0,1,True,273,True,0,,,2020-08-04 22:38:55,2020
212,5,True,2020-08-04 21:19:07+00:00,279,False,active,14,0,0,True,279,True,0,,,2020-08-04 22:38:55,2020
213,9,True,2020-08-04 20:19:41+00:00,280,False,active,10,0,0,True,280,True,0,,,2020-08-04 22:38:55,2020
214,13,True,2020-08-04 22:34:15+00:00,282,False,active,2,0,0,True,282,True,0,,,2020-08-04 22:38:55,2020
