,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,timestamp_of_data_read_request,year_station_last_reported
183,True,True,True,False,211,0,0,2020-08-11 00:57:00+00:00,active,14,0,5,211,2020-08-11 06:38:15,2020
184,True,True,True,False,212,0,0,2020-08-11 04:55:31+00:00,active,7,0,26,212,2020-08-11 06:38:15,2020
185,True,True,True,True,213,0,0,2020-08-11 05:49:04+00:00,active,8,0,8,213,2020-08-11 06:38:15,2020
186,True,True,True,False,214,0,0,2020-08-11 03:30:24+00:00,active,10,0,5,214,2020-08-11 06:38:15,2020
187,True,True,True,False,215,0,0,2020-08-11 02:56:26+00:00,active,8,0,7,215,2020-08-11 06:38:15,2020
188,True,True,True,False,216,0,0,2020-08-10 23:27:09+00:00,active,2,1,16,216,2020-08-11 06:38:15,2020
189,True,True,True,False,217,0,0,2020-08-11 05:12:33+00:00,active,2,0,17,217,2020-08-11 06:38:15,2020
190,True,True,True,False,218,0,0,2020-08-11 04:22:01+00:00,active,14,1,0,218,2020-08-11 06:38:15,2020
191,True,True,True,False,219,0,0,2020-08-11 02:31:39+00:00,active,9,0,6,219,2020-08-11 06:38:15,2020
192,True,True,True,False,221,0,0,2020-08-11 05:15:26+00:00,active,4,0,15,221,2020-08-11 06:38:15,2020
193,True,True,True,True,222,0,0,2020-08-11 02:56:26+00:00,active,8,0,6,222,2020-08-11 06:38:15,2020
194,True,True,True,False,224,0,0,2020-08-11 04:06:48+00:00,active,7,0,10,224,2020-08-11 06:38:15,2020
195,True,True,True,False,225,0,0,2020-08-11 04:24:50+00:00,active,4,0,15,225,2020-08-11 06:38:15,2020
196,True,True,True,False,226,0,0,2020-08-11 04:04:53+00:00,active,13,0,2,226,2020-08-11 06:38:15,2020
197,True,True,True,False,227,0,0,2020-08-11 04:34:01+00:00,active,11,0,8,227,2020-08-11 06:38:15,2020
198,True,True,True,False,228,0,0,2020-08-11 04:47:43+00:00,active,8,0,11,228,2020-08-11 06:38:15,2020
199,True,True,True,False,232,0,0,2020-08-11 01:22:39+00:00,active,3,0,8,232,2020-08-11 06:38:15,2020
200,True,True,True,False,233,0,0,2020-08-11 05:16:27+00:00,active,6,3,6,233,2020-08-11 06:38:15,2020
