,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
175,6,0,9,0,True,False,202,True,active,2020-07-30 21:41:40+00:00,0,202,True,,,2020-07-30 23:33:20,2020
176,7,0,8,0,True,False,203,True,active,2020-07-30 20:33:42+00:00,0,203,True,,,2020-07-30 23:33:20,2020
177,0,0,15,0,True,False,204,True,active,2020-07-30 23:03:44+00:00,0,204,True,,,2020-07-30 23:33:20,2020
178,5,0,10,0,True,False,205,True,active,2020-07-30 23:08:01+00:00,0,205,True,,,2020-07-30 23:33:20,2020
179,3,0,20,0,True,False,206,True,active,2020-07-30 23:09:25+00:00,0,206,True,,,2020-07-30 23:33:20,2020
180,12,0,3,0,True,True,208,True,active,2020-07-30 22:52:56+00:00,0,208,True,,,2020-07-30 23:33:20,2020
181,13,0,1,0,True,False,209,True,active,2020-07-30 20:19:44+00:00,1,209,True,,,2020-07-30 23:33:20,2020
182,1,0,14,0,True,False,210,True,active,2020-07-30 23:22:07+00:00,0,210,True,,,2020-07-30 23:33:20,2020
183,17,0,1,0,True,False,211,True,active,2020-07-30 23:24:15+00:00,1,211,True,,,2020-07-30 23:33:20,2020
184,14,0,19,0,True,False,212,True,active,2020-07-30 22:44:24+00:00,0,212,True,,,2020-07-30 23:33:20,2020
185,6,0,10,0,True,True,213,True,active,2020-07-30 22:51:29+00:00,0,213,True,,,2020-07-30 23:33:20,2020
186,7,0,8,0,True,False,214,True,active,2020-07-30 23:31:52+00:00,0,214,True,,,2020-07-30 23:33:20,2020
187,12,0,3,0,True,False,215,True,active,2020-07-30 22:41:01+00:00,0,215,True,,,2020-07-30 23:33:20,2020
188,16,0,2,0,True,False,216,True,active,2020-07-30 20:30:18+00:00,1,216,True,,,2020-07-30 23:33:20,2020
189,4,0,15,0,True,False,217,True,active,2020-07-30 22:09:47+00:00,0,217,True,,,2020-07-30 23:33:20,2020
190,15,0,0,0,True,False,218,True,active,2020-07-30 23:31:35+00:00,0,218,True,,,2020-07-30 23:33:20,2020
191,9,0,6,0,True,False,219,True,active,2020-07-30 21:17:06+00:00,0,219,True,,,2020-07-30 23:33:20,2020
192,7,0,12,0,True,False,221,True,active,2020-07-30 23:02:15+00:00,0,221,True,,,2020-07-30 23:33:20,2020
193,3,0,11,0,True,True,222,True,active,2020-07-30 23:12:00+00:00,0,222,True,,,2020-07-30 23:33:20,2020
194,15,0,2,0,True,False,224,True,active,2020-07-30 23:26:12+00:00,0,224,True,,,2020-07-30 23:33:20,2020
195,12,0,7,0,True,False,225,True,active,2020-07-30 23:32:39+00:00,0,225,True,,,2020-07-30 23:33:20,2020
196,6,0,9,0,True,False,226,True,active,2020-07-30 23:27:23+00:00,0,226,True,,,2020-07-30 23:33:20,2020
197,1,0,16,0,True,False,227,True,active,2020-07-30 23:12:08+00:00,2,227,True,,,2020-07-30 23:33:20,2020
198,6,0,13,0,True,False,228,True,active,2020-07-30 23:30:17+00:00,0,228,True,,,2020-07-30 23:33:20,2020
199,5,0,6,0,True,False,232,True,active,2020-07-30 23:23:42+00:00,0,232,True,,,2020-07-30 23:33:20,2020
200,6,0,8,0,True,False,233,True,active,2020-07-30 23:22:59+00:00,1,233,True,,,2020-07-30 23:33:20,2020
201,7,0,8,0,True,False,234,True,active,2020-07-30 22:41:05+00:00,0,234,True,,,2020-07-30 23:33:20,2020
202,9,0,6,0,True,False,235,True,active,2020-07-30 23:13:21+00:00,0,235,True,,,2020-07-30 23:33:20,2020
203,10,0,5,0,True,False,236,True,active,2020-07-30 23:09:54+00:00,0,236,True,,,2020-07-30 23:33:20,2020
204,2,0,12,0,True,False,239,True,active,2020-07-30 23:21:09+00:00,1,239,True,,,2020-07-30 23:33:20,2020
205,12,0,3,0,True,False,255,True,active,2020-07-30 19:10:29+00:00,0,255,True,,,2020-07-30 23:33:20,2020
206,10,0,5,0,True,False,258,True,active,2020-07-30 19:32:42+00:00,0,258,True,,,2020-07-30 23:33:20,2020
207,0,0,15,0,True,False,259,True,active,2020-07-30 17:16:15+00:00,0,259,True,,,2020-07-30 23:33:20,2020
