,is_renting,is_returning,num_docks_disabled,is_installed,num_bikes_available,last_reported,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,eightd_has_available_keys,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
325,True,True,0,True,15,2020-08-08 00:18:43+00:00,active,0,441,0,False,4,441,,,2020-08-08 00:25:35,2020
326,True,True,0,True,11,2020-08-08 00:08:04+00:00,active,0,442,0,False,4,442,,,2020-08-08 00:25:35,2020
327,True,True,0,True,3,2020-08-07 21:46:44+00:00,active,0,443,0,False,16,443,,,2020-08-08 00:25:35,2020
328,True,True,0,True,6,2020-08-08 00:01:15+00:00,active,0,445,1,False,12,445,,,2020-08-08 00:25:35,2020
329,True,True,0,True,4,2020-08-08 00:20:59+00:00,active,0,446,0,False,8,446,,,2020-08-08 00:25:35,2020
330,True,True,0,True,0,2020-08-08 00:08:21+00:00,active,0,447,0,False,19,447,,,2020-08-08 00:25:35,2020
331,True,True,0,True,4,2020-08-07 18:50:43+00:00,active,0,448,0,False,7,448,,,2020-08-08 00:25:35,2020
332,True,True,0,False,0,1970-01-02 00:00:00+00:00,out_of_service,0,449,0,False,0,449,,,2020-08-08 00:25:35,1970
333,False,False,0,True,5,2020-08-07 23:28:09+00:00,active,0,450,0,False,10,450,,,2020-08-08 00:25:35,2020
334,True,True,0,True,2,2020-08-07 23:21:38+00:00,active,0,451,0,False,13,451,,,2020-08-08 00:25:35,2020
335,True,True,0,True,7,2020-08-08 00:14:26+00:00,active,0,452,0,False,8,452,,,2020-08-08 00:25:35,2020
336,True,True,0,True,2,2020-08-08 00:22:28+00:00,active,0,453,0,False,13,453,,,2020-08-08 00:25:35,2020
337,True,True,0,True,4,2020-08-08 00:08:44+00:00,active,0,454,1,False,10,454,,,2020-08-08 00:25:35,2020
338,True,True,0,True,4,2020-08-07 23:31:30+00:00,active,0,455,1,False,7,455,,,2020-08-08 00:25:35,2020
339,True,True,0,True,4,2020-08-07 23:18:20+00:00,active,0,456,0,False,15,456,,,2020-08-08 00:25:35,2020
340,True,True,0,True,0,2020-08-07 21:50:41+00:00,active,0,457,0,False,11,457,,,2020-08-08 00:25:35,2020
341,True,True,0,True,4,2020-08-08 00:15:58+00:00,active,0,458,0,False,7,458,,,2020-08-08 00:25:35,2020
