,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
150,True,0,active,False,3,176,2020-08-18 22:34:40+00:00,176,12,True,True,0,0,2020-08-18 22:49:10,2020
151,True,0,active,False,8,177,2020-08-18 22:48:07+00:00,177,11,True,True,0,0,2020-08-18 22:49:10,2020
152,True,0,active,False,14,178,2020-08-18 22:45:20+00:00,178,5,True,True,0,0,2020-08-18 22:49:10,2020
153,True,0,active,False,7,179,2020-08-18 22:16:32+00:00,179,18,True,True,0,0,2020-08-18 22:49:10,2020
154,True,0,active,False,5,180,2020-08-18 21:25:08+00:00,180,14,True,True,0,0,2020-08-18 22:49:10,2020
155,True,0,active,False,9,181,2020-08-18 22:46:44+00:00,181,10,True,True,0,0,2020-08-18 22:49:10,2020
156,True,0,active,True,14,182,2020-08-18 22:31:17+00:00,182,5,True,True,0,0,2020-08-18 22:49:10,2020
157,True,0,active,False,11,183,2020-08-18 22:25:21+00:00,183,8,True,True,0,0,2020-08-18 22:49:10,2020
158,True,0,active,False,12,184,2020-08-18 22:43:43+00:00,184,7,True,True,0,0,2020-08-18 22:49:10,2020
159,True,0,active,False,12,185,2020-08-18 22:40:31+00:00,185,2,True,True,0,1,2020-08-18 22:49:10,2020
160,True,0,active,True,15,186,2020-08-18 22:47:27+00:00,186,0,True,True,0,0,2020-08-18 22:49:10,2020
161,True,0,active,False,8,187,2020-08-18 22:24:27+00:00,187,7,True,True,0,0,2020-08-18 22:49:10,2020
162,True,0,active,False,3,188,2020-08-18 21:59:18+00:00,188,12,True,True,0,0,2020-08-18 22:49:10,2020
163,True,0,active,True,2,189,2020-08-18 22:26:33+00:00,189,21,True,True,0,0,2020-08-18 22:49:10,2020
164,True,0,active,True,18,190,2020-08-18 22:47:17+00:00,190,18,True,True,0,1,2020-08-18 22:49:10,2020
165,True,0,active,False,13,191,2020-08-18 22:43:55+00:00,191,2,True,True,0,0,2020-08-18 22:49:10,2020
166,True,0,active,False,19,192,2020-08-18 22:05:26+00:00,192,0,True,True,0,0,2020-08-18 22:49:10,2020
167,True,0,active,True,13,193,2020-08-18 22:32:25+00:00,193,2,True,True,0,0,2020-08-18 22:49:10,2020
168,True,0,active,False,14,194,2020-08-18 21:44:37+00:00,194,2,True,True,0,3,2020-08-18 22:49:10,2020
169,True,0,active,False,15,195,2020-08-18 22:49:00+00:00,195,8,True,True,0,0,2020-08-18 22:49:10,2020
170,True,0,active,False,10,196,2020-08-18 21:20:25+00:00,196,0,True,True,0,0,2020-08-18 22:49:10,2020
171,True,0,active,False,7,197,2020-08-18 22:30:39+00:00,197,8,True,True,0,0,2020-08-18 22:49:10,2020
172,True,0,active,False,6,199,2020-08-18 21:21:35+00:00,199,9,True,True,0,0,2020-08-18 22:49:10,2020
173,True,0,active,False,7,200,2020-08-18 22:28:37+00:00,200,12,True,True,0,0,2020-08-18 22:49:10,2020
174,True,0,active,False,11,201,2020-08-18 22:29:02+00:00,201,4,True,True,0,0,2020-08-18 22:49:10,2020
175,True,0,active,False,12,202,2020-08-18 21:38:52+00:00,202,3,True,True,0,0,2020-08-18 22:49:10,2020
176,True,0,active,False,8,203,2020-08-18 22:44:51+00:00,203,6,True,True,0,1,2020-08-18 22:49:10,2020
177,True,0,active,False,13,204,2020-08-18 21:52:14+00:00,204,2,True,True,0,0,2020-08-18 22:49:10,2020
178,True,0,active,False,12,205,2020-08-18 21:47:42+00:00,205,3,True,True,0,0,2020-08-18 22:49:10,2020
179,True,0,active,True,18,206,2020-08-18 22:13:17+00:00,206,4,True,True,0,1,2020-08-18 22:49:10,2020
180,True,0,active,True,5,208,2020-08-18 22:17:45+00:00,208,10,True,True,0,0,2020-08-18 22:49:10,2020
181,True,0,active,False,2,209,2020-08-18 21:20:16+00:00,209,12,True,True,0,1,2020-08-18 22:49:10,2020
182,True,0,active,False,11,210,2020-08-18 18:50:30+00:00,210,3,True,True,0,1,2020-08-18 22:49:10,2020
183,True,0,active,False,14,211,2020-08-18 22:31:07+00:00,211,5,True,True,0,0,2020-08-18 22:49:10,2020
184,True,0,active,False,30,212,2020-08-18 22:25:58+00:00,212,3,True,True,0,0,2020-08-18 22:49:10,2020
185,True,0,active,True,16,213,2020-08-18 21:21:10+00:00,213,0,True,True,0,0,2020-08-18 22:49:10,2020
186,True,0,active,False,7,214,2020-08-18 22:40:31+00:00,214,8,True,True,0,0,2020-08-18 22:49:10,2020
187,True,0,active,False,6,215,2020-08-18 22:44:05+00:00,215,7,True,True,0,2,2020-08-18 22:49:10,2020
188,True,0,active,False,1,216,2020-08-18 22:14:00+00:00,216,18,True,True,0,0,2020-08-18 22:49:10,2020
