,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
180,True,4,0,0,11,2020-08-18 22:57:27+00:00,208,0,True,active,True,208,True,2020-08-19 00:41:25,2020
181,True,1,0,1,13,2020-08-18 23:44:00+00:00,209,0,True,active,True,209,False,2020-08-19 00:41:25,2020
182,True,10,0,1,4,2020-08-18 23:40:04+00:00,210,0,True,active,True,210,False,2020-08-19 00:41:25,2020
183,True,14,0,0,5,2020-08-18 23:21:42+00:00,211,0,True,active,True,211,False,2020-08-19 00:41:25,2020
184,True,27,0,0,6,2020-08-19 00:41:00+00:00,212,0,True,active,True,212,False,2020-08-19 00:41:25,2020
185,True,16,0,0,0,2020-08-18 21:21:10+00:00,213,0,True,active,True,213,True,2020-08-19 00:41:25,2020
186,True,9,0,0,6,2020-08-19 00:30:17+00:00,214,0,True,active,True,214,False,2020-08-19 00:41:25,2020
187,True,1,0,2,12,2020-08-18 23:53:04+00:00,215,0,True,active,True,215,False,2020-08-19 00:41:25,2020
188,True,0,0,0,19,2020-08-18 23:12:50+00:00,216,0,True,active,True,216,False,2020-08-19 00:41:25,2020
189,True,11,0,1,7,2020-08-19 00:31:37+00:00,217,0,True,active,True,217,False,2020-08-19 00:41:25,2020
190,True,4,0,3,8,2020-08-19 00:38:52+00:00,218,0,True,active,True,218,False,2020-08-19 00:41:25,2020
191,True,13,0,0,2,2020-08-18 21:48:43+00:00,219,0,True,active,True,219,False,2020-08-19 00:41:25,2020
192,True,6,0,1,12,2020-08-19 00:40:08+00:00,221,0,True,active,True,221,False,2020-08-19 00:41:25,2020
193,True,11,0,0,3,2020-08-19 00:32:27+00:00,222,0,True,active,True,222,True,2020-08-19 00:41:25,2020
194,True,4,0,1,12,2020-08-18 23:06:42+00:00,224,0,True,active,True,224,False,2020-08-19 00:41:25,2020
195,True,11,0,1,7,2020-08-19 00:33:56+00:00,225,0,True,active,True,225,False,2020-08-19 00:41:25,2020
196,True,12,0,1,2,2020-08-19 00:38:20+00:00,226,0,True,active,True,226,False,2020-08-19 00:41:25,2020
197,True,12,0,0,7,2020-08-19 00:38:16+00:00,227,0,True,active,True,227,False,2020-08-19 00:41:25,2020
198,True,16,0,0,3,2020-08-19 00:26:03+00:00,228,0,True,active,True,228,False,2020-08-19 00:41:25,2020
199,True,9,0,0,2,2020-08-18 23:08:38+00:00,232,0,True,active,True,232,False,2020-08-19 00:41:25,2020
200,True,12,0,0,3,2020-08-19 00:39:45+00:00,233,0,True,active,True,233,False,2020-08-19 00:41:25,2020
