,num_bikes_available,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
168,13,2020-08-01 03:38:15+00:00,True,194,0,active,0,0,194,True,True,False,6,,,2020-08-01 05:09:55,2020
169,23,2020-08-01 04:28:05+00:00,True,195,0,active,0,0,195,True,True,False,0,,,2020-08-01 05:09:55,2020
170,0,2020-08-01 03:39:16+00:00,True,196,1,active,0,0,196,True,True,True,9,,,2020-08-01 05:09:55,2020
171,3,2020-08-01 00:15:01+00:00,True,197,0,active,0,0,197,True,True,False,12,,,2020-08-01 05:09:55,2020
172,9,2020-08-01 00:35:33+00:00,True,199,2,active,0,0,199,True,True,False,4,,,2020-08-01 05:09:55,2020
173,12,2020-08-01 05:00:48+00:00,True,200,0,active,0,0,200,True,True,False,7,,,2020-08-01 05:09:55,2020
174,0,2020-08-01 00:25:07+00:00,True,201,0,active,0,0,201,True,True,False,15,,,2020-08-01 05:09:55,2020
175,3,2020-08-01 03:08:53+00:00,True,202,0,active,0,0,202,True,True,False,12,,,2020-08-01 05:09:55,2020
176,6,2020-07-31 22:34:17+00:00,True,203,0,active,0,0,203,True,True,False,9,,,2020-08-01 05:09:55,2020
177,7,2020-08-01 02:37:36+00:00,True,204,0,active,0,0,204,True,True,False,8,,,2020-08-01 05:09:55,2020
178,7,2020-07-31 17:39:13+00:00,True,205,0,active,0,0,205,True,True,False,8,,,2020-08-01 05:09:55,2020
179,5,2020-08-01 03:55:24+00:00,True,206,0,active,0,0,206,True,True,False,18,,,2020-08-01 05:09:55,2020
180,10,2020-08-01 03:30:14+00:00,True,208,0,active,0,0,208,True,True,True,5,,,2020-08-01 05:09:55,2020
181,10,2020-08-01 04:39:29+00:00,True,209,1,active,0,0,209,True,True,False,4,,,2020-08-01 05:09:55,2020
182,2,2020-07-31 22:27:56+00:00,True,210,0,active,0,0,210,True,True,False,13,,,2020-08-01 05:09:55,2020
183,17,2020-08-01 00:22:59+00:00,True,211,1,active,0,0,211,True,True,False,1,,,2020-08-01 05:09:55,2020
184,16,2020-08-01 03:24:42+00:00,True,212,1,active,0,0,212,True,True,False,16,,,2020-08-01 05:09:55,2020
185,5,2020-08-01 00:39:13+00:00,True,213,0,active,0,0,213,True,True,True,11,,,2020-08-01 05:09:55,2020
186,3,2020-08-01 04:05:56+00:00,True,214,0,active,0,0,214,True,True,False,12,,,2020-08-01 05:09:55,2020
187,10,2020-08-01 04:27:25+00:00,True,215,0,active,0,0,215,True,True,False,5,,,2020-08-01 05:09:55,2020
188,16,2020-07-31 23:43:21+00:00,True,216,0,active,0,0,216,True,True,False,3,,,2020-08-01 05:09:55,2020
189,11,2020-08-01 04:29:20+00:00,True,217,0,active,0,0,217,True,True,False,8,,,2020-08-01 05:09:55,2020
190,3,2020-08-01 04:56:23+00:00,True,218,0,active,0,0,218,True,True,False,12,,,2020-08-01 05:09:55,2020
191,10,2020-08-01 00:17:23+00:00,True,219,1,active,0,0,219,True,True,False,4,,,2020-08-01 05:09:55,2020
192,5,2020-08-01 03:58:36+00:00,True,221,0,active,0,0,221,True,True,False,14,,,2020-08-01 05:09:55,2020
193,3,2020-08-01 05:09:24+00:00,True,222,0,active,0,0,222,True,True,True,11,,,2020-08-01 05:09:55,2020
194,10,2020-08-01 02:46:05+00:00,True,224,2,active,0,0,224,True,True,False,5,,,2020-08-01 05:09:55,2020
195,17,2020-08-01 03:20:11+00:00,True,225,0,active,0,0,225,True,True,False,2,,,2020-08-01 05:09:55,2020
196,6,2020-08-01 04:59:20+00:00,True,226,1,active,0,0,226,True,True,False,8,,,2020-08-01 05:09:55,2020
197,8,2020-08-01 04:48:42+00:00,True,227,0,active,0,0,227,True,True,False,11,,,2020-08-01 05:09:55,2020
198,4,2020-08-01 03:11:49+00:00,True,228,0,active,0,0,228,True,True,False,15,,,2020-08-01 05:09:55,2020
199,4,2020-08-01 04:14:37+00:00,True,232,0,active,0,0,232,True,True,False,7,,,2020-08-01 05:09:55,2020
200,6,2020-08-01 03:49:16+00:00,True,233,3,active,0,0,233,True,True,False,6,,,2020-08-01 05:09:55,2020
201,11,2020-08-01 02:52:44+00:00,True,234,0,active,0,0,234,True,True,False,4,,,2020-08-01 05:09:55,2020
202,9,2020-08-01 04:04:48+00:00,True,235,0,active,0,0,235,True,True,False,6,,,2020-08-01 05:09:55,2020
203,9,2020-08-01 05:01:20+00:00,True,236,0,active,0,0,236,True,True,False,6,,,2020-08-01 05:09:55,2020
204,10,2020-08-01 01:50:32+00:00,True,239,1,active,0,0,239,True,True,False,4,,,2020-08-01 05:09:55,2020
205,12,2020-07-31 21:41:07+00:00,True,255,0,active,0,0,255,True,True,False,3,,,2020-08-01 05:09:55,2020
206,14,2020-08-01 02:20:21+00:00,True,258,0,active,0,0,258,True,True,False,1,,,2020-08-01 05:09:55,2020
207,0,2020-07-31 08:31:40+00:00,True,259,0,active,0,0,259,True,True,False,15,,,2020-08-01 05:09:55,2020
208,0,2020-08-01 02:05:08+00:00,True,260,0,active,0,0,260,True,True,False,15,,,2020-08-01 05:09:55,2020
209,0,2020-07-31 21:22:43+00:00,True,271,0,active,0,0,271,True,True,False,15,,,2020-08-01 05:09:55,2020
210,7,2020-07-31 22:36:37+00:00,True,272,2,active,0,0,272,True,True,False,10,,,2020-08-01 05:09:55,2020
211,30,2020-08-01 04:42:09+00:00,True,273,0,active,0,0,273,True,True,False,10,,,2020-08-01 05:09:55,2020
