,legacy_id,num_docks_available,is_installed,last_reported,station_id,num_bikes_disabled,num_docks_disabled,is_renting,is_returning,eightd_has_available_keys,num_bikes_available,station_status,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
122,137,11,True,2020-08-06 05:01:25+00:00,137,0,0,True,True,False,4,active,0,,,2020-08-06 05:31:55,2020
123,138,11,True,2020-08-06 05:08:42+00:00,138,0,0,True,True,False,4,active,0,,,2020-08-06 05:31:55,2020
124,139,5,True,2020-08-06 03:53:08+00:00,139,0,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
125,140,4,True,2020-08-06 04:27:32+00:00,140,0,0,True,True,False,13,active,0,,,2020-08-06 05:31:55,2020
126,141,10,True,2020-08-06 04:03:27+00:00,141,0,0,True,True,False,5,active,0,,,2020-08-06 05:31:55,2020
127,142,10,True,2020-08-06 02:47:37+00:00,142,3,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
128,143,14,True,2020-08-06 03:43:52+00:00,143,1,0,True,True,False,8,active,0,,,2020-08-06 05:31:55,2020
129,144,11,True,2020-08-06 03:00:28+00:00,144,0,0,True,True,False,8,active,0,,,2020-08-06 05:31:55,2020
130,145,12,True,2020-08-06 04:18:25+00:00,145,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
131,146,8,True,2020-08-06 05:29:14+00:00,146,1,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
132,149,0,True,2020-08-06 03:14:40+00:00,149,0,0,True,True,True,18,active,0,,,2020-08-06 05:31:55,2020
