,last_reported,legacy_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,num_ebikes_available,station_status,station_id,is_renting,is_returning,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
265,2020-08-21 17:20:52+00:00,374,0,1,6,False,0,active,374,True,True,12,True,,,2020-08-21 17:23:25,2020
266,2020-08-21 16:31:49+00:00,376,0,0,7,False,0,active,376,True,True,8,True,,,2020-08-21 17:23:25,2020
267,2020-08-21 17:09:26+00:00,377,0,0,17,False,0,active,377,True,True,2,True,,,2020-08-21 17:23:25,2020
268,2020-08-21 17:03:49+00:00,378,0,0,5,False,0,active,378,True,True,14,True,,,2020-08-21 17:23:25,2020
269,2020-08-21 17:10:16+00:00,379,0,0,12,False,0,active,379,True,True,3,True,,,2020-08-21 17:23:25,2020
270,2020-08-21 17:16:30+00:00,380,0,0,10,False,0,active,380,True,True,8,True,,,2020-08-21 17:23:25,2020
271,2020-08-21 17:22:00+00:00,381,0,0,7,False,0,active,381,True,True,12,True,,,2020-08-21 17:23:25,2020
272,2020-08-21 16:58:23+00:00,384,0,0,7,True,0,active,384,True,True,12,True,,,2020-08-21 17:23:25,2020
273,2020-08-21 17:23:06+00:00,385,1,0,4,False,0,active,385,True,True,10,True,,,2020-08-21 17:23:25,2020
274,2020-08-21 17:20:05+00:00,386,0,0,12,False,0,active,386,True,True,7,True,,,2020-08-21 17:23:25,2020
275,2020-08-21 15:55:09+00:00,387,0,0,6,False,0,active,387,True,True,9,True,,,2020-08-21 17:23:25,2020
276,2020-08-20 09:01:03+00:00,388,0,0,3,False,0,active,388,True,True,8,True,,,2020-08-21 17:23:25,2020
277,2020-08-21 13:28:09+00:00,389,0,0,8,False,0,active,389,True,True,6,True,,,2020-08-21 17:23:25,2020
278,2020-08-21 16:52:31+00:00,390,0,0,2,False,0,active,390,True,True,13,True,,,2020-08-21 17:23:25,2020
279,2020-08-21 16:37:29+00:00,391,0,2,6,False,0,active,391,True,True,7,True,,,2020-08-21 17:23:25,2020
280,2020-08-21 14:38:17+00:00,392,0,0,9,False,0,active,392,True,True,6,True,,,2020-08-21 17:23:25,2020
281,2020-08-20 21:49:24+00:00,393,0,0,6,False,0,active,393,True,True,9,True,,,2020-08-21 17:23:25,2020
282,2020-08-20 09:00:38+00:00,394,0,0,14,False,0,active,394,True,True,0,True,,,2020-08-21 17:23:25,2020
283,2020-08-21 17:04:46+00:00,395,0,0,4,False,0,active,395,True,True,11,True,,,2020-08-21 17:23:25,2020
284,2020-08-21 16:20:39+00:00,396,0,0,2,False,0,active,396,True,True,13,True,,,2020-08-21 17:23:25,2020
285,2020-08-21 14:41:02+00:00,397,0,0,5,False,0,active,397,True,True,10,True,,,2020-08-21 17:23:25,2020
286,2020-08-21 17:16:20+00:00,398,0,0,4,False,0,active,398,True,True,15,True,,,2020-08-21 17:23:25,2020
287,2020-08-21 17:20:20+00:00,399,0,0,0,False,0,active,399,True,True,15,True,,,2020-08-21 17:23:25,2020
288,2020-08-21 16:40:46+00:00,400,0,2,8,False,0,active,400,True,True,17,True,,,2020-08-21 17:23:25,2020
289,2020-08-21 16:41:27+00:00,401,0,0,5,False,0,active,401,True,True,10,True,,,2020-08-21 17:23:25,2020
290,2020-08-21 17:07:06+00:00,402,0,0,11,False,0,active,402,True,True,4,True,,,2020-08-21 17:23:25,2020
291,2020-08-21 17:05:30+00:00,403,0,1,12,False,0,active,403,True,True,2,True,,,2020-08-21 17:23:25,2020
292,2020-08-21 17:21:05+00:00,404,0,0,11,False,0,active,404,True,True,5,True,,,2020-08-21 17:23:25,2020
293,2020-08-21 11:33:57+00:00,405,0,0,4,False,0,active,405,True,True,15,True,,,2020-08-21 17:23:25,2020
294,2020-08-21 13:55:54+00:00,406,0,0,7,False,0,active,406,True,True,12,True,,,2020-08-21 17:23:25,2020
295,2020-08-21 16:18:24+00:00,407,0,0,17,False,0,active,407,True,True,2,True,,,2020-08-21 17:23:25,2020
296,2020-08-21 17:21:12+00:00,408,0,0,6,False,0,active,408,True,True,9,True,,,2020-08-21 17:23:25,2020
297,2020-08-21 16:37:44+00:00,409,0,1,12,False,0,active,409,True,True,6,True,,,2020-08-21 17:23:25,2020
