,eightd_has_available_keys,num_docks_disabled,last_reported,is_installed,legacy_id,station_status,is_renting,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
183,False,0,2020-08-11 00:57:00+00:00,True,211,active,True,5,211,True,0,14,0,2020-08-11 08:20:25,2020
184,False,0,2020-08-11 04:55:31+00:00,True,212,active,True,26,212,True,0,7,0,2020-08-11 08:20:25,2020
185,True,0,2020-08-11 05:49:04+00:00,True,213,active,True,8,213,True,0,8,0,2020-08-11 08:20:25,2020
186,False,0,2020-08-11 03:30:24+00:00,True,214,active,True,5,214,True,0,10,0,2020-08-11 08:20:25,2020
187,False,0,2020-08-11 02:56:26+00:00,True,215,active,True,7,215,True,0,8,0,2020-08-11 08:20:25,2020
188,False,0,2020-08-10 23:27:09+00:00,True,216,active,True,16,216,True,1,2,0,2020-08-11 08:20:25,2020
189,False,0,2020-08-11 05:12:33+00:00,True,217,active,True,17,217,True,0,2,0,2020-08-11 08:20:25,2020
190,False,0,2020-08-11 04:22:01+00:00,True,218,active,True,0,218,True,1,14,0,2020-08-11 08:20:25,2020
191,False,0,2020-08-11 02:31:39+00:00,True,219,active,True,6,219,True,0,9,0,2020-08-11 08:20:25,2020
192,False,0,2020-08-11 05:15:26+00:00,True,221,active,True,15,221,True,0,4,0,2020-08-11 08:20:25,2020
193,True,0,2020-08-11 02:56:26+00:00,True,222,active,True,6,222,True,0,8,0,2020-08-11 08:20:25,2020
194,False,0,2020-08-11 04:06:48+00:00,True,224,active,True,10,224,True,0,7,0,2020-08-11 08:20:25,2020
195,False,0,2020-08-11 04:24:50+00:00,True,225,active,True,15,225,True,0,4,0,2020-08-11 08:20:25,2020
196,False,0,2020-08-11 04:04:53+00:00,True,226,active,True,2,226,True,0,13,0,2020-08-11 08:20:25,2020
197,False,0,2020-08-11 07:49:02+00:00,True,227,active,True,8,227,True,0,11,0,2020-08-11 08:20:25,2020
198,False,0,2020-08-11 04:47:43+00:00,True,228,active,True,11,228,True,0,8,0,2020-08-11 08:20:25,2020
199,False,0,2020-08-11 01:22:39+00:00,True,232,active,True,8,232,True,0,3,0,2020-08-11 08:20:25,2020
200,False,0,2020-08-11 06:59:08+00:00,True,233,active,True,4,233,True,3,8,0,2020-08-11 08:20:25,2020
201,False,0,2020-08-11 01:44:48+00:00,True,234,active,True,2,234,True,0,13,0,2020-08-11 08:20:25,2020
202,False,0,2020-08-10 20:46:12+00:00,True,235,active,True,5,235,True,0,10,0,2020-08-11 08:20:25,2020
203,False,0,2020-08-11 01:08:14+00:00,True,236,active,True,11,236,True,0,4,0,2020-08-11 08:20:25,2020
