,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
185,16,2020-08-18 21:21:10+00:00,213,0,True,0,0,active,True,True,213,0,True,,,2020-08-18 21:27:20,2020
186,6,2020-08-18 21:25:46+00:00,214,0,True,0,9,active,True,False,214,0,True,,,2020-08-18 21:27:20,2020
187,4,2020-08-18 19:28:23+00:00,215,0,True,0,9,active,True,False,215,2,True,,,2020-08-18 21:27:20,2020
188,2,2020-08-18 21:16:33+00:00,216,0,True,0,17,active,True,False,216,0,True,,,2020-08-18 21:27:20,2020
189,7,2020-08-18 21:08:27+00:00,217,0,True,0,11,active,True,False,217,1,True,,,2020-08-18 21:27:20,2020
190,6,2020-08-18 21:23:12+00:00,218,0,True,0,7,active,True,False,218,2,True,,,2020-08-18 21:27:20,2020
191,11,2020-08-18 19:07:11+00:00,219,0,True,0,4,active,True,False,219,0,True,,,2020-08-18 21:27:20,2020
192,17,2020-08-18 21:02:18+00:00,221,0,True,0,1,active,True,False,221,1,True,,,2020-08-18 21:27:20,2020
193,12,2020-08-18 20:57:33+00:00,222,0,True,0,2,active,True,True,222,0,True,,,2020-08-18 21:27:20,2020
194,4,2020-08-18 20:42:25+00:00,224,0,True,0,12,active,True,False,224,1,True,,,2020-08-18 21:27:20,2020
195,11,2020-08-18 21:25:30+00:00,225,0,True,0,6,active,True,False,225,2,True,,,2020-08-18 21:27:20,2020
196,14,2020-08-18 21:25:30+00:00,226,0,True,0,0,active,True,False,226,1,True,,,2020-08-18 21:27:20,2020
197,16,2020-08-18 21:22:00+00:00,227,0,True,0,1,active,True,False,227,2,True,,,2020-08-18 21:27:20,2020
198,13,2020-08-18 21:20:52+00:00,228,0,True,0,6,active,True,False,228,0,True,,,2020-08-18 21:27:20,2020
199,10,2020-08-18 19:33:43+00:00,232,0,True,0,1,active,True,False,232,0,True,,,2020-08-18 21:27:20,2020
200,11,2020-08-18 20:58:27+00:00,233,0,True,0,3,active,True,False,233,1,True,,,2020-08-18 21:27:20,2020
201,13,2020-08-18 19:59:12+00:00,234,0,True,0,2,active,True,False,234,0,True,,,2020-08-18 21:27:20,2020
