,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
252,True,2020-08-11 13:25:36+00:00,0,0,9,active,True,True,0,361,False,361,10,,,2020-08-11 14:17:45,2020
253,True,2020-08-11 13:02:55+00:00,0,0,11,active,True,True,0,362,False,362,8,,,2020-08-11 14:17:45,2020
254,True,2020-08-11 14:16:00+00:00,0,1,3,active,True,True,0,363,False,363,15,,,2020-08-11 14:17:45,2020
255,True,2020-08-11 14:05:21+00:00,0,0,10,active,True,True,0,364,False,364,9,,,2020-08-11 14:17:45,2020
256,True,2020-08-11 13:52:38+00:00,0,2,14,active,True,True,0,365,False,365,3,,,2020-08-11 14:17:45,2020
257,True,2020-08-11 14:17:06+00:00,0,0,5,active,True,True,0,366,False,366,10,,,2020-08-11 14:17:45,2020
258,True,2020-08-11 08:27:28+00:00,0,0,17,active,True,True,0,367,False,367,2,,,2020-08-11 14:17:45,2020
259,True,2020-08-11 03:15:31+00:00,0,1,9,active,False,False,0,368,False,368,5,,,2020-08-11 14:17:45,2020
260,True,2020-08-11 13:57:11+00:00,0,2,0,active,True,True,0,369,False,369,13,,,2020-08-11 14:17:45,2020
261,True,2020-08-11 12:57:49+00:00,0,0,10,active,True,True,0,370,False,370,9,,,2020-08-11 14:17:45,2020
262,True,2020-08-11 11:41:37+00:00,0,1,13,active,True,True,0,371,False,371,5,,,2020-08-11 14:17:45,2020
263,True,2020-08-11 14:06:53+00:00,0,0,13,active,True,True,0,372,False,372,6,,,2020-08-11 14:17:45,2020
264,True,2020-08-11 13:43:49+00:00,0,0,6,active,True,True,0,373,False,373,9,,,2020-08-11 14:17:45,2020
265,True,2020-08-11 14:15:44+00:00,0,1,7,active,True,True,0,374,False,374,11,,,2020-08-11 14:17:45,2020
266,True,2020-08-11 13:44:51+00:00,0,0,13,active,True,True,0,376,False,376,2,,,2020-08-11 14:17:45,2020
267,True,2020-08-11 12:56:27+00:00,0,0,10,active,True,True,0,377,False,377,9,,,2020-08-11 14:17:45,2020
268,True,2020-08-11 13:39:48+00:00,0,0,7,active,True,True,0,378,False,378,12,,,2020-08-11 14:17:45,2020
269,True,2020-08-11 13:47:29+00:00,0,0,7,active,True,True,0,379,False,379,8,,,2020-08-11 14:17:45,2020
270,True,2020-08-11 14:12:28+00:00,0,0,16,active,True,True,0,380,False,380,2,,,2020-08-11 14:17:45,2020
271,True,2020-08-11 14:16:52+00:00,0,0,10,active,True,True,0,381,False,381,9,,,2020-08-11 14:17:45,2020
272,True,2020-08-11 14:14:50+00:00,0,0,13,active,True,True,0,384,True,384,6,,,2020-08-11 14:17:45,2020
273,True,2020-08-11 13:59:26+00:00,1,2,12,active,True,True,0,385,False,385,0,,,2020-08-11 14:17:45,2020
274,True,2020-08-11 14:11:24+00:00,0,0,11,active,True,True,0,386,False,386,8,,,2020-08-11 14:17:45,2020
275,True,2020-08-11 11:43:31+00:00,0,1,13,active,True,True,0,387,False,387,1,,,2020-08-11 14:17:45,2020
276,True,2020-08-11 12:55:44+00:00,0,0,4,active,True,True,0,388,False,388,7,,,2020-08-11 14:17:45,2020
277,True,2020-08-11 08:56:36+00:00,0,0,14,active,True,True,0,389,False,389,0,,,2020-08-11 14:17:45,2020
278,True,2020-08-11 09:18:08+00:00,0,0,14,active,True,True,0,390,False,390,1,,,2020-08-11 14:17:45,2020
279,True,2020-08-11 08:56:23+00:00,0,0,14,active,True,True,0,391,False,391,1,,,2020-08-11 14:17:45,2020
280,True,2020-08-11 09:45:18+00:00,0,0,7,active,True,True,0,392,False,392,8,,,2020-08-11 14:17:45,2020
281,True,2020-08-11 13:15:25+00:00,0,1,5,active,True,True,0,393,False,393,9,,,2020-08-11 14:17:45,2020
282,True,2020-08-11 08:51:57+00:00,0,0,1,active,True,True,0,394,False,394,13,,,2020-08-11 14:17:45,2020
283,True,2020-08-11 10:55:45+00:00,0,0,11,active,True,True,0,395,False,395,4,,,2020-08-11 14:17:45,2020
284,True,2020-08-11 08:51:51+00:00,0,0,12,active,True,True,0,396,False,396,3,,,2020-08-11 14:17:45,2020
285,True,2020-08-11 10:33:33+00:00,0,0,5,active,True,True,0,397,False,397,10,,,2020-08-11 14:17:45,2020
286,True,2020-08-11 14:15:40+00:00,0,0,10,active,True,True,0,398,False,398,9,,,2020-08-11 14:17:45,2020
287,True,2020-08-11 13:17:47+00:00,0,1,12,active,True,True,0,399,False,399,2,,,2020-08-11 14:17:45,2020
288,True,2020-08-11 14:09:51+00:00,0,0,13,active,True,True,0,400,False,400,14,,,2020-08-11 14:17:45,2020
