,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
288,active,400,5,2,400,0,True,True,20,True,False,2020-08-21 20:06:04+00:00,0,,,2020-08-21 21:18:25,2020
289,active,401,7,0,401,0,True,True,8,True,False,2020-08-21 20:27:44+00:00,0,,,2020-08-21 21:18:25,2020
290,active,402,9,0,402,0,True,True,6,True,False,2020-08-21 20:54:21+00:00,0,,,2020-08-21 21:18:25,2020
291,active,403,13,1,403,0,True,True,1,True,False,2020-08-21 21:11:44+00:00,0,,,2020-08-21 21:18:25,2020
292,active,404,10,0,404,0,True,True,6,True,False,2020-08-21 21:17:53+00:00,0,,,2020-08-21 21:18:25,2020
293,active,405,3,0,405,0,True,True,16,True,False,2020-08-21 20:49:09+00:00,0,,,2020-08-21 21:18:25,2020
294,active,406,9,0,406,0,True,True,10,True,False,2020-08-21 21:12:35+00:00,0,,,2020-08-21 21:18:25,2020
295,active,407,18,1,407,0,True,True,0,True,False,2020-08-21 19:56:25+00:00,0,,,2020-08-21 21:18:25,2020
296,active,408,7,0,408,0,True,True,8,True,False,2020-08-21 20:52:23+00:00,0,,,2020-08-21 21:18:25,2020
297,active,409,9,1,409,0,True,True,9,True,False,2020-08-21 20:36:44+00:00,0,,,2020-08-21 21:18:25,2020
298,active,410,17,0,410,0,True,True,2,True,False,2020-08-21 21:18:08+00:00,0,,,2020-08-21 21:18:25,2020
299,active,411,12,0,411,0,True,True,3,True,False,2020-08-21 08:55:53+00:00,0,,,2020-08-21 21:18:25,2020
300,active,412,5,0,412,0,True,True,14,True,False,2020-08-21 20:56:26+00:00,0,,,2020-08-21 21:18:25,2020
301,active,413,8,1,413,0,True,True,10,True,False,2020-08-21 21:14:00+00:00,0,,,2020-08-21 21:18:25,2020
302,active,414,18,0,414,0,True,True,5,True,False,2020-08-21 18:32:42+00:00,0,,,2020-08-21 21:18:25,2020
303,active,415,4,0,415,0,True,True,15,True,False,2020-08-21 21:12:02+00:00,0,,,2020-08-21 21:18:25,2020
304,active,416,6,2,416,0,True,True,7,True,False,2020-08-21 21:06:50+00:00,0,,,2020-08-21 21:18:25,2020
