,is_returning,num_bikes_available,is_installed,is_renting,station_status,num_docks_disabled,num_bikes_disabled,legacy_id,num_docks_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
225,True,7,True,True,active,0,0,334,12,2020-07-29 02:25:16+00:00,0,334,False,,,2020-07-29 06:44:15,2020
226,True,15,True,True,active,0,0,335,4,2020-07-29 03:29:13+00:00,0,335,False,,,2020-07-29 06:44:15,2020
227,True,12,True,True,active,0,0,336,3,2020-07-29 00:04:57+00:00,0,336,False,,,2020-07-29 06:44:15,2020
228,True,14,True,True,active,0,1,337,0,2020-07-29 00:43:48+00:00,0,337,False,,,2020-07-29 06:44:15,2020
229,True,14,True,True,active,0,0,338,1,2020-07-29 06:29:43+00:00,0,338,False,,,2020-07-29 06:44:15,2020
230,True,15,True,True,active,0,0,339,0,2020-07-28 23:08:58+00:00,0,339,False,,,2020-07-29 06:44:15,2020
231,True,14,True,True,active,0,0,340,5,2020-07-29 06:00:50+00:00,0,340,False,,,2020-07-29 06:44:15,2020
232,True,7,True,True,active,0,0,341,8,2020-07-28 23:48:46+00:00,0,341,True,,,2020-07-29 06:44:15,2020
233,True,10,True,True,active,0,0,342,5,2020-07-29 05:56:25+00:00,0,342,False,,,2020-07-29 06:44:15,2020
234,True,5,True,True,active,0,1,343,9,2020-07-28 20:36:56+00:00,0,343,False,,,2020-07-29 06:44:15,2020
235,True,0,True,True,active,0,0,344,19,2020-07-29 02:51:33+00:00,0,344,False,,,2020-07-29 06:44:15,2020
236,True,3,True,True,active,0,0,345,16,2020-07-29 05:20:43+00:00,0,345,False,,,2020-07-29 06:44:15,2020
237,True,1,True,True,active,0,0,346,14,2020-07-29 01:18:22+00:00,0,346,False,,,2020-07-29 06:44:15,2020
238,True,5,True,True,active,0,1,347,9,2020-07-29 03:09:02+00:00,0,347,False,,,2020-07-29 06:44:15,2020
239,True,10,True,True,active,0,0,348,5,2020-07-29 06:12:45+00:00,0,348,False,,,2020-07-29 06:44:15,2020
240,True,1,True,True,active,0,0,349,16,2020-07-28 08:58:31+00:00,0,349,True,,,2020-07-29 06:44:15,2020
241,True,3,True,True,active,0,0,350,14,2020-07-29 01:34:44+00:00,0,350,False,,,2020-07-29 06:44:15,2020
242,True,7,True,True,active,0,0,351,8,2020-07-29 04:09:15+00:00,0,351,False,,,2020-07-29 06:44:15,2020
243,True,7,True,True,active,0,0,352,8,2020-07-29 04:35:22+00:00,0,352,False,,,2020-07-29 06:44:15,2020
244,True,13,True,True,active,0,0,353,2,2020-07-29 00:31:42+00:00,0,353,True,,,2020-07-29 06:44:15,2020
245,True,12,True,True,active,0,0,354,3,2020-07-29 02:44:45+00:00,0,354,False,,,2020-07-29 06:44:15,2020
