,legacy_id,num_docks_available,is_renting,is_returning,is_installed,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,num_bikes_available,last_reported,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
157,183,16,True,True,True,active,0,183,False,0,2,2020-08-13 00:58:14+00:00,1,2020-08-13 01:43:35,2020
158,184,9,True,True,True,active,0,184,False,0,10,2020-08-13 01:06:25+00:00,0,2020-08-13 01:43:35,2020
159,185,11,True,True,True,active,0,185,False,0,4,2020-08-13 01:36:49+00:00,0,2020-08-13 01:43:35,2020
160,186,7,True,True,True,active,0,186,True,0,8,2020-08-13 01:30:16+00:00,0,2020-08-13 01:43:35,2020
161,187,8,True,True,True,active,0,187,False,0,7,2020-08-13 00:29:52+00:00,0,2020-08-13 01:43:35,2020
162,188,0,True,True,True,active,0,188,False,0,14,2020-08-13 00:00:20+00:00,1,2020-08-13 01:43:35,2020
163,189,19,True,True,True,active,0,189,True,0,4,2020-08-13 01:32:35+00:00,0,2020-08-13 01:43:35,2020
164,190,28,True,True,True,active,0,190,True,0,8,2020-08-13 01:39:56+00:00,1,2020-08-13 01:43:35,2020
165,191,10,True,True,True,active,0,191,False,0,5,2020-08-12 23:35:49+00:00,0,2020-08-13 01:43:35,2020
166,192,17,True,True,True,active,0,192,False,0,2,2020-08-13 00:42:38+00:00,0,2020-08-13 01:43:35,2020
167,193,10,True,True,True,active,0,193,False,0,3,2020-08-13 00:45:30+00:00,2,2020-08-13 01:43:35,2020
168,194,18,True,True,True,active,0,194,False,0,1,2020-08-12 23:35:25+00:00,0,2020-08-13 01:43:35,2020
169,195,9,True,True,True,active,0,195,False,0,14,2020-08-13 01:25:47+00:00,0,2020-08-13 01:43:35,2020
170,196,8,True,True,True,active,0,196,True,0,2,2020-08-13 01:37:17+00:00,0,2020-08-13 01:43:35,2020
171,197,10,True,True,True,active,0,197,False,0,5,2020-08-13 00:19:50+00:00,0,2020-08-13 01:43:35,2020
172,199,10,True,True,True,active,0,199,False,0,5,2020-08-13 01:43:17+00:00,0,2020-08-13 01:43:35,2020
173,200,3,True,True,True,active,0,200,False,0,15,2020-08-13 01:14:03+00:00,1,2020-08-13 01:43:35,2020
174,201,15,True,True,True,active,0,201,False,0,0,2020-08-12 12:04:48+00:00,0,2020-08-13 01:43:35,2020
175,202,10,True,True,True,active,0,202,False,0,5,2020-08-12 23:37:00+00:00,0,2020-08-13 01:43:35,2020
176,203,14,True,True,True,active,0,203,False,0,1,2020-08-12 22:21:20+00:00,0,2020-08-13 01:43:35,2020
177,204,13,True,True,True,active,0,204,False,0,1,2020-08-12 23:45:02+00:00,1,2020-08-13 01:43:35,2020
178,205,13,True,True,True,active,0,205,False,0,2,2020-08-13 00:34:37+00:00,0,2020-08-13 01:43:35,2020
179,206,20,True,True,True,active,0,206,True,0,2,2020-08-13 00:09:00+00:00,1,2020-08-13 01:43:35,2020
180,208,8,True,True,True,active,0,208,True,0,6,2020-08-13 01:18:07+00:00,1,2020-08-13 01:43:35,2020
181,209,11,True,True,True,active,0,209,False,0,4,2020-08-12 19:30:28+00:00,0,2020-08-13 01:43:35,2020
182,210,14,True,True,True,active,0,210,False,0,1,2020-08-12 21:31:14+00:00,0,2020-08-13 01:43:35,2020
183,211,15,True,True,True,active,0,211,False,0,4,2020-08-13 01:17:46+00:00,0,2020-08-13 01:43:35,2020
184,212,2,True,True,True,active,0,212,False,0,31,2020-08-13 01:25:13+00:00,0,2020-08-13 01:43:35,2020
185,213,13,True,True,True,active,0,213,True,0,3,2020-08-13 01:24:50+00:00,0,2020-08-13 01:43:35,2020
186,214,14,True,True,True,active,0,214,False,0,1,2020-08-13 01:24:37+00:00,0,2020-08-13 01:43:35,2020
187,215,9,True,True,True,active,0,215,False,0,4,2020-08-13 01:22:13+00:00,2,2020-08-13 01:43:35,2020
188,216,0,True,True,True,active,0,216,False,0,18,2020-08-12 21:12:33+00:00,1,2020-08-13 01:43:35,2020
189,217,5,True,True,True,active,0,217,False,0,14,2020-08-13 01:19:13+00:00,0,2020-08-13 01:43:35,2020
