,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
232,340,8,0,0,11,0,True,True,True,2020-03-18 08:55:43+00:00,False,2020-03-19 00:24:32,2020
233,341,11,0,1,3,0,True,True,True,2020-03-18 08:45:53+00:00,True,2020-03-19 00:24:32,2020
234,342,7,0,0,8,0,True,True,True,2020-03-18 23:52:54+00:00,False,2020-03-19 00:24:32,2020
235,343,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
236,344,3,0,0,16,0,True,True,True,2020-03-18 23:59:46+00:00,False,2020-03-19 00:24:32,2020
237,345,9,0,1,9,0,True,True,True,2020-03-18 22:25:53+00:00,False,2020-03-19 00:24:32,2020
238,346,13,0,0,2,0,True,True,True,2020-03-18 23:53:14+00:00,False,2020-03-19 00:24:32,2020
239,347,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
240,348,3,0,0,12,0,True,True,True,2020-03-18 08:49:53+00:00,False,2020-03-19 00:24:32,2020
241,349,2,0,0,15,0,True,True,True,2020-03-18 12:51:29+00:00,True,2020-03-19 00:24:32,2020
242,350,7,0,0,10,0,True,True,True,2020-03-18 22:43:40+00:00,False,2020-03-19 00:24:32,2020
243,351,4,0,1,10,0,True,True,True,2020-03-18 23:15:30+00:00,False,2020-03-19 00:24:32,2020
244,352,9,0,1,5,0,True,True,True,2020-03-18 22:55:45+00:00,False,2020-03-19 00:24:32,2020
245,353,3,0,0,12,0,True,True,True,2020-03-18 09:00:44+00:00,True,2020-03-19 00:24:32,2020
246,354,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
247,355,1,0,0,16,0,True,True,True,2020-03-18 21:58:25+00:00,False,2020-03-19 00:24:32,2020
248,356,9,0,0,14,0,True,True,True,2020-03-18 23:55:41+00:00,False,2020-03-19 00:24:32,2020
249,357,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
250,358,11,0,0,8,0,True,True,True,2020-03-18 23:39:56+00:00,False,2020-03-19 00:24:32,2020
251,359,6,0,0,9,0,True,True,True,2020-03-18 23:26:53+00:00,False,2020-03-19 00:24:32,2020
