,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
210,True,2020-08-04 20:21:43+00:00,active,True,272,0,14,False,272,True,0,5,0,,,2020-08-04 21:07:00,2020
211,True,2020-08-04 20:53:35+00:00,active,True,273,1,14,False,273,True,0,25,0,,,2020-08-04 21:07:00,2020
212,True,2020-08-04 21:00:37+00:00,active,True,279,0,13,False,279,True,0,6,0,,,2020-08-04 21:07:00,2020
213,True,2020-08-04 20:19:41+00:00,active,True,280,0,10,False,280,True,0,9,0,,,2020-08-04 21:07:00,2020
214,True,2020-08-04 21:04:32+00:00,active,True,282,0,3,False,282,True,0,12,0,,,2020-08-04 21:07:00,2020
215,True,2020-08-04 17:24:45+00:00,active,True,296,1,15,False,296,True,0,7,0,,,2020-08-04 21:07:00,2020
216,True,2020-08-04 20:53:14+00:00,active,True,318,0,8,False,318,True,0,11,0,,,2020-08-04 21:07:00,2020
217,True,2020-08-04 19:29:26+00:00,active,True,319,0,13,False,319,True,0,12,0,,,2020-08-04 21:07:00,2020
218,True,2020-08-04 20:56:55+00:00,active,True,327,0,7,False,327,True,0,8,0,,,2020-08-04 21:07:00,2020
219,True,2020-08-04 20:39:28+00:00,active,True,328,0,6,False,328,True,0,9,0,,,2020-08-04 21:07:00,2020
220,True,2020-08-04 19:40:10+00:00,active,True,329,0,6,False,329,True,0,9,0,,,2020-08-04 21:07:00,2020
221,True,2020-08-04 20:45:28+00:00,active,True,330,0,14,False,330,True,0,1,0,,,2020-08-04 21:07:00,2020
222,True,2020-08-04 20:28:22+00:00,active,True,331,0,8,False,331,True,0,7,0,,,2020-08-04 21:07:00,2020
223,True,2020-08-04 21:05:18+00:00,active,True,332,0,12,False,332,True,0,3,0,,,2020-08-04 21:07:00,2020
224,True,2020-08-04 17:12:19+00:00,active,True,333,0,2,False,333,True,0,23,0,,,2020-08-04 21:07:00,2020
225,True,2020-08-04 20:26:11+00:00,active,True,334,0,5,False,334,True,0,14,0,,,2020-08-04 21:07:00,2020
226,True,2020-08-04 19:44:28+00:00,active,True,335,0,16,False,335,True,0,3,0,,,2020-08-04 21:07:00,2020
227,True,2020-08-04 18:53:10+00:00,active,True,336,0,1,False,336,True,0,14,0,,,2020-08-04 21:07:00,2020
228,True,2020-08-04 18:12:51+00:00,active,True,337,0,2,False,337,True,0,13,0,,,2020-08-04 21:07:00,2020
229,True,2020-08-04 21:01:32+00:00,active,True,338,0,13,False,338,True,0,2,0,,,2020-08-04 21:07:00,2020
230,True,2020-08-04 20:25:03+00:00,active,True,339,0,6,False,339,True,0,9,0,,,2020-08-04 21:07:00,2020
231,True,2020-08-04 17:02:48+00:00,active,True,340,0,3,False,340,True,0,16,0,,,2020-08-04 21:07:00,2020
232,True,2020-08-04 19:49:02+00:00,active,True,341,0,10,True,341,True,0,5,0,,,2020-08-04 21:07:00,2020
233,True,2020-08-04 20:46:20+00:00,active,True,342,2,0,False,342,True,0,13,0,,,2020-08-04 21:07:00,2020
234,True,2020-08-04 19:00:47+00:00,active,True,343,0,9,False,343,True,0,6,0,,,2020-08-04 21:07:00,2020
235,True,2020-08-04 19:32:44+00:00,active,True,344,0,18,False,344,True,0,1,0,,,2020-08-04 21:07:00,2020
236,True,2020-08-04 20:00:33+00:00,active,True,345,1,7,False,345,True,0,11,0,,,2020-08-04 21:07:00,2020
237,True,2020-08-04 20:01:12+00:00,active,True,346,0,15,False,346,True,0,0,0,,,2020-08-04 21:07:00,2020
238,True,2020-08-04 18:55:15+00:00,active,True,347,0,10,False,347,True,0,5,0,,,2020-08-04 21:07:00,2020
239,True,2020-08-04 18:40:01+00:00,active,True,348,0,2,False,348,True,0,13,0,,,2020-08-04 21:07:00,2020
240,True,2020-08-04 01:02:05+00:00,active,True,349,0,7,True,349,True,0,10,0,,,2020-08-04 21:07:00,2020
