,is_returning,num_bikes_available,last_reported,num_docks_available,num_ebikes_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_status,num_bikes_disabled,legacy_id,station_id,timestamp_of_data_read_request,year_station_last_reported
179,True,0,2020-08-22 01:10:59+00:00,23,0,0,True,True,False,active,0,206,206,2020-08-22 01:33:30,2020
180,True,15,2020-08-22 01:20:02+00:00,0,0,0,True,True,True,active,0,208,208,2020-08-22 01:33:30,2020
181,True,5,2020-08-22 00:39:16+00:00,9,0,0,True,True,False,active,1,209,209,2020-08-22 01:33:30,2020
182,True,0,2020-08-21 22:22:28+00:00,15,0,0,True,True,False,active,0,210,210,2020-08-22 01:33:30,2020
183,True,13,2020-08-22 01:28:09+00:00,6,0,0,True,True,False,active,0,211,211,2020-08-22 01:33:30,2020
184,True,4,2020-08-22 01:10:53+00:00,27,0,0,True,True,False,active,2,212,212,2020-08-22 01:33:30,2020
185,True,6,2020-08-21 19:55:09+00:00,10,0,0,True,True,True,active,0,213,213,2020-08-22 01:33:30,2020
186,True,2,2020-08-22 00:52:04+00:00,13,0,0,True,True,False,active,0,214,214,2020-08-22 01:33:30,2020
187,True,5,2020-08-22 01:02:30+00:00,9,0,0,True,True,False,active,1,215,215,2020-08-22 01:33:30,2020
188,True,13,2020-08-21 23:55:44+00:00,6,0,0,True,True,False,active,0,216,216,2020-08-22 01:33:30,2020
189,True,6,2020-08-22 00:23:42+00:00,12,0,0,True,True,False,active,1,217,217,2020-08-22 01:33:30,2020
190,True,15,2020-08-22 01:15:15+00:00,0,0,0,True,True,False,active,0,218,218,2020-08-22 01:33:30,2020
191,True,6,2020-08-21 20:06:41+00:00,9,0,0,True,True,False,active,0,219,219,2020-08-22 01:33:30,2020
192,True,0,2020-08-22 00:53:47+00:00,19,0,0,True,True,False,active,0,221,221,2020-08-22 01:33:30,2020
193,True,7,2020-08-22 01:32:42+00:00,6,0,0,True,True,True,active,1,222,222,2020-08-22 01:33:30,2020
194,True,6,2020-08-22 00:44:29+00:00,10,0,0,True,True,False,active,1,224,224,2020-08-22 01:33:30,2020
195,True,14,2020-08-22 01:23:22+00:00,4,0,0,True,True,False,active,1,225,225,2020-08-22 01:33:30,2020
196,True,3,2020-08-22 01:11:35+00:00,11,0,0,True,True,False,active,1,226,226,2020-08-22 01:33:30,2020
197,True,12,2020-08-22 01:29:33+00:00,5,0,0,True,True,False,active,2,227,227,2020-08-22 01:33:30,2020
198,True,8,2020-08-22 00:57:37+00:00,11,0,0,True,True,False,active,0,228,228,2020-08-22 01:33:30,2020
199,True,1,2020-08-21 21:57:05+00:00,10,0,0,True,True,False,active,0,232,232,2020-08-22 01:33:30,2020
200,True,4,2020-08-22 01:18:47+00:00,11,0,0,True,True,False,active,0,233,233,2020-08-22 01:33:30,2020
201,True,1,2020-08-21 23:56:05+00:00,14,0,0,True,True,False,active,0,234,234,2020-08-22 01:33:30,2020
202,True,8,2020-08-22 01:06:27+00:00,7,0,0,True,True,False,active,0,235,235,2020-08-22 01:33:30,2020
203,True,14,2020-08-22 01:00:41+00:00,1,0,0,True,True,False,active,0,236,236,2020-08-22 01:33:30,2020
204,True,3,2020-08-22 00:45:29+00:00,12,0,0,True,True,False,active,0,239,239,2020-08-22 01:33:30,2020
205,True,5,2020-08-21 18:57:17+00:00,10,0,0,True,True,False,active,0,255,255,2020-08-22 01:33:30,2020
206,True,14,2020-08-22 00:58:28+00:00,1,0,0,True,True,False,active,0,258,258,2020-08-22 01:33:30,2020
207,True,9,2020-08-21 23:59:00+00:00,6,0,0,True,True,False,active,0,259,259,2020-08-22 01:33:30,2020
208,True,4,2020-08-21 23:00:46+00:00,11,0,0,True,True,False,active,0,260,260,2020-08-22 01:33:30,2020
209,True,5,2020-08-21 23:49:57+00:00,10,0,0,True,True,False,active,0,271,271,2020-08-22 01:33:30,2020
210,True,7,2020-08-22 00:11:20+00:00,12,0,0,True,True,False,active,0,272,272,2020-08-22 01:33:30,2020
211,True,22,2020-08-22 01:12:22+00:00,18,0,0,True,True,False,active,0,273,273,2020-08-22 01:33:30,2020
212,True,19,2020-08-21 22:09:37+00:00,0,0,0,True,True,False,active,0,279,279,2020-08-22 01:33:30,2020
213,True,14,2020-08-21 23:18:55+00:00,5,0,0,True,True,False,active,0,280,280,2020-08-22 01:33:30,2020
214,True,12,2020-08-22 01:26:23+00:00,2,0,0,True,True,False,active,1,282,282,2020-08-22 01:33:30,2020
215,True,2,2020-08-22 00:57:39+00:00,20,0,0,True,True,False,active,1,296,296,2020-08-22 01:33:30,2020
216,True,2,2020-08-22 01:12:57+00:00,17,0,0,True,True,False,active,0,318,318,2020-08-22 01:33:30,2020
217,True,3,2020-08-22 01:31:52+00:00,22,0,0,True,True,False,active,0,319,319,2020-08-22 01:33:30,2020
218,True,3,2020-08-22 01:04:44+00:00,11,0,0,True,True,False,active,1,327,327,2020-08-22 01:33:30,2020
219,True,10,2020-08-22 00:38:00+00:00,5,0,0,True,True,False,active,0,328,328,2020-08-22 01:33:30,2020
220,True,10,2020-08-21 22:54:28+00:00,5,0,0,True,True,False,active,0,329,329,2020-08-22 01:33:30,2020
221,True,6,2020-08-22 00:03:19+00:00,9,0,0,True,True,False,active,0,330,330,2020-08-22 01:33:30,2020
222,True,10,2020-08-22 01:27:36+00:00,5,0,0,True,True,False,active,0,331,331,2020-08-22 01:33:30,2020
223,True,12,2020-08-22 01:20:58+00:00,3,0,0,True,True,False,active,0,332,332,2020-08-22 01:33:30,2020
224,True,22,2020-08-22 00:39:17+00:00,3,0,0,True,True,False,active,0,333,333,2020-08-22 01:33:30,2020
