,legacy_id,eightd_has_available_keys,num_docks_disabled,is_installed,num_docks_available,last_reported,is_renting,num_bikes_available,is_returning,num_bikes_disabled,station_status,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
134,151,False,0,True,12,2020-07-30 19:00:15+00:00,True,6,True,1,active,151,0,,,2020-07-30 19:07:45,2020
135,152,True,0,True,4,2020-07-30 17:31:18+00:00,True,11,True,0,active,152,0,,,2020-07-30 19:07:45,2020
136,156,False,0,True,12,2020-07-30 18:41:25+00:00,True,3,True,0,active,156,0,,,2020-07-30 19:07:45,2020
137,157,False,0,True,8,2020-07-30 19:02:24+00:00,True,6,True,1,active,157,0,,,2020-07-30 19:07:45,2020
138,159,False,0,True,8,2020-07-30 18:34:53+00:00,True,6,True,1,active,159,0,,,2020-07-30 19:07:45,2020
139,160,True,0,True,10,2020-07-30 18:50:38+00:00,True,4,True,0,active,160,0,,,2020-07-30 19:07:45,2020
140,161,True,0,True,22,2020-07-30 18:40:25+00:00,True,1,True,0,active,161,0,,,2020-07-30 19:07:45,2020
141,162,False,0,True,15,2020-07-30 16:52:51+00:00,True,0,True,0,active,162,0,,,2020-07-30 19:07:45,2020
142,163,True,0,True,11,2020-07-30 19:06:50+00:00,True,8,True,0,active,163,0,,,2020-07-30 19:07:45,2020
143,167,False,0,True,7,2020-07-30 18:15:46+00:00,True,7,True,1,active,167,0,,,2020-07-30 19:07:45,2020
144,169,False,0,True,10,2020-07-30 18:26:32+00:00,True,9,True,0,active,169,0,,,2020-07-30 19:07:45,2020
145,170,True,0,True,11,2020-07-30 19:04:22+00:00,True,3,True,0,active,170,0,,,2020-07-30 19:07:45,2020
146,171,True,0,True,18,2020-07-30 19:05:36+00:00,True,4,True,1,active,171,0,,,2020-07-30 19:07:45,2020
147,173,True,0,True,10,2020-07-30 18:31:29+00:00,True,2,True,2,active,173,0,,,2020-07-30 19:07:45,2020
148,174,False,0,True,3,2020-07-30 18:40:56+00:00,True,12,True,0,active,174,0,,,2020-07-30 19:07:45,2020
149,175,True,0,True,17,2020-07-30 18:38:41+00:00,True,0,True,0,active,175,0,,,2020-07-30 19:07:45,2020
150,176,False,0,True,5,2020-07-30 18:46:24+00:00,True,10,True,0,active,176,0,,,2020-07-30 19:07:45,2020
151,177,False,0,True,8,2020-07-30 19:03:21+00:00,True,11,True,0,active,177,0,,,2020-07-30 19:07:45,2020
152,178,False,0,True,1,2020-07-30 18:52:25+00:00,True,18,True,0,active,178,0,,,2020-07-30 19:07:45,2020
153,179,False,0,True,24,2020-07-30 18:41:43+00:00,True,1,True,0,active,179,0,,,2020-07-30 19:07:45,2020
154,180,False,0,True,12,2020-07-30 16:06:46+00:00,True,7,True,0,active,180,0,,,2020-07-30 19:07:45,2020
155,181,False,0,True,17,2020-07-30 18:23:09+00:00,True,1,True,1,active,181,0,,,2020-07-30 19:07:45,2020
156,182,True,0,True,10,2020-07-30 17:31:24+00:00,True,8,True,1,active,182,0,,,2020-07-30 19:07:45,2020
157,183,False,0,True,10,2020-07-30 17:53:17+00:00,True,9,True,0,active,183,0,,,2020-07-30 19:07:45,2020
158,184,False,0,True,1,2020-07-30 19:04:36+00:00,True,18,True,0,active,184,0,,,2020-07-30 19:07:45,2020
159,185,False,0,True,5,2020-07-30 19:03:11+00:00,True,10,True,0,active,185,0,,,2020-07-30 19:07:45,2020
160,186,True,0,True,9,2020-07-30 18:46:27+00:00,True,6,True,0,active,186,0,,,2020-07-30 19:07:45,2020
161,187,False,0,True,4,2020-07-30 18:33:17+00:00,True,11,True,0,active,187,0,,,2020-07-30 19:07:45,2020
162,188,False,0,True,4,2020-07-30 17:57:53+00:00,True,10,True,1,active,188,0,,,2020-07-30 19:07:45,2020
163,189,True,0,True,5,2020-07-30 18:58:21+00:00,True,18,True,0,active,189,0,,,2020-07-30 19:07:45,2020
164,190,False,0,True,20,2020-07-30 18:30:13+00:00,True,17,True,0,active,190,0,,,2020-07-30 19:07:45,2020
165,191,False,0,True,13,2020-07-30 15:41:20+00:00,True,2,True,0,active,191,0,,,2020-07-30 19:07:45,2020
166,192,False,0,True,1,2020-07-30 18:10:44+00:00,True,18,True,0,active,192,0,,,2020-07-30 19:07:45,2020
167,193,True,0,True,4,2020-07-30 18:44:40+00:00,True,11,True,0,active,193,0,,,2020-07-30 19:07:45,2020
168,194,False,0,True,7,2020-07-30 18:39:44+00:00,True,12,True,0,active,194,0,,,2020-07-30 19:07:45,2020
169,195,False,0,True,12,2020-07-30 18:51:18+00:00,True,11,True,0,active,195,0,,,2020-07-30 19:07:45,2020
170,196,True,0,True,8,2020-07-30 18:18:38+00:00,True,1,True,1,active,196,0,,,2020-07-30 19:07:45,2020
171,197,False,0,True,14,2020-07-30 18:10:37+00:00,True,1,True,0,active,197,0,,,2020-07-30 19:07:45,2020
172,199,False,0,True,9,2020-07-30 14:28:13+00:00,True,6,True,0,active,199,0,,,2020-07-30 19:07:45,2020
