,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
28,False,8,active,2020-08-08 19:27:25+00:00,0,True,True,33,1,33,18,True,0,,,2020-08-08 19:33:30,2020
29,False,0,active,2020-08-08 19:10:22+00:00,0,True,True,35,0,35,23,True,0,,,2020-08-08 19:33:30,2020
30,True,30,active,2020-08-08 19:28:16+00:00,0,True,True,36,0,36,3,True,0,,,2020-08-08 19:33:30,2020
31,True,2,active,2020-08-08 18:35:01+00:00,0,True,True,37,0,37,13,True,0,,,2020-08-08 19:33:30,2020
32,False,5,active,2020-08-08 19:27:35+00:00,0,True,True,39,0,39,18,True,0,,,2020-08-08 19:33:30,2020
33,False,7,active,2020-08-08 19:32:52+00:00,0,True,True,40,4,40,8,True,0,,,2020-08-08 19:33:30,2020
34,True,0,active,2020-08-08 19:31:46+00:00,0,True,True,41,1,41,26,True,0,,,2020-08-08 19:33:30,2020
35,False,22,active,2020-08-08 19:33:15+00:00,0,True,True,42,0,42,1,True,0,,,2020-08-08 19:33:30,2020
36,True,8,active,2020-08-08 19:07:54+00:00,0,True,True,43,0,43,7,True,0,,,2020-08-08 19:33:30,2020
37,False,5,active,2020-08-08 19:32:43+00:00,0,True,True,44,0,44,18,True,0,,,2020-08-08 19:33:30,2020
38,False,6,active,2020-08-08 19:27:56+00:00,0,True,True,46,0,46,13,True,0,,,2020-08-08 19:33:30,2020
39,True,4,active,2020-08-08 19:33:11+00:00,0,True,True,47,1,47,14,True,0,,,2020-08-08 19:33:30,2020
40,False,16,active,2020-08-08 19:31:40+00:00,0,True,True,48,0,48,3,True,0,,,2020-08-08 19:33:30,2020
41,False,14,active,2020-08-08 19:27:52+00:00,0,True,True,49,0,49,4,True,0,,,2020-08-08 19:33:30,2020
42,True,15,active,2020-08-08 19:30:04+00:00,0,True,True,50,0,50,0,True,0,,,2020-08-08 19:33:30,2020
43,False,1,active,2020-08-08 19:19:35+00:00,0,True,True,51,0,51,14,True,0,,,2020-08-08 19:33:30,2020
44,True,19,active,2020-08-08 19:31:17+00:00,0,True,True,52,0,52,4,True,0,,,2020-08-08 19:33:30,2020
45,False,1,active,2020-08-08 19:32:54+00:00,0,True,True,53,0,53,18,True,0,,,2020-08-08 19:33:30,2020
46,False,5,active,2020-08-08 19:27:16+00:00,0,True,True,54,0,54,10,True,0,,,2020-08-08 19:33:30,2020
47,False,6,active,2020-08-08 19:29:46+00:00,0,True,True,55,0,55,9,True,0,,,2020-08-08 19:33:30,2020
48,True,3,active,2020-08-08 19:30:38+00:00,0,True,True,56,0,56,15,True,0,,,2020-08-08 19:33:30,2020
49,True,0,active,2020-08-08 18:57:22+00:00,0,True,True,57,0,57,14,True,0,,,2020-08-08 19:33:30,2020
50,True,13,active,2020-08-08 19:28:44+00:00,0,True,True,58,0,58,6,True,0,,,2020-08-08 19:33:30,2020
51,False,9,active,2020-08-08 19:21:48+00:00,0,True,True,59,0,59,10,True,0,,,2020-08-08 19:33:30,2020
52,False,13,active,2020-08-08 19:19:17+00:00,0,True,True,60,2,60,4,True,0,,,2020-08-08 19:33:30,2020
53,False,13,active,2020-08-08 19:25:23+00:00,0,True,True,61,1,61,5,True,0,,,2020-08-08 19:33:30,2020
54,False,4,active,2020-08-08 18:59:58+00:00,0,True,True,63,1,63,10,True,0,,,2020-08-08 19:33:30,2020
55,False,19,active,2020-08-08 19:25:05+00:00,0,True,True,64,0,64,0,True,0,,,2020-08-08 19:33:30,2020
56,False,10,active,2020-08-08 18:23:04+00:00,0,True,True,65,0,65,13,True,0,,,2020-08-08 19:33:30,2020
