,eightd_has_available_keys,station_id,num_docks_disabled,is_returning,is_renting,num_docks_available,last_reported,station_status,legacy_id,num_bikes_disabled,is_installed,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
127,False,142,0,True,True,9,2020-07-31 23:41:11+00:00,active,142,0,True,0,14,,,2020-07-31 23:42:35,2020
128,False,143,0,True,True,8,2020-07-31 23:38:08+00:00,active,143,1,True,0,14,,,2020-07-31 23:42:35,2020
129,False,144,0,True,True,18,2020-07-31 23:30:38+00:00,active,144,0,True,0,1,,,2020-07-31 23:42:35,2020
130,False,145,0,True,True,9,2020-07-31 22:53:31+00:00,active,145,0,True,0,10,,,2020-07-31 23:42:35,2020
131,False,146,0,True,True,10,2020-07-31 23:29:38+00:00,active,146,0,True,0,9,,,2020-07-31 23:42:35,2020
132,True,149,0,True,True,13,2020-07-31 23:31:09+00:00,active,149,0,True,0,5,,,2020-07-31 23:42:35,2020
133,False,150,0,True,True,7,2020-07-31 23:42:09+00:00,active,150,1,True,0,11,,,2020-07-31 23:42:35,2020
134,False,151,0,True,True,13,2020-07-31 23:21:53+00:00,active,151,2,True,0,4,,,2020-07-31 23:42:35,2020
135,True,152,0,True,True,14,2020-07-31 23:28:39+00:00,active,152,0,True,0,1,,,2020-07-31 23:42:35,2020
136,False,156,0,True,True,13,2020-07-31 22:29:47+00:00,active,156,0,True,0,2,,,2020-07-31 23:42:35,2020
137,False,157,0,True,True,1,2020-07-31 23:37:11+00:00,active,157,1,True,0,13,,,2020-07-31 23:42:35,2020
138,False,159,0,True,True,13,2020-07-31 23:38:53+00:00,active,159,1,True,0,1,,,2020-07-31 23:42:35,2020
139,True,160,0,True,True,14,2020-07-31 23:30:46+00:00,active,160,0,True,0,0,,,2020-07-31 23:42:35,2020
140,True,161,0,True,True,22,2020-07-31 23:39:16+00:00,active,161,0,True,0,1,,,2020-07-31 23:42:35,2020
141,False,162,0,True,True,12,2020-07-31 23:16:21+00:00,active,162,0,True,0,3,,,2020-07-31 23:42:35,2020
142,True,163,0,True,True,9,2020-07-31 23:34:16+00:00,active,163,0,True,0,10,,,2020-07-31 23:42:35,2020
143,False,167,0,True,True,13,2020-07-31 23:35:36+00:00,active,167,1,True,0,1,,,2020-07-31 23:42:35,2020
