,station_id,is_renting,is_returning,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,num_docks_available,last_reported,legacy_id,num_docks_disabled,station_status,is_installed,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
224,333,True,True,False,0,0,5,2020-08-21 23:20:32+00:00,333,0,active,True,20,2020-08-21 23:20:50,2020
225,334,True,True,False,0,0,8,2020-08-21 23:12:52+00:00,334,0,active,True,11,2020-08-21 23:20:50,2020
226,335,True,True,False,0,0,12,2020-08-21 23:14:05+00:00,335,0,active,True,7,2020-08-21 23:20:50,2020
227,336,True,True,False,0,0,11,2020-08-21 21:26:12+00:00,336,0,active,True,4,2020-08-21 23:20:50,2020
228,337,True,True,False,0,0,0,2020-08-21 22:54:10+00:00,337,0,active,True,15,2020-08-21 23:20:50,2020
229,338,True,True,False,0,0,11,2020-08-21 23:17:27+00:00,338,0,active,True,4,2020-08-21 23:20:50,2020
230,339,True,True,False,0,0,1,2020-08-21 22:39:10+00:00,339,0,active,True,14,2020-08-21 23:20:50,2020
231,340,True,True,False,0,0,4,2020-08-21 08:56:34+00:00,340,0,active,True,15,2020-08-21 23:20:50,2020
232,341,True,True,True,0,0,3,2020-08-21 16:22:12+00:00,341,0,active,True,12,2020-08-21 23:20:50,2020
233,342,True,True,False,0,0,9,2020-08-21 23:17:17+00:00,342,0,active,True,6,2020-08-21 23:20:50,2020
234,343,True,True,False,0,0,12,2020-08-21 08:51:37+00:00,343,0,active,True,3,2020-08-21 23:20:50,2020
235,344,True,True,False,0,0,17,2020-08-21 23:12:13+00:00,344,0,active,True,2,2020-08-21 23:20:50,2020
236,345,True,True,False,0,1,10,2020-08-21 23:19:18+00:00,345,0,active,True,8,2020-08-21 23:20:50,2020
237,346,True,True,False,0,0,14,2020-08-21 23:19:30+00:00,346,0,active,True,1,2020-08-21 23:20:50,2020
238,347,True,True,False,0,0,1,2020-08-21 18:50:00+00:00,347,0,active,True,14,2020-08-21 23:20:50,2020
239,348,True,True,False,0,0,8,2020-08-21 20:14:18+00:00,348,0,active,True,7,2020-08-21 23:20:50,2020
240,349,True,True,False,0,0,13,2020-08-21 18:44:35+00:00,349,0,active,True,4,2020-08-21 23:20:50,2020
241,350,True,True,False,0,0,5,2020-08-21 17:54:21+00:00,350,0,active,True,12,2020-08-21 23:20:50,2020
242,351,True,True,False,0,0,6,2020-08-21 22:41:12+00:00,351,0,active,True,9,2020-08-21 23:20:50,2020
243,352,True,True,False,0,0,6,2020-08-21 23:19:22+00:00,352,0,active,True,9,2020-08-21 23:20:50,2020
