,legacy_id,num_bikes_available,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_returning,num_bikes_disabled,station_status,is_renting,station_id,is_installed,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
166,192,2,17,2020-08-22 03:12:28+00:00,0,0,True,0,active,True,192,True,False,2020-08-22 03:56:25,2020
167,193,5,10,2020-08-22 02:10:37+00:00,0,0,True,0,active,True,193,True,True,2020-08-22 03:56:25,2020
168,194,4,15,2020-08-22 02:09:02+00:00,0,0,True,0,active,True,194,True,False,2020-08-22 03:56:25,2020
169,195,14,9,2020-08-22 03:56:03+00:00,0,0,True,0,active,True,195,True,False,2020-08-22 03:56:25,2020
170,196,7,3,2020-08-22 01:43:10+00:00,0,0,True,0,active,True,196,True,False,2020-08-22 03:56:25,2020
171,197,14,1,2020-08-22 01:48:34+00:00,0,0,True,0,active,True,197,True,False,2020-08-22 03:56:25,2020
172,199,11,4,2020-08-21 23:38:51+00:00,0,0,True,0,active,True,199,True,False,2020-08-22 03:56:25,2020
173,200,17,2,2020-08-22 02:51:17+00:00,0,0,True,0,active,True,200,True,False,2020-08-22 03:56:25,2020
174,201,2,13,2020-08-21 22:44:20+00:00,0,0,True,0,active,True,201,True,False,2020-08-22 03:56:25,2020
175,202,3,12,2020-08-22 01:55:14+00:00,0,0,True,0,active,True,202,True,False,2020-08-22 03:56:25,2020
176,203,6,9,2020-08-21 12:45:21+00:00,0,0,True,0,active,True,203,True,False,2020-08-22 03:56:25,2020
177,204,1,14,2020-08-22 01:15:54+00:00,0,0,True,0,active,True,204,True,False,2020-08-22 03:56:25,2020
178,205,4,11,2020-08-22 02:28:27+00:00,0,0,True,0,active,True,205,True,False,2020-08-22 03:56:25,2020
179,206,9,14,2020-08-22 03:24:01+00:00,0,0,True,0,active,True,206,True,False,2020-08-22 03:56:25,2020
180,208,15,0,2020-08-22 01:20:02+00:00,0,0,True,0,active,True,208,True,True,2020-08-22 03:56:25,2020
181,209,4,10,2020-08-22 03:11:30+00:00,0,0,True,1,active,True,209,True,False,2020-08-22 03:56:25,2020
182,210,0,15,2020-08-22 02:50:53+00:00,0,0,True,0,active,True,210,True,False,2020-08-22 03:56:25,2020
183,211,13,6,2020-08-22 01:28:09+00:00,0,0,True,0,active,True,211,True,False,2020-08-22 03:56:25,2020
184,212,2,29,2020-08-22 02:47:07+00:00,0,0,True,2,active,True,212,True,False,2020-08-22 03:56:25,2020
185,213,5,11,2020-08-22 02:07:25+00:00,0,0,True,0,active,True,213,True,True,2020-08-22 03:56:25,2020
186,214,7,8,2020-08-22 03:05:47+00:00,0,0,True,0,active,True,214,True,False,2020-08-22 03:56:25,2020
187,215,5,9,2020-08-22 01:02:30+00:00,0,0,True,1,active,True,215,True,False,2020-08-22 03:56:25,2020
188,216,13,6,2020-08-21 23:55:44+00:00,0,0,True,0,active,True,216,True,False,2020-08-22 03:56:25,2020
189,217,6,12,2020-08-22 03:23:47+00:00,0,0,True,1,active,True,217,True,False,2020-08-22 03:56:25,2020
190,218,10,5,2020-08-22 03:47:42+00:00,0,0,True,0,active,True,218,True,False,2020-08-22 03:56:25,2020
191,219,7,8,2020-08-22 01:44:25+00:00,0,0,True,0,active,True,219,True,False,2020-08-22 03:56:25,2020
192,221,0,19,2020-08-22 03:16:20+00:00,0,0,True,0,active,True,221,True,False,2020-08-22 03:56:25,2020
193,222,6,7,2020-08-22 03:55:52+00:00,0,0,True,1,active,True,222,True,True,2020-08-22 03:56:25,2020
194,224,6,10,2020-08-22 00:44:29+00:00,0,0,True,1,active,True,224,True,False,2020-08-22 03:56:25,2020
195,225,14,4,2020-08-22 03:41:21+00:00,0,0,True,1,active,True,225,True,False,2020-08-22 03:56:25,2020
196,226,9,5,2020-08-22 03:36:20+00:00,0,0,True,1,active,True,226,True,False,2020-08-22 03:56:25,2020
197,227,9,8,2020-08-22 03:17:35+00:00,0,0,True,2,active,True,227,True,False,2020-08-22 03:56:25,2020
198,228,10,9,2020-08-22 01:45:34+00:00,0,0,True,0,active,True,228,True,False,2020-08-22 03:56:25,2020
199,232,1,10,2020-08-21 21:57:05+00:00,0,0,True,0,active,True,232,True,False,2020-08-22 03:56:25,2020
200,233,1,14,2020-08-22 03:27:16+00:00,0,0,True,0,active,True,233,True,False,2020-08-22 03:56:25,2020
201,234,2,13,2020-08-22 02:07:58+00:00,0,0,True,0,active,True,234,True,False,2020-08-22 03:56:25,2020
202,235,8,7,2020-08-22 01:06:27+00:00,0,0,True,0,active,True,235,True,False,2020-08-22 03:56:25,2020
203,236,14,1,2020-08-22 03:05:46+00:00,0,0,True,0,active,True,236,True,False,2020-08-22 03:56:25,2020
204,239,5,10,2020-08-22 02:30:49+00:00,0,0,True,0,active,True,239,True,False,2020-08-22 03:56:25,2020
205,255,5,10,2020-08-21 18:57:17+00:00,0,0,True,0,active,True,255,True,False,2020-08-22 03:56:25,2020
206,258,14,1,2020-08-22 00:58:28+00:00,0,0,True,0,active,True,258,True,False,2020-08-22 03:56:25,2020
207,259,10,5,2020-08-22 03:46:02+00:00,0,0,True,0,active,True,259,True,False,2020-08-22 03:56:25,2020
208,260,4,11,2020-08-22 02:39:51+00:00,0,0,True,0,active,True,260,True,False,2020-08-22 03:56:25,2020
209,271,4,11,2020-08-22 02:57:23+00:00,0,0,True,0,active,True,271,True,False,2020-08-22 03:56:25,2020
210,272,6,13,2020-08-22 01:57:37+00:00,0,0,True,0,active,True,272,True,False,2020-08-22 03:56:25,2020
211,273,24,16,2020-08-22 02:37:46+00:00,0,0,True,0,active,True,273,True,False,2020-08-22 03:56:25,2020
212,279,16,3,2020-08-22 02:55:13+00:00,0,0,True,0,active,True,279,True,False,2020-08-22 03:56:25,2020
213,280,14,5,2020-08-21 23:18:55+00:00,0,0,True,0,active,True,280,True,False,2020-08-22 03:56:25,2020
214,282,14,0,2020-08-22 02:14:47+00:00,0,0,True,1,active,True,282,True,False,2020-08-22 03:56:25,2020
215,296,7,15,2020-08-22 03:23:25+00:00,0,0,True,1,active,True,296,True,False,2020-08-22 03:56:25,2020
216,318,3,16,2020-08-22 03:28:27+00:00,0,0,True,0,active,True,318,True,False,2020-08-22 03:56:25,2020
217,319,1,24,2020-08-22 01:45:53+00:00,0,0,True,0,active,True,319,True,False,2020-08-22 03:56:25,2020
