,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,station_status,legacy_id,is_installed,is_renting,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
146,True,0,0,10,171,True,0,13,active,171,True,True,2020-08-20 20:46:23+00:00,,,2020-08-20 21:00:20,2020
147,True,0,0,6,173,True,0,8,active,173,True,True,2020-08-20 18:33:25+00:00,,,2020-08-20 21:00:20,2020
148,False,0,0,6,174,True,0,9,active,174,True,True,2020-08-20 20:57:56+00:00,,,2020-08-20 21:00:20,2020
149,True,0,0,7,175,True,2,8,active,175,True,True,2020-08-20 20:48:50+00:00,,,2020-08-20 21:00:20,2020
150,False,0,0,8,176,True,0,7,active,176,True,True,2020-08-20 20:55:51+00:00,,,2020-08-20 21:00:20,2020
151,False,0,0,14,177,True,1,4,active,177,True,True,2020-08-20 20:36:31+00:00,,,2020-08-20 21:00:20,2020
152,False,0,0,8,178,True,0,11,active,178,True,True,2020-08-20 20:47:28+00:00,,,2020-08-20 21:00:20,2020
153,False,0,0,9,179,True,1,15,active,179,True,True,2020-08-20 21:00:07+00:00,,,2020-08-20 21:00:20,2020
154,False,0,0,18,180,True,0,1,active,180,True,True,2020-08-20 20:50:33+00:00,,,2020-08-20 21:00:20,2020
155,False,0,0,3,181,True,0,16,active,181,True,True,2020-08-20 17:44:11+00:00,,,2020-08-20 21:00:20,2020
156,True,0,0,7,182,True,0,12,active,182,True,True,2020-08-20 19:31:54+00:00,,,2020-08-20 21:00:20,2020
157,False,0,0,9,183,True,0,10,active,183,True,True,2020-08-20 20:58:02+00:00,,,2020-08-20 21:00:20,2020
158,False,0,0,2,184,True,0,17,active,184,True,True,2020-08-20 20:58:28+00:00,,,2020-08-20 21:00:20,2020
159,False,0,0,1,185,True,1,13,active,185,True,True,2020-08-20 20:34:55+00:00,,,2020-08-20 21:00:20,2020
160,True,0,0,4,186,True,0,11,active,186,True,True,2020-08-20 20:50:43+00:00,,,2020-08-20 21:00:20,2020
161,False,0,0,0,187,True,0,15,active,187,True,True,2020-08-20 20:35:53+00:00,,,2020-08-20 21:00:20,2020
162,False,0,0,12,188,True,0,3,active,188,True,True,2020-08-20 17:44:42+00:00,,,2020-08-20 21:00:20,2020
163,True,0,0,9,189,True,0,14,active,189,True,True,2020-08-20 20:58:14+00:00,,,2020-08-20 21:00:20,2020
164,True,0,0,4,190,True,0,33,active,190,True,True,2020-08-20 20:58:25+00:00,,,2020-08-20 21:00:20,2020
165,False,0,0,1,191,True,0,14,active,191,True,True,2020-08-20 18:01:01+00:00,,,2020-08-20 21:00:20,2020
166,False,0,0,12,192,True,0,7,active,192,True,True,2020-08-20 20:47:32+00:00,,,2020-08-20 21:00:20,2020
167,True,0,0,2,193,True,0,13,active,193,True,True,2020-08-20 20:56:14+00:00,,,2020-08-20 21:00:20,2020
168,False,0,0,2,194,True,0,17,active,194,True,True,2020-08-20 20:58:03+00:00,,,2020-08-20 21:00:20,2020
169,False,0,0,2,195,True,0,21,active,195,True,True,2020-08-20 20:58:06+00:00,,,2020-08-20 21:00:20,2020
170,False,0,0,0,196,True,0,10,active,196,True,True,2020-08-20 17:54:52+00:00,,,2020-08-20 21:00:20,2020
171,False,0,0,7,197,True,1,7,active,197,True,True,2020-08-20 20:10:46+00:00,,,2020-08-20 21:00:20,2020
172,False,0,0,8,199,True,0,7,active,199,True,True,2020-08-20 14:19:54+00:00,,,2020-08-20 21:00:20,2020
173,False,0,0,18,200,True,0,1,active,200,True,True,2020-08-20 20:56:45+00:00,,,2020-08-20 21:00:20,2020
174,False,0,0,4,201,True,0,11,active,201,True,True,2020-08-20 12:47:08+00:00,,,2020-08-20 21:00:20,2020
175,False,0,0,5,202,True,0,10,active,202,True,True,2020-08-20 20:59:46+00:00,,,2020-08-20 21:00:20,2020
176,False,0,0,6,203,True,0,9,active,203,True,True,2020-08-20 16:40:31+00:00,,,2020-08-20 21:00:20,2020
177,False,0,0,3,204,True,0,12,active,204,True,True,2020-08-20 20:01:48+00:00,,,2020-08-20 21:00:20,2020
178,False,0,0,2,205,True,0,13,active,205,True,True,2020-08-20 17:59:34+00:00,,,2020-08-20 21:00:20,2020
179,True,0,0,2,206,True,0,21,active,206,True,True,2020-08-20 20:49:54+00:00,,,2020-08-20 21:00:20,2020
180,True,0,0,10,208,True,1,4,active,208,True,True,2020-08-20 20:51:54+00:00,,,2020-08-20 21:00:20,2020
181,False,0,0,13,209,True,1,1,active,209,True,True,2020-08-20 20:18:29+00:00,,,2020-08-20 21:00:20,2020
182,False,0,0,0,210,True,1,14,active,210,True,True,2020-08-20 18:49:02+00:00,,,2020-08-20 21:00:20,2020
183,False,0,0,9,211,True,0,10,active,211,True,True,2020-08-20 20:53:41+00:00,,,2020-08-20 21:00:20,2020
184,False,0,0,8,212,True,0,25,active,212,True,True,2020-08-20 20:51:21+00:00,,,2020-08-20 21:00:20,2020
185,True,0,0,2,213,True,0,14,active,213,True,True,2020-08-20 20:44:31+00:00,,,2020-08-20 21:00:20,2020
186,False,0,0,6,214,True,0,9,active,214,True,True,2020-08-20 20:40:49+00:00,,,2020-08-20 21:00:20,2020
187,False,0,0,7,215,True,4,4,active,215,True,True,2020-08-20 20:28:11+00:00,,,2020-08-20 21:00:20,2020
188,False,0,0,10,216,True,0,9,active,216,True,True,2020-08-20 20:48:44+00:00,,,2020-08-20 21:00:20,2020
189,False,0,0,4,217,True,0,15,active,217,True,True,2020-08-20 20:20:23+00:00,,,2020-08-20 21:00:20,2020
190,False,0,0,8,218,True,0,7,active,218,True,True,2020-08-20 20:51:26+00:00,,,2020-08-20 21:00:20,2020
191,False,0,0,4,219,True,0,11,active,219,True,True,2020-08-20 20:50:45+00:00,,,2020-08-20 21:00:20,2020
192,False,0,0,7,221,True,2,10,active,221,True,True,2020-08-20 20:49:47+00:00,,,2020-08-20 21:00:20,2020
193,True,0,0,5,222,True,0,9,active,222,True,True,2020-08-20 20:15:18+00:00,,,2020-08-20 21:00:20,2020
194,False,0,0,13,224,True,2,2,active,224,True,True,2020-08-20 20:53:04+00:00,,,2020-08-20 21:00:20,2020
195,False,0,0,6,225,True,2,11,active,225,True,True,2020-08-20 20:54:53+00:00,,,2020-08-20 21:00:20,2020
196,False,0,0,1,226,True,0,14,active,226,True,True,2020-08-20 20:55:55+00:00,,,2020-08-20 21:00:20,2020
197,False,0,0,11,227,True,0,8,active,227,True,True,2020-08-20 20:47:43+00:00,,,2020-08-20 21:00:20,2020
198,False,0,0,8,228,True,0,11,active,228,True,True,2020-08-20 20:36:05+00:00,,,2020-08-20 21:00:20,2020
199,False,0,0,1,232,True,0,10,active,232,True,True,2020-08-20 20:38:13+00:00,,,2020-08-20 21:00:20,2020
200,False,0,0,11,233,True,0,4,active,233,True,True,2020-08-20 20:44:36+00:00,,,2020-08-20 21:00:20,2020
201,False,0,0,6,234,True,0,9,active,234,True,True,2020-08-20 19:37:33+00:00,,,2020-08-20 21:00:20,2020
202,False,0,0,7,235,True,0,8,active,235,True,True,2020-08-20 15:14:09+00:00,,,2020-08-20 21:00:20,2020
203,False,0,0,11,236,True,0,4,active,236,True,True,2020-08-20 20:54:15+00:00,,,2020-08-20 21:00:20,2020
204,False,0,0,3,239,True,2,10,active,239,True,True,2020-08-20 20:42:09+00:00,,,2020-08-20 21:00:20,2020
205,False,0,0,6,255,True,0,9,active,255,True,True,2020-08-19 14:52:54+00:00,,,2020-08-20 21:00:20,2020
206,False,0,0,11,258,True,0,4,active,258,True,True,2020-08-20 17:37:25+00:00,,,2020-08-20 21:00:20,2020
207,False,0,0,9,259,True,0,6,active,259,True,True,2020-08-20 08:49:49+00:00,,,2020-08-20 21:00:20,2020
208,False,0,0,7,260,True,0,8,active,260,True,True,2020-08-20 15:48:04+00:00,,,2020-08-20 21:00:20,2020
209,False,0,0,9,271,True,0,6,active,271,True,True,2020-08-20 17:32:17+00:00,,,2020-08-20 21:00:20,2020
210,False,0,0,10,272,True,0,9,active,272,True,True,2020-08-20 20:51:04+00:00,,,2020-08-20 21:00:20,2020
211,False,0,0,31,273,True,0,9,active,273,True,True,2020-08-20 20:57:08+00:00,,,2020-08-20 21:00:20,2020
