,station_status,legacy_id,eightd_has_available_keys,is_returning,num_docks_available,num_ebikes_available,is_installed,num_docks_disabled,num_bikes_disabled,last_reported,is_renting,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
175,active,202,False,True,13,0,True,0,0,2020-08-04 13:48:28+00:00,True,2,202,,,2020-08-04 15:40:10,2020
176,active,203,False,True,9,0,True,0,0,2020-08-04 08:21:44+00:00,True,6,203,,,2020-08-04 15:40:10,2020
177,active,204,False,True,13,0,True,0,0,2020-08-04 15:21:35+00:00,True,2,204,,,2020-08-04 15:40:10,2020
178,active,205,False,True,8,0,True,0,0,2020-08-04 08:49:49+00:00,True,7,205,,,2020-08-04 15:40:10,2020
179,active,206,False,True,15,0,True,0,0,2020-08-04 15:06:49+00:00,True,8,206,,,2020-08-04 15:40:10,2020
180,active,208,True,True,0,0,True,0,0,2020-08-04 14:18:13+00:00,True,15,208,,,2020-08-04 15:40:10,2020
181,active,209,False,True,8,0,True,0,0,2020-08-04 08:30:27+00:00,True,7,209,,,2020-08-04 15:40:10,2020
182,active,210,False,True,13,0,True,0,1,2020-08-04 12:03:09+00:00,True,1,210,,,2020-08-04 15:40:10,2020
183,active,211,False,True,2,0,True,0,0,2020-08-04 15:35:51+00:00,True,17,211,,,2020-08-04 15:40:10,2020
184,active,212,False,True,9,0,True,0,0,2020-08-04 15:17:56+00:00,True,24,212,,,2020-08-04 15:40:10,2020
185,active,213,True,True,13,0,True,0,0,2020-08-04 05:38:52+00:00,True,3,213,,,2020-08-04 15:40:10,2020
186,active,214,False,True,7,0,True,0,0,2020-08-04 14:13:31+00:00,True,8,214,,,2020-08-04 15:40:10,2020
187,active,215,False,True,1,0,True,0,0,2020-08-04 15:25:43+00:00,True,14,215,,,2020-08-04 15:40:10,2020
188,active,216,False,True,7,0,True,0,0,2020-08-04 08:31:15+00:00,True,12,216,,,2020-08-04 15:40:10,2020
189,active,217,False,True,2,0,True,0,1,2020-08-04 15:22:30+00:00,True,16,217,,,2020-08-04 15:40:10,2020
190,active,218,False,True,10,0,True,0,1,2020-08-04 15:38:22+00:00,True,4,218,,,2020-08-04 15:40:10,2020
191,active,219,False,True,8,0,True,0,0,2020-08-04 08:56:33+00:00,True,7,219,,,2020-08-04 15:40:10,2020
192,active,221,False,True,17,0,True,0,0,2020-08-04 14:50:37+00:00,True,2,221,,,2020-08-04 15:40:10,2020
193,active,222,True,True,12,0,True,0,0,2020-08-04 15:22:48+00:00,True,2,222,,,2020-08-04 15:40:10,2020
194,active,224,False,True,13,0,True,0,1,2020-08-04 12:04:31+00:00,True,3,224,,,2020-08-04 15:40:10,2020
195,active,225,False,True,18,0,True,0,0,2020-08-04 15:08:27+00:00,True,1,225,,,2020-08-04 15:40:10,2020
196,active,226,False,True,14,0,True,0,1,2020-08-04 15:22:21+00:00,True,0,226,,,2020-08-04 15:40:10,2020
197,active,227,False,True,15,0,True,0,0,2020-08-04 15:30:06+00:00,True,4,227,,,2020-08-04 15:40:10,2020
198,active,228,False,True,3,0,True,0,1,2020-08-04 15:11:22+00:00,True,15,228,,,2020-08-04 15:40:10,2020
199,active,232,False,True,6,0,True,0,0,2020-08-04 15:23:42+00:00,True,5,232,,,2020-08-04 15:40:10,2020
200,active,233,False,True,12,0,True,0,0,2020-08-04 15:04:37+00:00,True,3,233,,,2020-08-04 15:40:10,2020
201,active,234,False,True,13,0,True,0,0,2020-08-04 13:43:16+00:00,True,2,234,,,2020-08-04 15:40:10,2020
202,active,235,False,True,14,0,True,0,0,2020-08-04 13:52:46+00:00,True,1,235,,,2020-08-04 15:40:10,2020
203,active,236,False,True,7,0,True,0,0,2020-08-04 13:24:20+00:00,True,8,236,,,2020-08-04 15:40:10,2020
204,active,239,False,True,8,0,True,0,0,2020-08-04 15:39:44+00:00,True,7,239,,,2020-08-04 15:40:10,2020
205,active,255,False,True,4,0,True,0,0,2020-08-04 09:01:20+00:00,True,11,255,,,2020-08-04 15:40:10,2020
206,active,258,False,True,1,0,True,0,0,2020-08-04 12:34:55+00:00,True,14,258,,,2020-08-04 15:40:10,2020
207,active,259,False,True,15,0,True,0,0,2020-08-04 09:01:37+00:00,True,0,259,,,2020-08-04 15:40:10,2020
208,active,260,False,True,13,0,True,0,0,2020-08-04 14:43:10+00:00,True,2,260,,,2020-08-04 15:40:10,2020
209,active,271,False,True,8,0,True,0,0,2020-08-04 09:58:03+00:00,True,7,271,,,2020-08-04 15:40:10,2020
210,active,272,False,True,13,0,True,0,0,2020-08-04 09:00:19+00:00,True,6,272,,,2020-08-04 15:40:10,2020
211,active,273,False,True,8,0,True,0,1,2020-08-04 15:32:57+00:00,True,31,273,,,2020-08-04 15:40:10,2020
212,active,279,False,True,15,0,True,0,0,2020-08-04 15:33:50+00:00,True,4,279,,,2020-08-04 15:40:10,2020
213,active,280,False,True,19,0,True,0,0,2020-08-04 12:31:48+00:00,True,0,280,,,2020-08-04 15:40:10,2020
214,active,282,False,True,6,0,True,0,0,2020-08-04 14:56:51+00:00,True,9,282,,,2020-08-04 15:40:10,2020
215,active,296,False,True,16,0,True,0,1,2020-08-04 14:47:33+00:00,True,6,296,,,2020-08-04 15:40:10,2020
216,active,318,False,True,0,0,True,0,0,2020-08-04 15:24:02+00:00,True,19,318,,,2020-08-04 15:40:10,2020
217,active,319,False,True,15,0,True,0,0,2020-08-04 15:35:20+00:00,True,10,319,,,2020-08-04 15:40:10,2020
218,active,327,False,True,9,0,True,0,0,2020-08-04 15:06:23+00:00,True,6,327,,,2020-08-04 15:40:10,2020
219,active,328,False,True,10,0,True,0,0,2020-08-04 14:56:37+00:00,True,5,328,,,2020-08-04 15:40:10,2020
220,active,329,False,True,6,0,True,0,0,2020-08-04 15:36:44+00:00,True,9,329,,,2020-08-04 15:40:10,2020
