,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
166,True,active,True,False,0,3,191,True,12,191,0,2020-08-03 14:21:40+00:00,0,,,2020-08-03 14:51:25,2020
167,True,active,True,False,0,19,192,True,0,192,0,2020-08-03 13:41:35+00:00,0,,,2020-08-03 14:51:25,2020
168,True,active,True,True,0,8,193,True,6,193,0,2020-08-03 14:19:23+00:00,1,,,2020-08-03 14:51:25,2020
169,True,active,True,False,0,7,194,True,12,194,0,2020-08-03 12:33:54+00:00,0,,,2020-08-03 14:51:25,2020
170,True,active,True,False,0,2,195,True,21,195,0,2020-08-03 14:37:18+00:00,0,,,2020-08-03 14:51:25,2020
171,True,active,True,True,0,2,196,True,8,196,0,2020-08-03 14:40:55+00:00,0,,,2020-08-03 14:51:25,2020
172,True,active,True,False,0,2,197,True,13,197,0,2020-08-03 10:10:49+00:00,0,,,2020-08-03 14:51:25,2020
173,True,active,True,False,0,12,199,True,3,199,0,2020-08-03 09:41:59+00:00,0,,,2020-08-03 14:51:25,2020
174,True,active,True,False,0,19,200,True,0,200,0,2020-08-03 14:50:28+00:00,0,,,2020-08-03 14:51:25,2020
175,True,active,True,False,0,0,201,True,15,201,0,2020-08-03 13:51:10+00:00,0,,,2020-08-03 14:51:25,2020
176,True,active,True,False,0,2,202,True,13,202,0,2020-08-03 14:25:42+00:00,0,,,2020-08-03 14:51:25,2020
177,True,active,True,False,0,3,203,True,12,203,0,2020-08-03 14:28:01+00:00,0,,,2020-08-03 14:51:25,2020
178,True,active,True,False,0,7,204,True,8,204,0,2020-08-03 10:52:44+00:00,0,,,2020-08-03 14:51:25,2020
179,True,active,True,False,0,5,205,True,10,205,0,2020-08-03 08:45:19+00:00,0,,,2020-08-03 14:51:25,2020
180,True,active,True,False,0,10,206,True,13,206,0,2020-08-03 13:47:55+00:00,0,,,2020-08-03 14:51:25,2020
181,True,active,True,True,0,13,208,True,2,208,0,2020-08-03 14:34:36+00:00,0,,,2020-08-03 14:51:25,2020
182,True,active,True,False,0,8,209,True,7,209,0,2020-08-03 08:28:58+00:00,0,,,2020-08-03 14:51:25,2020
183,True,active,True,False,0,2,210,True,12,210,0,2020-08-03 12:40:37+00:00,1,,,2020-08-03 14:51:25,2020
184,True,active,True,False,0,17,211,True,2,211,0,2020-08-03 10:36:15+00:00,0,,,2020-08-03 14:51:25,2020
185,True,active,True,False,0,25,212,True,8,212,0,2020-08-03 13:18:35+00:00,0,,,2020-08-03 14:51:25,2020
186,True,active,True,True,0,2,213,True,14,213,0,2020-08-03 13:32:24+00:00,0,,,2020-08-03 14:51:25,2020
187,True,active,True,False,0,11,214,True,4,214,0,2020-08-03 12:43:33+00:00,0,,,2020-08-03 14:51:25,2020
188,True,active,True,False,0,12,215,True,3,215,0,2020-08-03 14:10:02+00:00,0,,,2020-08-03 14:51:25,2020
189,True,active,True,False,0,13,216,True,6,216,0,2020-08-03 08:28:46+00:00,0,,,2020-08-03 14:51:25,2020
190,True,active,True,False,0,13,217,True,6,217,0,2020-08-03 12:53:09+00:00,0,,,2020-08-03 14:51:25,2020
191,True,active,True,False,0,8,218,True,5,218,0,2020-08-03 14:49:26+00:00,2,,,2020-08-03 14:51:25,2020
192,True,active,True,False,0,8,219,True,7,219,0,2020-08-03 08:53:59+00:00,0,,,2020-08-03 14:51:25,2020
