,is_returning,last_reported,station_id,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_available,is_renting,legacy_id,station_status,num_docks_disabled,num_bikes_disabled,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
215,True,2020-08-15 21:18:39+00:00,296,False,11,0,11,True,296,active,0,1,True,[{'id': '74cb9bf6-bb53-4c70-88d2-67998b99628c'}],"{'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'region': 'BOS', 'off_dock_capacity': 100, 'dock_blocked_count': 0, 'valet_revision': 15, 'off_dock_count': 16, 'active': True}",2020-08-15 21:19:05,2020
216,True,2020-08-15 21:17:52+00:00,318,False,3,0,15,True,318,active,0,1,True,,,2020-08-15 21:19:05,2020
217,True,2020-08-15 20:37:11+00:00,319,False,1,0,24,True,319,active,0,0,True,,,2020-08-15 21:19:05,2020
218,True,2020-08-15 19:07:18+00:00,327,False,0,0,15,True,327,active,0,0,True,,,2020-08-15 21:19:05,2020
219,True,2020-08-15 19:32:13+00:00,328,False,0,0,15,True,328,active,0,0,True,,,2020-08-15 21:19:05,2020
220,True,2020-08-15 20:12:09+00:00,329,False,13,0,2,True,329,active,0,0,True,,,2020-08-15 21:19:05,2020
221,True,2020-08-15 21:04:37+00:00,330,False,14,0,1,True,330,active,0,0,True,,,2020-08-15 21:19:05,2020
222,True,2020-08-15 21:10:45+00:00,331,False,5,0,10,True,331,active,0,0,True,,,2020-08-15 21:19:05,2020
223,True,2020-08-15 21:10:52+00:00,332,False,3,0,10,True,332,active,0,2,True,,,2020-08-15 21:19:05,2020
224,True,2020-08-15 20:57:42+00:00,333,False,20,0,4,True,333,active,0,1,True,,,2020-08-15 21:19:05,2020
225,True,2020-08-15 21:02:41+00:00,334,False,10,0,9,True,334,active,0,0,True,,,2020-08-15 21:19:05,2020
