,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
160,0,True,True,4,True,186,True,active,2020-08-20 20:37:47+00:00,0,11,186,0,,,2020-08-20 20:39:50,2020
161,0,True,True,0,False,187,True,active,2020-08-20 20:35:53+00:00,0,15,187,0,,,2020-08-20 20:39:50,2020
162,0,True,True,12,False,188,True,active,2020-08-20 17:44:42+00:00,0,3,188,0,,,2020-08-20 20:39:50,2020
163,0,True,True,12,True,189,True,active,2020-08-20 20:38:51+00:00,0,11,189,0,,,2020-08-20 20:39:50,2020
164,0,True,True,5,True,190,True,active,2020-08-20 20:31:10+00:00,0,32,190,0,,,2020-08-20 20:39:50,2020
165,0,True,True,1,False,191,True,active,2020-08-20 18:01:01+00:00,0,14,191,0,,,2020-08-20 20:39:50,2020
166,0,True,True,14,False,192,True,active,2020-08-20 20:37:04+00:00,0,5,192,0,,,2020-08-20 20:39:50,2020
167,0,True,True,2,True,193,True,active,2020-08-20 19:49:47+00:00,0,13,193,0,,,2020-08-20 20:39:50,2020
168,0,True,True,3,False,194,True,active,2020-08-20 20:14:01+00:00,0,16,194,0,,,2020-08-20 20:39:50,2020
169,0,True,True,6,False,195,True,active,2020-08-20 20:31:35+00:00,0,17,195,0,,,2020-08-20 20:39:50,2020
170,0,True,True,0,False,196,True,active,2020-08-20 17:54:52+00:00,0,10,196,0,,,2020-08-20 20:39:50,2020
171,0,True,True,7,False,197,True,active,2020-08-20 20:10:46+00:00,1,7,197,0,,,2020-08-20 20:39:50,2020
172,0,True,True,8,False,199,True,active,2020-08-20 14:19:54+00:00,0,7,199,0,,,2020-08-20 20:39:50,2020
173,0,True,True,17,False,200,True,active,2020-08-20 20:35:45+00:00,0,2,200,0,,,2020-08-20 20:39:50,2020
174,0,True,True,4,False,201,True,active,2020-08-20 12:47:08+00:00,0,11,201,0,,,2020-08-20 20:39:50,2020
175,0,True,True,4,False,202,True,active,2020-08-20 20:16:10+00:00,0,11,202,0,,,2020-08-20 20:39:50,2020
176,0,True,True,6,False,203,True,active,2020-08-20 16:40:31+00:00,0,9,203,0,,,2020-08-20 20:39:50,2020
177,0,True,True,3,False,204,True,active,2020-08-20 20:01:48+00:00,0,12,204,0,,,2020-08-20 20:39:50,2020
178,0,True,True,2,False,205,True,active,2020-08-20 17:59:34+00:00,0,13,205,0,,,2020-08-20 20:39:50,2020
179,0,True,True,6,True,206,True,active,2020-08-20 20:30:00+00:00,0,17,206,0,,,2020-08-20 20:39:50,2020
180,0,True,True,9,True,208,True,active,2020-08-20 20:16:30+00:00,1,5,208,0,,,2020-08-20 20:39:50,2020
181,0,True,True,13,False,209,True,active,2020-08-20 20:18:29+00:00,1,1,209,0,,,2020-08-20 20:39:50,2020
182,0,True,True,0,False,210,True,active,2020-08-20 18:49:02+00:00,1,14,210,0,,,2020-08-20 20:39:50,2020
183,0,True,True,8,False,211,True,active,2020-08-20 20:28:49+00:00,0,11,211,0,,,2020-08-20 20:39:50,2020
184,0,True,True,8,False,212,True,active,2020-08-20 19:51:05+00:00,0,25,212,0,,,2020-08-20 20:39:50,2020
185,0,True,True,3,True,213,True,active,2020-08-20 18:37:30+00:00,0,13,213,0,,,2020-08-20 20:39:50,2020
186,0,True,True,7,False,214,True,active,2020-08-20 20:04:27+00:00,0,8,214,0,,,2020-08-20 20:39:50,2020
187,0,True,True,7,False,215,True,active,2020-08-20 20:28:11+00:00,4,4,215,0,,,2020-08-20 20:39:50,2020
188,0,True,True,11,False,216,True,active,2020-08-20 16:50:46+00:00,0,8,216,0,,,2020-08-20 20:39:50,2020
189,0,True,True,4,False,217,True,active,2020-08-20 20:20:23+00:00,0,15,217,0,,,2020-08-20 20:39:50,2020
190,0,True,True,5,False,218,True,active,2020-08-20 20:34:11+00:00,0,10,218,0,,,2020-08-20 20:39:50,2020
191,0,True,True,3,False,219,True,active,2020-08-20 19:38:23+00:00,0,12,219,0,,,2020-08-20 20:39:50,2020
192,0,True,True,9,False,221,True,active,2020-08-20 20:19:47+00:00,2,8,221,0,,,2020-08-20 20:39:50,2020
193,0,True,True,5,True,222,True,active,2020-08-20 20:15:18+00:00,0,9,222,0,,,2020-08-20 20:39:50,2020
194,0,True,True,15,False,224,True,active,2020-08-20 20:00:32+00:00,1,1,224,0,,,2020-08-20 20:39:50,2020
