,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
0,3,True,0,active,0,False,0,True,3,2020-08-12 22:50:34+00:00,1,True,14,2020-08-12 22:59:55,2020
1,4,True,12,active,0,False,0,True,4,2020-08-12 22:41:59+00:00,0,True,7,2020-08-12 22:59:55,2020
2,5,True,3,active,0,False,0,True,5,2020-08-12 22:55:53+00:00,0,True,12,2020-08-12 22:59:55,2020
3,6,True,0,active,0,False,0,True,6,2020-08-12 22:55:30+00:00,1,True,14,2020-08-12 22:59:55,2020
4,7,True,12,active,0,False,0,True,7,2020-08-12 22:56:50+00:00,0,True,3,2020-08-12 22:59:55,2020
5,8,True,3,active,0,False,0,True,8,2020-08-12 22:57:17+00:00,0,True,16,2020-08-12 22:59:55,2020
6,9,True,8,active,0,False,0,True,9,2020-08-12 22:49:49+00:00,1,True,6,2020-08-12 22:59:55,2020
7,10,True,2,active,0,False,0,True,10,2020-08-12 22:42:13+00:00,0,True,9,2020-08-12 22:59:55,2020
8,11,True,0,active,0,False,0,True,11,2020-08-12 22:55:25+00:00,1,True,14,2020-08-12 22:59:55,2020
9,12,True,14,active,0,True,0,True,12,2020-08-12 22:52:04+00:00,0,True,4,2020-08-12 22:59:55,2020
10,13,True,0,active,0,False,0,True,13,2020-08-12 22:55:49+00:00,1,True,18,2020-08-12 22:59:55,2020
11,14,True,0,active,0,False,0,True,14,2020-08-12 22:37:17+00:00,0,True,25,2020-08-12 22:59:55,2020
12,15,True,10,active,0,False,0,True,15,2020-08-12 22:59:12+00:00,0,True,5,2020-08-12 22:59:55,2020
13,16,True,13,active,0,True,0,True,16,2020-08-12 22:48:07+00:00,0,True,6,2020-08-12 22:59:55,2020
14,17,True,1,active,0,False,0,True,17,2020-08-12 22:32:16+00:00,1,True,13,2020-08-12 22:59:55,2020
