,eightd_has_available_keys,station_status,num_bikes_available,is_installed,is_returning,station_id,is_renting,num_docks_available,last_reported,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
168,True,active,11,True,True,193,True,4,2020-07-27 02:06:48+00:00,0,0,193,0,,,2020-07-27 02:14:45,2020
169,False,active,13,True,True,194,True,6,2020-07-27 01:50:17+00:00,0,0,194,0,,,2020-07-27 02:14:45,2020
170,False,active,20,True,True,195,True,3,2020-07-27 01:40:58+00:00,0,0,195,0,,,2020-07-27 02:14:45,2020
171,True,active,2,True,True,196,True,8,2020-07-27 00:57:55+00:00,0,0,196,0,,,2020-07-27 02:14:45,2020
172,False,active,5,True,True,197,True,10,2020-07-27 00:18:39+00:00,0,0,197,0,,,2020-07-27 02:14:45,2020
173,False,active,3,True,True,199,True,12,2020-07-26 23:30:13+00:00,0,0,199,0,,,2020-07-27 02:14:45,2020
174,False,active,13,True,True,200,True,6,2020-07-27 02:07:33+00:00,0,0,200,0,,,2020-07-27 02:14:45,2020
175,False,active,3,True,True,201,True,12,2020-07-26 23:59:33+00:00,0,0,201,0,,,2020-07-27 02:14:45,2020
176,False,active,1,True,True,202,True,14,2020-07-27 00:42:26+00:00,0,0,202,0,,,2020-07-27 02:14:45,2020
177,False,active,2,True,True,203,True,13,2020-07-26 22:51:19+00:00,0,0,203,0,,,2020-07-27 02:14:45,2020
178,False,active,4,True,True,204,True,11,2020-07-27 00:46:10+00:00,0,0,204,0,,,2020-07-27 02:14:45,2020
179,False,active,2,True,True,205,True,12,2020-07-26 08:11:22+00:00,1,0,205,0,,,2020-07-27 02:14:45,2020
180,True,active,2,True,True,206,True,21,2020-07-27 00:03:26+00:00,0,0,206,0,,,2020-07-27 02:14:45,2020
181,True,active,6,True,True,208,True,9,2020-07-27 01:11:43+00:00,0,0,208,0,,,2020-07-27 02:14:45,2020
182,False,active,11,True,True,209,True,3,2020-07-27 01:24:16+00:00,1,0,209,0,,,2020-07-27 02:14:45,2020
183,False,active,3,True,True,210,True,11,2020-07-27 00:42:49+00:00,1,0,210,0,,,2020-07-27 02:14:45,2020
184,False,active,15,True,True,211,True,2,2020-07-27 01:54:05+00:00,2,0,211,0,,,2020-07-27 02:14:45,2020
185,False,active,3,True,True,212,True,29,2020-07-27 01:45:59+00:00,1,0,212,0,,,2020-07-27 02:14:45,2020
186,True,active,9,True,True,213,True,7,2020-07-27 01:26:56+00:00,0,0,213,0,,,2020-07-27 02:14:45,2020
187,False,active,6,True,True,214,True,9,2020-07-27 02:02:00+00:00,0,0,214,0,,,2020-07-27 02:14:45,2020
188,False,active,10,True,True,215,True,4,2020-07-27 01:45:39+00:00,1,0,215,0,,,2020-07-27 02:14:45,2020
