,station_id,is_returning,is_renting,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_installed,last_reported,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
139,160,True,True,active,0,2,0,12,0,True,2020-07-30 15:32:32+00:00,True,160,,,2020-07-30 16:24:25,2020
140,161,True,True,active,0,4,0,19,0,True,2020-07-30 16:21:12+00:00,True,161,,,2020-07-30 16:24:25,2020
141,162,True,True,active,0,1,0,14,0,True,2020-07-30 08:36:26+00:00,False,162,,,2020-07-30 16:24:25,2020
142,163,True,True,active,0,7,0,12,0,True,2020-07-30 16:13:36+00:00,True,163,,,2020-07-30 16:24:25,2020
143,167,True,True,active,1,7,0,7,0,True,2020-07-30 16:02:38+00:00,False,167,,,2020-07-30 16:24:25,2020
144,169,True,True,active,0,9,0,10,0,True,2020-07-30 16:02:18+00:00,False,169,,,2020-07-30 16:24:25,2020
145,170,True,True,active,0,1,0,13,0,True,2020-07-30 12:59:08+00:00,True,170,,,2020-07-30 16:24:25,2020
146,171,True,True,active,0,2,0,21,0,True,2020-07-30 14:19:24+00:00,True,171,,,2020-07-30 16:24:25,2020
147,173,True,True,active,2,4,0,8,0,True,2020-07-30 14:31:23+00:00,True,173,,,2020-07-30 16:24:25,2020
148,174,True,True,active,0,12,0,3,0,True,2020-07-30 15:38:33+00:00,False,174,,,2020-07-30 16:24:25,2020
149,175,True,True,active,0,0,0,17,0,True,2020-07-30 14:56:31+00:00,True,175,,,2020-07-30 16:24:25,2020
150,176,True,True,active,0,9,0,6,0,True,2020-07-30 16:02:22+00:00,False,176,,,2020-07-30 16:24:25,2020
151,177,True,True,active,1,10,0,8,0,True,2020-07-30 15:57:43+00:00,False,177,,,2020-07-30 16:24:25,2020
152,178,True,True,active,1,2,0,16,0,True,2020-07-30 16:17:06+00:00,False,178,,,2020-07-30 16:24:25,2020
153,179,True,True,active,0,13,0,12,0,True,2020-07-30 16:23:28+00:00,False,179,,,2020-07-30 16:24:25,2020
154,180,True,True,active,0,7,0,12,0,True,2020-07-30 16:06:46+00:00,False,180,,,2020-07-30 16:24:25,2020
155,181,True,True,active,1,2,0,16,0,True,2020-07-30 16:02:49+00:00,False,181,,,2020-07-30 16:24:25,2020
156,182,True,True,active,1,8,0,10,0,True,2020-07-30 15:36:55+00:00,True,182,,,2020-07-30 16:24:25,2020
157,183,True,True,active,0,10,0,9,0,True,2020-07-30 16:15:51+00:00,False,183,,,2020-07-30 16:24:25,2020
158,184,True,True,active,0,19,0,0,0,True,2020-07-30 16:16:34+00:00,False,184,,,2020-07-30 16:24:25,2020
159,185,True,True,active,0,8,0,7,0,True,2020-07-30 16:23:06+00:00,False,185,,,2020-07-30 16:24:25,2020
160,186,True,True,active,0,3,0,12,0,True,2020-07-30 16:22:12+00:00,True,186,,,2020-07-30 16:24:25,2020
161,187,True,True,active,0,10,0,5,0,True,2020-07-30 14:56:13+00:00,False,187,,,2020-07-30 16:24:25,2020
162,188,True,True,active,0,10,0,5,0,True,2020-07-30 15:36:17+00:00,False,188,,,2020-07-30 16:24:25,2020
163,189,True,True,active,0,19,0,4,0,True,2020-07-30 16:04:12+00:00,True,189,,,2020-07-30 16:24:25,2020
164,190,True,True,active,1,18,0,18,0,True,2020-07-30 16:17:59+00:00,False,190,,,2020-07-30 16:24:25,2020
165,191,True,True,active,0,2,0,13,0,True,2020-07-30 15:41:20+00:00,False,191,,,2020-07-30 16:24:25,2020
166,192,True,True,active,0,17,0,2,0,True,2020-07-30 15:34:16+00:00,False,192,,,2020-07-30 16:24:25,2020
167,193,True,True,active,0,11,0,4,0,True,2020-07-30 15:50:12+00:00,True,193,,,2020-07-30 16:24:25,2020
168,194,True,True,active,0,13,0,6,0,True,2020-07-30 15:33:13+00:00,False,194,,,2020-07-30 16:24:25,2020
169,195,True,True,active,0,11,0,12,0,True,2020-07-30 15:55:21+00:00,False,195,,,2020-07-30 16:24:25,2020
170,196,True,True,active,1,2,0,7,0,True,2020-07-30 14:12:53+00:00,True,196,,,2020-07-30 16:24:25,2020
171,197,True,True,active,0,0,0,15,0,True,2020-07-30 15:09:47+00:00,False,197,,,2020-07-30 16:24:25,2020
172,199,True,True,active,0,6,0,9,0,True,2020-07-30 14:28:13+00:00,False,199,,,2020-07-30 16:24:25,2020
173,200,True,True,active,0,11,0,8,0,True,2020-07-30 16:08:43+00:00,False,200,,,2020-07-30 16:24:25,2020
174,201,True,True,active,0,0,0,15,0,True,2020-07-30 08:10:11+00:00,False,201,,,2020-07-30 16:24:25,2020
175,202,True,True,active,1,4,0,10,0,True,2020-07-29 23:36:32+00:00,False,202,,,2020-07-30 16:24:25,2020
176,203,True,True,active,0,6,0,9,0,True,2020-07-30 11:51:49+00:00,False,203,,,2020-07-30 16:24:25,2020
177,204,True,True,active,0,1,0,14,0,True,2020-07-30 08:25:15+00:00,False,204,,,2020-07-30 16:24:25,2020
178,205,True,True,active,1,4,0,10,0,True,2020-07-30 08:26:04+00:00,False,205,,,2020-07-30 16:24:25,2020
179,206,True,True,active,0,13,0,10,0,True,2020-07-30 14:50:42+00:00,False,206,,,2020-07-30 16:24:25,2020
