,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
175,202,True,0,0,False,2020-08-01 18:02:42+00:00,0,True,202,True,6,9,active,,,2020-08-01 18:05:40,2020
176,203,True,0,0,False,2020-08-01 16:44:03+00:00,0,True,203,True,6,9,active,,,2020-08-01 18:05:40,2020
177,204,True,0,0,False,2020-08-01 18:04:05+00:00,0,True,204,True,6,9,active,,,2020-08-01 18:05:40,2020
178,205,True,0,0,False,2020-08-01 16:45:50+00:00,0,True,205,True,8,7,active,,,2020-08-01 18:05:40,2020
179,206,True,0,0,False,2020-08-01 17:59:48+00:00,0,True,206,True,8,15,active,,,2020-08-01 18:05:40,2020
180,208,True,0,0,True,2020-08-01 17:37:25+00:00,0,True,208,True,11,4,active,,,2020-08-01 18:05:40,2020
181,209,True,0,1,False,2020-08-01 17:05:25+00:00,0,True,209,True,7,7,active,,,2020-08-01 18:05:40,2020
182,210,True,0,0,False,2020-08-01 17:44:35+00:00,0,True,210,True,1,14,active,,,2020-08-01 18:05:40,2020
183,211,True,0,1,False,2020-08-01 17:51:57+00:00,0,True,211,True,14,4,active,,,2020-08-01 18:05:40,2020
184,212,True,0,0,False,2020-08-01 16:41:56+00:00,0,True,212,True,17,16,active,,,2020-08-01 18:05:40,2020
185,213,True,0,0,True,2020-08-01 16:55:07+00:00,0,True,213,True,3,13,active,,,2020-08-01 18:05:40,2020
186,214,True,0,0,False,2020-08-01 17:44:23+00:00,0,True,214,True,10,5,active,,,2020-08-01 18:05:40,2020
187,215,True,0,0,False,2020-08-01 17:05:15+00:00,0,True,215,True,9,6,active,,,2020-08-01 18:05:40,2020
188,216,True,0,0,False,2020-08-01 08:27:38+00:00,0,True,216,True,16,3,active,,,2020-08-01 18:05:40,2020
189,217,True,0,0,False,2020-08-01 17:53:07+00:00,0,True,217,True,11,8,active,,,2020-08-01 18:05:40,2020
190,218,True,0,0,False,2020-08-01 17:59:54+00:00,0,True,218,True,15,0,active,,,2020-08-01 18:05:40,2020
191,219,True,0,1,False,2020-08-01 12:44:38+00:00,0,True,219,True,8,6,active,,,2020-08-01 18:05:40,2020
192,221,True,0,0,False,2020-08-01 17:10:48+00:00,0,True,221,True,0,19,active,,,2020-08-01 18:05:40,2020
193,222,True,0,0,True,2020-08-01 17:56:35+00:00,0,True,222,True,1,13,active,,,2020-08-01 18:05:40,2020
194,224,True,0,1,False,2020-08-01 17:45:35+00:00,0,True,224,True,8,8,active,,,2020-08-01 18:05:40,2020
195,225,True,0,0,False,2020-08-01 17:54:26+00:00,0,True,225,True,8,11,active,,,2020-08-01 18:05:40,2020
196,226,True,0,1,False,2020-08-01 18:00:50+00:00,0,True,226,True,6,8,active,,,2020-08-01 18:05:40,2020
197,227,True,0,0,False,2020-08-01 17:50:40+00:00,0,True,227,True,14,5,active,,,2020-08-01 18:05:40,2020
198,228,True,0,0,False,2020-08-01 17:23:07+00:00,0,True,228,True,1,18,active,,,2020-08-01 18:05:40,2020
199,232,True,0,0,False,2020-08-01 17:59:13+00:00,0,True,232,True,4,7,active,,,2020-08-01 18:05:40,2020
200,233,True,0,1,False,2020-08-01 17:44:13+00:00,0,True,233,True,2,12,active,,,2020-08-01 18:05:40,2020
201,234,True,0,0,False,2020-08-01 17:53:51+00:00,0,True,234,True,6,9,active,,,2020-08-01 18:05:40,2020
202,235,True,0,0,False,2020-08-01 15:32:21+00:00,0,True,235,True,9,6,active,,,2020-08-01 18:05:40,2020
203,236,True,0,1,False,2020-08-01 17:37:50+00:00,0,True,236,True,3,11,active,,,2020-08-01 18:05:40,2020
204,239,True,0,1,False,2020-08-01 17:55:12+00:00,0,True,239,True,6,8,active,,,2020-08-01 18:05:40,2020
205,255,True,0,0,False,2020-08-01 16:11:33+00:00,0,True,255,True,12,3,active,,,2020-08-01 18:05:40,2020
206,258,True,0,0,False,2020-08-01 08:47:42+00:00,0,True,258,True,14,1,active,,,2020-08-01 18:05:40,2020
207,259,True,0,0,False,2020-08-01 08:48:07+00:00,0,True,259,True,0,15,active,,,2020-08-01 18:05:40,2020
208,260,True,0,0,False,2020-08-01 16:55:00+00:00,0,True,260,True,2,13,active,,,2020-08-01 18:05:40,2020
209,271,True,0,0,False,2020-08-01 17:03:28+00:00,0,True,271,True,2,13,active,,,2020-08-01 18:05:40,2020
210,272,True,0,2,False,2020-08-01 15:16:52+00:00,0,True,272,True,5,12,active,,,2020-08-01 18:05:40,2020
211,273,True,0,0,False,2020-08-01 18:03:43+00:00,0,True,273,True,34,6,active,,,2020-08-01 18:05:40,2020
212,279,True,0,0,False,2020-08-01 17:36:41+00:00,0,True,279,True,8,11,active,,,2020-08-01 18:05:40,2020
213,280,True,0,1,False,2020-08-01 18:00:11+00:00,0,True,280,True,4,14,active,,,2020-08-01 18:05:40,2020
214,282,True,0,4,False,2020-08-01 18:02:23+00:00,0,True,282,True,7,4,active,,,2020-08-01 18:05:40,2020
