,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
187,11,True,0,False,2020-08-01 00:33:04+00:00,active,True,215,215,4,True,0,0,,,2020-08-01 00:54:00,2020
188,16,True,0,False,2020-07-31 23:43:21+00:00,active,True,216,216,3,True,0,0,,,2020-08-01 00:54:00,2020
189,3,True,0,False,2020-07-31 23:31:21+00:00,active,True,217,217,16,True,0,0,,,2020-08-01 00:54:00,2020
190,10,True,0,False,2020-08-01 00:51:36+00:00,active,True,218,218,5,True,0,0,,,2020-08-01 00:54:00,2020
191,10,True,0,False,2020-08-01 00:17:23+00:00,active,True,219,219,4,True,1,0,,,2020-08-01 00:54:00,2020
192,6,True,0,False,2020-08-01 00:52:09+00:00,active,True,221,221,13,True,0,0,,,2020-08-01 00:54:00,2020
193,1,True,0,True,2020-08-01 00:22:45+00:00,active,True,222,222,13,True,0,0,,,2020-08-01 00:54:00,2020
194,10,True,0,False,2020-08-01 00:20:33+00:00,active,True,224,224,5,True,2,0,,,2020-08-01 00:54:00,2020
195,12,True,0,False,2020-08-01 00:47:16+00:00,active,True,225,225,7,True,0,0,,,2020-08-01 00:54:00,2020
196,1,True,0,False,2020-08-01 00:52:07+00:00,active,True,226,226,13,True,1,0,,,2020-08-01 00:54:00,2020
197,7,True,0,False,2020-08-01 00:49:48+00:00,active,True,227,227,12,True,0,0,,,2020-08-01 00:54:00,2020
198,9,True,0,False,2020-07-31 23:47:40+00:00,active,True,228,228,10,True,0,0,,,2020-08-01 00:54:00,2020
199,3,True,0,False,2020-07-31 23:23:50+00:00,active,True,232,232,8,True,0,0,,,2020-08-01 00:54:00,2020
200,11,True,0,False,2020-08-01 00:48:46+00:00,active,True,233,233,2,True,2,0,,,2020-08-01 00:54:00,2020
201,7,True,0,False,2020-08-01 00:38:08+00:00,active,True,234,234,8,True,0,0,,,2020-08-01 00:54:00,2020
202,9,True,0,False,2020-08-01 00:19:28+00:00,active,True,235,235,6,True,0,0,,,2020-08-01 00:54:00,2020
203,9,True,0,False,2020-08-01 00:04:52+00:00,active,True,236,236,6,True,0,0,,,2020-08-01 00:54:00,2020
204,7,True,0,False,2020-08-01 00:43:43+00:00,active,True,239,239,7,True,1,0,,,2020-08-01 00:54:00,2020
205,12,True,0,False,2020-07-31 21:41:07+00:00,active,True,255,255,3,True,0,0,,,2020-08-01 00:54:00,2020
206,12,True,0,False,2020-08-01 00:47:42+00:00,active,True,258,258,3,True,0,0,,,2020-08-01 00:54:00,2020
207,0,True,0,False,2020-07-31 08:31:40+00:00,active,True,259,259,15,True,0,0,,,2020-08-01 00:54:00,2020
208,7,True,0,False,2020-08-01 00:41:35+00:00,active,True,260,260,8,True,0,0,,,2020-08-01 00:54:00,2020
209,0,True,0,False,2020-07-31 21:22:43+00:00,active,True,271,271,15,True,0,0,,,2020-08-01 00:54:00,2020
210,7,True,0,False,2020-07-31 22:36:37+00:00,active,True,272,272,10,True,2,0,,,2020-08-01 00:54:00,2020
211,25,True,0,False,2020-08-01 00:49:03+00:00,active,True,273,273,15,True,0,0,,,2020-08-01 00:54:00,2020
