,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
187,9,215,5,True,True,active,0,True,False,2020-08-13 04:14:07+00:00,215,1,0,2020-08-13 05:28:25,2020
188,0,216,18,True,True,active,0,True,False,2020-08-13 04:04:19+00:00,216,1,0,2020-08-13 05:28:25,2020
189,7,217,12,True,True,active,0,True,False,2020-08-13 05:03:57+00:00,217,0,0,2020-08-13 05:28:25,2020
190,15,218,0,True,True,active,0,True,False,2020-08-13 04:50:20+00:00,218,0,0,2020-08-13 05:28:25,2020
191,8,219,6,True,True,active,0,True,False,2020-08-13 03:29:42+00:00,219,1,0,2020-08-13 05:28:25,2020
192,4,221,15,True,True,active,0,True,False,2020-08-13 03:24:30+00:00,221,0,0,2020-08-13 05:28:25,2020
193,6,222,8,True,True,active,0,True,True,2020-08-13 03:23:22+00:00,222,0,0,2020-08-13 05:28:25,2020
194,2,224,13,True,True,active,0,True,False,2020-08-13 03:23:55+00:00,224,2,0,2020-08-13 05:28:25,2020
195,4,225,14,True,True,active,0,True,False,2020-08-13 05:17:09+00:00,225,1,0,2020-08-13 05:28:25,2020
196,11,226,4,True,True,active,0,True,False,2020-08-13 04:47:21+00:00,226,0,0,2020-08-13 05:28:25,2020
197,5,227,11,True,True,active,0,True,False,2020-08-13 04:02:54+00:00,227,3,0,2020-08-13 05:28:25,2020
198,17,228,1,True,True,active,0,True,False,2020-08-13 03:23:32+00:00,228,1,0,2020-08-13 05:28:25,2020
199,4,232,7,True,True,active,0,True,False,2020-08-13 03:23:26+00:00,232,0,0,2020-08-13 05:28:25,2020
200,9,233,6,True,False,active,0,False,False,2020-08-12 18:16:55+00:00,233,0,0,2020-08-13 05:28:25,2020
201,10,234,5,True,True,active,0,True,False,2020-08-13 03:23:49+00:00,234,0,0,2020-08-13 05:28:25,2020
202,5,235,10,True,True,active,0,True,False,2020-08-13 03:23:39+00:00,235,0,0,2020-08-13 05:28:25,2020
