,eightd_has_available_keys,num_docks_available,num_bikes_available,num_docks_disabled,station_id,station_status,legacy_id,last_reported,num_bikes_disabled,is_installed,is_renting,num_ebikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
140,True,19,4,0,161,active,161,2020-08-06 23:02:24+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
141,False,3,12,0,162,active,162,2020-08-06 22:43:10+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
142,True,10,9,0,163,active,163,2020-08-06 23:01:14+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
143,False,12,3,0,167,active,167,2020-08-06 22:48:24+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
144,False,8,9,0,169,active,169,2020-08-06 22:13:41+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
145,True,13,1,0,170,active,170,2020-08-06 23:03:50+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
146,True,15,8,0,171,active,171,2020-08-06 22:07:41+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
147,True,11,3,0,173,active,173,2020-08-06 22:35:39+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
148,False,14,0,0,174,active,174,2020-08-06 21:44:19+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
149,True,14,3,0,175,active,175,2020-08-06 22:43:06+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
150,False,10,5,0,176,active,176,2020-08-06 22:32:41+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
151,False,11,8,0,177,active,177,2020-08-06 22:56:26+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
152,False,17,2,0,178,active,178,2020-08-06 23:04:05+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
153,False,21,3,0,179,active,179,2020-08-06 23:04:08+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
154,False,8,11,0,180,active,180,2020-08-06 22:52:42+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
155,False,2,17,0,181,active,181,2020-08-06 22:40:57+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
156,True,4,15,0,182,active,182,2020-08-06 22:57:45+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
157,False,18,1,0,183,active,183,2020-08-06 23:02:59+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
158,False,9,9,0,184,active,184,2020-08-06 22:50:59+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
159,False,7,8,0,185,active,185,2020-08-06 22:53:54+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
160,True,1,13,0,186,active,186,2020-08-06 22:59:02+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
161,False,7,8,0,187,active,187,2020-08-06 22:55:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
162,False,3,12,0,188,active,188,2020-08-06 22:49:04+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
163,True,5,17,0,189,active,189,2020-08-06 23:02:39+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
164,True,18,17,0,190,active,190,2020-08-06 23:00:44+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
165,False,12,3,0,191,active,191,2020-08-06 22:51:48+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
166,False,8,11,0,192,active,192,2020-08-06 22:54:09+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
167,True,12,2,0,193,active,193,2020-08-06 22:39:30+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
168,False,19,0,0,194,active,194,2020-08-06 22:54:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
169,False,13,8,0,195,active,195,2020-08-06 22:55:29+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
170,True,3,7,0,196,active,196,2020-08-06 22:20:43+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
171,False,13,2,0,197,active,197,2020-08-06 21:18:22+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
172,False,11,4,0,199,active,199,2020-08-06 19:52:44+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
173,False,2,17,0,200,active,200,2020-08-06 23:02:18+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
174,False,11,4,0,201,active,201,2020-08-06 19:37:33+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
175,False,9,6,0,202,active,202,2020-08-06 22:07:57+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
176,False,9,6,0,203,active,203,2020-08-06 21:46:03+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
177,False,10,4,0,204,active,204,2020-08-06 22:46:28+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
178,False,7,8,0,205,active,205,2020-08-06 22:02:09+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
179,True,21,2,0,206,active,206,2020-08-06 22:58:37+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
180,True,4,11,0,208,active,208,2020-08-06 22:45:50+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
181,False,9,6,0,209,active,209,2020-08-06 22:53:37+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
182,False,14,1,0,210,active,210,2020-08-06 21:59:30+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
183,False,7,12,0,211,active,211,2020-08-06 22:56:53+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
184,False,17,16,0,212,active,212,2020-08-06 22:42:21+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
185,True,7,9,0,213,active,213,2020-08-06 21:08:21+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
186,False,10,5,0,214,active,214,2020-08-06 23:02:55+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
187,False,5,10,0,215,active,215,2020-08-06 22:12:26+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
188,False,2,17,0,216,active,216,2020-08-06 08:37:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
189,False,5,14,0,217,active,217,2020-08-06 22:57:27+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
190,False,0,14,0,218,active,218,2020-08-06 22:46:54+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
191,False,3,12,0,219,active,219,2020-08-06 22:40:37+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
192,False,11,7,0,221,active,221,2020-08-06 23:02:30+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
193,True,13,1,0,222,active,222,2020-08-06 23:00:48+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
194,False,9,7,0,224,active,224,2020-08-06 22:39:40+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
195,False,16,3,0,225,active,225,2020-08-06 22:48:59+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
196,False,13,2,0,226,active,226,2020-08-06 22:48:16+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
197,False,15,3,0,227,active,227,2020-08-06 22:55:51+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
198,False,14,5,0,228,active,228,2020-08-06 22:35:27+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
199,False,10,1,0,232,active,232,2020-08-06 12:04:12+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
200,False,7,8,0,233,active,233,2020-08-06 22:53:08+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
201,False,9,6,0,234,active,234,2020-08-06 22:41:55+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
202,False,14,0,0,235,active,235,2020-08-06 22:00:43+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
203,False,3,12,0,236,active,236,2020-08-06 22:57:59+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
204,False,5,10,0,239,active,239,2020-08-06 22:43:37+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
205,False,3,12,0,255,active,255,2020-08-06 08:38:19+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
206,False,6,9,0,258,active,258,2020-08-06 22:45:14+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
207,False,13,2,0,259,active,259,2020-08-06 12:36:54+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
208,False,6,9,0,260,active,260,2020-08-06 20:43:38+00:00,0,True,False,0,False,,,2020-08-06 23:04:15,2020
209,False,8,7,0,271,active,271,2020-08-06 22:17:52+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
210,False,15,4,0,272,active,272,2020-08-06 22:38:32+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
211,False,17,23,0,273,active,273,2020-08-06 22:40:39+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
212,False,9,10,0,279,active,279,2020-08-06 22:59:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
213,False,10,9,0,280,active,280,2020-08-06 22:34:48+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
214,False,12,3,0,282,active,282,2020-08-06 22:59:47+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
