,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
136,8,True,active,0,6,156,1,2020-08-20 23:02:28+00:00,156,True,True,0,False,,,2020-08-20 23:03:00,2020
137,10,True,active,0,5,157,0,2020-08-20 22:56:08+00:00,157,True,True,0,False,,,2020-08-20 23:03:00,2020
138,1,True,active,0,14,159,0,2020-08-20 22:55:36+00:00,159,True,True,0,False,,,2020-08-20 23:03:00,2020
139,7,True,active,0,7,160,0,2020-08-20 23:02:39+00:00,160,True,True,0,True,,,2020-08-20 23:03:00,2020
140,4,True,active,0,19,161,0,2020-08-20 23:01:35+00:00,161,True,True,0,True,,,2020-08-20 23:03:00,2020
141,6,True,active,0,9,162,0,2020-08-20 19:32:17+00:00,162,True,True,0,False,,,2020-08-20 23:03:00,2020
142,13,True,active,0,6,163,0,2020-08-20 22:55:31+00:00,163,True,True,0,True,,,2020-08-20 23:03:00,2020
143,4,True,active,0,11,167,0,2020-08-20 22:37:46+00:00,167,True,True,0,False,,,2020-08-20 23:03:00,2020
144,5,True,active,0,14,169,0,2020-08-20 22:58:50+00:00,169,True,True,0,False,,,2020-08-20 23:03:00,2020
145,8,True,active,0,6,170,0,2020-08-20 18:42:46+00:00,170,True,True,0,True,,,2020-08-20 23:03:00,2020
146,11,True,active,0,12,171,0,2020-08-20 23:00:35+00:00,171,True,True,0,True,,,2020-08-20 23:03:00,2020
147,7,True,active,0,7,173,0,2020-08-20 22:13:49+00:00,173,True,True,0,True,,,2020-08-20 23:03:00,2020
148,3,True,active,0,12,174,0,2020-08-20 23:00:51+00:00,174,True,True,0,False,,,2020-08-20 23:03:00,2020
149,6,True,active,0,9,175,2,2020-08-20 22:27:47+00:00,175,True,True,0,True,,,2020-08-20 23:03:00,2020
150,13,True,active,0,2,176,0,2020-08-20 23:00:57+00:00,176,True,True,0,False,,,2020-08-20 23:03:00,2020
151,6,True,active,0,11,177,2,2020-08-20 23:00:47+00:00,177,True,True,0,False,,,2020-08-20 23:03:00,2020
152,3,True,active,0,16,178,0,2020-08-20 23:01:33+00:00,178,True,True,0,False,,,2020-08-20 23:03:00,2020
153,14,True,active,0,11,179,0,2020-08-20 23:00:53+00:00,179,True,True,0,False,,,2020-08-20 23:03:00,2020
154,15,True,active,0,4,180,0,2020-08-20 22:57:13+00:00,180,True,True,0,False,,,2020-08-20 23:03:00,2020
155,6,True,active,0,13,181,0,2020-08-20 23:02:27+00:00,181,True,True,0,False,,,2020-08-20 23:03:00,2020
156,3,True,active,0,16,182,0,2020-08-20 22:58:57+00:00,182,True,True,0,True,,,2020-08-20 23:03:00,2020
157,2,True,active,0,17,183,0,2020-08-20 22:52:45+00:00,183,True,True,0,False,,,2020-08-20 23:03:00,2020
158,0,True,active,0,19,184,0,2020-08-20 22:13:11+00:00,184,True,True,0,False,,,2020-08-20 23:03:00,2020
