,station_status,is_renting,is_returning,last_reported,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
180,active,True,True,2020-08-18 17:35:12+00:00,True,208,0,0,208,5,0,10,True,,,2020-08-18 18:03:00,2020
181,active,True,True,2020-08-18 16:12:40+00:00,False,209,1,0,209,1,0,13,True,,,2020-08-18 18:03:00,2020
182,active,True,True,2020-08-18 17:43:01+00:00,False,210,1,0,210,13,0,1,True,,,2020-08-18 18:03:00,2020
183,active,True,True,2020-08-18 17:02:41+00:00,False,211,0,0,211,18,0,1,True,,,2020-08-18 18:03:00,2020
184,active,True,True,2020-08-18 17:34:00+00:00,False,212,0,0,212,31,0,2,True,,,2020-08-18 18:03:00,2020
185,active,True,True,2020-08-18 16:40:26+00:00,True,213,0,0,213,12,0,4,True,,,2020-08-18 18:03:00,2020
186,active,True,True,2020-08-18 17:55:15+00:00,False,214,0,0,214,5,0,10,True,,,2020-08-18 18:03:00,2020
187,active,True,True,2020-08-18 17:35:44+00:00,False,215,2,0,215,3,0,10,True,,,2020-08-18 18:03:00,2020
188,active,True,True,2020-08-18 08:04:08+00:00,False,216,0,0,216,0,0,19,True,,,2020-08-18 18:03:00,2020
189,active,True,True,2020-08-18 16:06:21+00:00,False,217,0,0,217,11,0,8,True,,,2020-08-18 18:03:00,2020
190,active,True,True,2020-08-18 17:02:03+00:00,False,218,2,0,218,8,0,5,True,,,2020-08-18 18:03:00,2020
191,active,True,True,2020-08-18 16:36:32+00:00,False,219,0,0,219,11,0,4,True,,,2020-08-18 18:03:00,2020
192,active,True,True,2020-08-18 17:31:24+00:00,False,221,1,0,221,16,0,2,True,,,2020-08-18 18:03:00,2020
193,active,True,True,2020-08-18 17:30:42+00:00,True,222,0,0,222,12,0,2,True,,,2020-08-18 18:03:00,2020
194,active,True,True,2020-08-18 17:21:41+00:00,False,224,1,0,224,2,0,14,True,,,2020-08-18 18:03:00,2020
195,active,True,True,2020-08-18 17:58:40+00:00,False,225,1,0,225,10,0,8,True,,,2020-08-18 18:03:00,2020
196,active,True,True,2020-08-18 15:43:02+00:00,False,226,1,0,226,13,0,1,True,,,2020-08-18 18:03:00,2020
197,active,True,True,2020-08-18 18:00:06+00:00,False,227,3,0,227,16,0,0,True,,,2020-08-18 18:03:00,2020
198,active,True,True,2020-08-18 17:55:40+00:00,False,228,0,0,228,14,0,5,True,,,2020-08-18 18:03:00,2020
199,active,True,True,2020-08-18 08:48:59+00:00,False,232,0,0,232,8,0,3,True,,,2020-08-18 18:03:00,2020
200,active,True,True,2020-08-18 17:37:45+00:00,False,233,1,0,233,6,0,8,True,,,2020-08-18 18:03:00,2020
201,active,True,True,2020-08-18 16:28:29+00:00,False,234,0,0,234,13,0,2,True,,,2020-08-18 18:03:00,2020
202,active,True,True,2020-08-18 18:02:19+00:00,False,235,0,0,235,7,0,8,True,,,2020-08-18 18:03:00,2020
203,active,True,True,2020-08-18 17:06:07+00:00,False,236,0,0,236,9,0,6,True,,,2020-08-18 18:03:00,2020
204,active,True,True,2020-08-18 16:19:54+00:00,False,239,0,0,239,5,0,10,True,,,2020-08-18 18:03:00,2020
205,active,True,True,2020-08-18 17:41:23+00:00,False,255,0,0,255,8,0,7,True,,,2020-08-18 18:03:00,2020
206,active,True,True,2020-08-18 11:20:18+00:00,False,258,0,0,258,7,0,8,True,,,2020-08-18 18:03:00,2020
207,active,True,True,2020-08-18 17:28:18+00:00,False,259,0,0,259,5,0,10,True,,,2020-08-18 18:03:00,2020
208,active,True,True,2020-08-18 10:37:49+00:00,False,260,0,0,260,10,0,5,True,,,2020-08-18 18:03:00,2020
209,active,True,True,2020-08-18 17:46:16+00:00,False,271,1,0,271,3,0,11,True,,,2020-08-18 18:03:00,2020
210,active,True,True,2020-08-18 16:44:29+00:00,False,272,0,0,272,9,0,10,True,,,2020-08-18 18:03:00,2020
211,active,True,True,2020-08-18 17:23:48+00:00,False,273,0,0,273,19,0,21,True,,,2020-08-18 18:03:00,2020
