,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
185,True,6,active,2020-08-09 23:32:57+00:00,0,True,True,213,0,213,10,True,0,2020-08-10 01:41:50,2020
186,False,10,active,2020-08-10 01:11:39+00:00,0,True,True,214,0,214,5,True,0,2020-08-10 01:41:50,2020
187,False,9,active,2020-08-10 00:45:02+00:00,0,True,True,215,0,215,6,True,0,2020-08-10 01:41:50,2020
188,False,17,active,2020-08-09 21:47:12+00:00,0,True,True,216,0,216,2,True,0,2020-08-10 01:41:50,2020
189,False,14,active,2020-08-10 01:20:42+00:00,0,True,True,217,0,217,5,True,0,2020-08-10 01:41:50,2020
190,False,1,active,2020-08-10 01:28:08+00:00,0,True,True,218,0,218,14,True,0,2020-08-10 01:41:50,2020
191,False,3,active,2020-08-09 23:32:32+00:00,0,True,True,219,0,219,12,True,0,2020-08-10 01:41:50,2020
192,False,8,active,2020-08-10 00:47:02+00:00,0,True,True,221,1,221,10,True,0,2020-08-10 01:41:50,2020
193,True,9,active,2020-08-10 00:44:21+00:00,0,True,True,222,0,222,5,True,0,2020-08-10 01:41:50,2020
194,False,10,active,2020-08-10 01:39:03+00:00,0,True,True,224,0,224,7,True,0,2020-08-10 01:41:50,2020
195,False,4,active,2020-08-10 01:37:56+00:00,0,True,True,225,1,225,14,True,0,2020-08-10 01:41:50,2020
196,False,3,active,2020-08-10 00:39:16+00:00,0,True,True,226,0,226,12,True,0,2020-08-10 01:41:50,2020
197,False,8,active,2020-08-10 01:05:09+00:00,0,True,True,227,0,227,11,True,0,2020-08-10 01:41:50,2020
198,False,4,active,2020-08-10 01:28:19+00:00,0,True,True,228,1,228,14,True,0,2020-08-10 01:41:50,2020
199,False,3,active,2020-08-09 13:16:48+00:00,0,True,True,232,1,232,7,True,0,2020-08-10 01:41:50,2020
200,False,7,active,2020-08-10 01:38:46+00:00,0,True,True,233,2,233,6,True,0,2020-08-10 01:41:50,2020
201,False,6,active,2020-08-10 01:36:59+00:00,0,True,True,234,0,234,9,True,0,2020-08-10 01:41:50,2020
202,False,4,active,2020-08-10 01:11:50+00:00,0,True,True,235,0,235,11,True,0,2020-08-10 01:41:50,2020
203,False,8,active,2020-08-10 00:47:41+00:00,0,True,True,236,0,236,7,True,0,2020-08-10 01:41:50,2020
204,False,6,active,2020-08-10 01:36:09+00:00,0,True,True,239,0,239,9,True,0,2020-08-10 01:41:50,2020
205,False,11,active,2020-08-09 22:01:27+00:00,0,True,True,255,0,255,4,True,0,2020-08-10 01:41:50,2020
206,False,13,active,2020-08-09 23:58:22+00:00,0,True,True,258,0,258,2,True,0,2020-08-10 01:41:50,2020
207,False,14,active,2020-08-09 16:59:55+00:00,0,True,True,259,0,259,1,True,0,2020-08-10 01:41:50,2020
208,False,15,active,2020-08-09 17:32:05+00:00,0,True,True,260,0,260,0,True,0,2020-08-10 01:41:50,2020
209,False,5,active,2020-08-09 23:53:27+00:00,0,True,True,271,0,271,10,True,0,2020-08-10 01:41:50,2020
210,False,7,active,2020-08-09 20:36:59+00:00,0,True,True,272,1,272,11,True,0,2020-08-10 01:41:50,2020
211,False,22,active,2020-08-10 01:33:45+00:00,0,True,True,273,2,273,16,True,0,2020-08-10 01:41:50,2020
212,False,16,active,2020-08-10 00:08:11+00:00,0,True,True,279,0,279,3,True,0,2020-08-10 01:41:50,2020
213,False,6,active,2020-08-10 00:08:27+00:00,0,True,True,280,0,280,13,True,0,2020-08-10 01:41:50,2020
214,False,13,active,2020-08-10 01:37:13+00:00,0,True,True,282,0,282,2,True,0,2020-08-10 01:41:50,2020
215,False,9,active,2020-08-10 01:20:12+00:00,0,True,True,296,0,296,14,True,0,2020-08-10 01:41:50,2020
216,False,11,active,2020-08-10 01:37:49+00:00,0,True,True,318,0,318,8,True,0,2020-08-10 01:41:50,2020
217,False,7,active,2020-08-10 00:23:02+00:00,0,True,True,319,0,319,18,True,0,2020-08-10 01:41:50,2020
218,False,15,active,2020-08-09 22:52:21+00:00,0,True,True,327,0,327,0,True,0,2020-08-10 01:41:50,2020
219,False,10,active,2020-08-10 01:29:51+00:00,0,True,True,328,1,328,4,True,0,2020-08-10 01:41:50,2020
220,False,4,active,2020-08-10 01:21:01+00:00,0,True,True,329,0,329,11,True,0,2020-08-10 01:41:50,2020
221,False,9,active,2020-08-10 00:20:36+00:00,0,True,True,330,0,330,6,True,0,2020-08-10 01:41:50,2020
222,False,11,active,2020-08-10 01:25:45+00:00,0,True,True,331,0,331,4,True,0,2020-08-10 01:41:50,2020
223,False,14,active,2020-08-10 01:33:02+00:00,0,True,True,332,0,332,1,True,0,2020-08-10 01:41:50,2020
224,False,24,active,2020-08-10 00:20:59+00:00,0,True,True,333,0,333,1,True,0,2020-08-10 01:41:50,2020
