,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
261,True,3,370,0,True,0,active,True,16,370,2020-08-14 00:46:50+00:00,False,0,,,2020-08-14 00:52:45,2020
262,True,8,371,1,True,0,active,True,10,371,2020-08-14 00:46:40+00:00,False,0,,,2020-08-14 00:52:45,2020
263,True,9,372,0,True,0,active,True,10,372,2020-08-14 00:51:50+00:00,False,0,,,2020-08-14 00:52:45,2020
264,True,7,373,0,True,0,active,True,8,373,2020-08-13 23:54:13+00:00,False,0,,,2020-08-14 00:52:45,2020
265,True,3,374,0,True,0,active,True,16,374,2020-08-14 00:50:33+00:00,False,0,,,2020-08-14 00:52:45,2020
266,True,7,376,1,True,0,active,True,7,376,2020-08-14 00:51:37+00:00,False,0,,,2020-08-14 00:52:45,2020
267,True,15,377,0,True,0,active,True,4,377,2020-08-14 00:48:03+00:00,False,0,,,2020-08-14 00:52:45,2020
268,True,5,378,0,True,0,active,True,14,378,2020-08-14 00:37:43+00:00,False,0,,,2020-08-14 00:52:45,2020
269,True,12,379,0,True,0,active,True,3,379,2020-08-14 00:16:11+00:00,False,0,,,2020-08-14 00:52:45,2020
270,True,1,380,2,True,0,active,True,15,380,2020-08-14 00:40:38+00:00,False,0,,,2020-08-14 00:52:45,2020
271,True,7,381,1,True,0,active,True,11,381,2020-08-14 00:52:00+00:00,False,0,,,2020-08-14 00:52:45,2020
272,True,9,384,0,True,0,active,True,10,384,2020-08-14 00:30:51+00:00,True,0,,,2020-08-14 00:52:45,2020
273,True,1,385,0,True,1,active,True,13,385,2020-08-14 00:36:17+00:00,False,0,,,2020-08-14 00:52:45,2020
274,True,7,386,0,True,0,active,True,12,386,2020-08-14 00:42:20+00:00,False,0,,,2020-08-14 00:52:45,2020
275,True,12,387,1,True,0,active,True,2,387,2020-08-14 00:05:08+00:00,False,0,,,2020-08-14 00:52:45,2020
276,True,4,388,0,True,0,active,True,7,388,2020-08-13 03:25:23+00:00,False,0,,,2020-08-14 00:52:45,2020
277,True,13,389,0,True,0,active,True,1,389,2020-08-13 18:09:39+00:00,False,0,,,2020-08-14 00:52:45,2020
278,True,14,390,1,True,0,active,True,0,390,2020-08-13 22:51:42+00:00,False,0,,,2020-08-14 00:52:45,2020
279,True,12,391,0,True,0,active,True,3,391,2020-08-13 22:56:13+00:00,False,0,,,2020-08-14 00:52:45,2020
280,True,5,392,0,True,0,active,True,10,392,2020-08-13 14:33:25+00:00,False,0,,,2020-08-14 00:52:45,2020
281,True,6,393,1,True,0,active,True,8,393,2020-08-14 00:41:51+00:00,False,0,,,2020-08-14 00:52:45,2020
282,True,1,394,0,True,0,active,True,13,394,2020-08-13 07:51:20+00:00,False,0,,,2020-08-14 00:52:45,2020
