,num_bikes_available,eightd_has_available_keys,is_installed,station_status,num_docks_disabled,legacy_id,is_returning,num_docks_available,num_bikes_disabled,num_ebikes_available,is_renting,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
193,3,True,True,active,0,222,True,10,1,0,True,2020-08-20 14:54:47+00:00,222,,,2020-08-20 15:02:25,2020
194,9,False,True,active,0,224,True,6,2,0,True,2020-08-20 14:31:23+00:00,224,,,2020-08-20 15:02:25,2020
195,7,False,True,active,0,225,True,10,2,0,True,2020-08-20 14:40:42+00:00,225,,,2020-08-20 15:02:25,2020
196,8,False,True,active,0,226,True,7,0,0,True,2020-08-20 14:57:13+00:00,226,,,2020-08-20 15:02:25,2020
197,8,False,True,active,0,227,True,11,0,0,True,2020-08-20 14:51:55+00:00,227,,,2020-08-20 15:02:25,2020
198,2,False,True,active,0,228,True,17,0,0,True,2020-08-20 14:47:25+00:00,228,,,2020-08-20 15:02:25,2020
199,2,False,True,active,0,232,True,9,0,0,True,2020-08-20 08:55:09+00:00,232,,,2020-08-20 15:02:25,2020
200,15,False,True,active,0,233,True,0,0,0,True,2020-08-20 14:07:15+00:00,233,,,2020-08-20 15:02:25,2020
201,4,False,True,active,0,234,True,11,0,0,True,2020-08-20 13:31:47+00:00,234,,,2020-08-20 15:02:25,2020
202,8,False,True,active,0,235,True,7,0,0,True,2020-08-20 14:59:25+00:00,235,,,2020-08-20 15:02:25,2020
203,15,False,True,active,0,236,True,0,0,0,True,2020-08-20 14:49:19+00:00,236,,,2020-08-20 15:02:25,2020
204,3,False,True,active,0,239,True,11,1,0,True,2020-08-20 14:40:48+00:00,239,,,2020-08-20 15:02:25,2020
205,6,False,True,active,0,255,True,9,0,0,True,2020-08-19 14:52:54+00:00,255,,,2020-08-20 15:02:25,2020
206,10,False,True,active,0,258,True,5,0,0,True,2020-08-20 14:05:52+00:00,258,,,2020-08-20 15:02:25,2020
207,9,False,True,active,0,259,True,6,0,0,True,2020-08-20 08:49:49+00:00,259,,,2020-08-20 15:02:25,2020
208,6,False,True,active,0,260,True,9,0,0,True,2020-08-20 14:50:42+00:00,260,,,2020-08-20 15:02:25,2020
209,6,False,True,active,0,271,True,9,0,0,True,2020-08-20 13:58:59+00:00,271,,,2020-08-20 15:02:25,2020
210,10,False,True,active,0,272,True,9,0,0,True,2020-08-20 08:59:48+00:00,272,,,2020-08-20 15:02:25,2020
211,30,False,True,active,0,273,True,10,0,0,True,2020-08-20 14:55:59+00:00,273,,,2020-08-20 15:02:25,2020
