,is_returning,station_status,station_id,num_docks_disabled,num_ebikes_available,num_docks_available,is_installed,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,legacy_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
172,True,active,199,0,0,6,True,2020-08-21 18:06:25+00:00,False,0,9,199,True,,,2020-08-21 19:56:40,2020
173,True,active,200,0,0,1,True,2020-08-21 19:55:50+00:00,False,0,18,200,True,,,2020-08-21 19:56:40,2020
174,True,active,201,0,0,13,True,2020-08-21 12:22:54+00:00,False,0,2,201,True,,,2020-08-21 19:56:40,2020
175,True,active,202,0,0,12,True,2020-08-21 19:17:15+00:00,False,0,3,202,True,,,2020-08-21 19:56:40,2020
176,True,active,203,0,0,9,True,2020-08-21 12:45:21+00:00,False,0,6,203,True,,,2020-08-21 19:56:40,2020
177,True,active,204,0,0,9,True,2020-08-21 19:49:29+00:00,False,1,5,204,True,,,2020-08-21 19:56:40,2020
178,True,active,205,0,0,12,True,2020-08-21 17:31:24+00:00,False,0,3,205,True,,,2020-08-21 19:56:40,2020
179,True,active,206,0,0,17,True,2020-08-21 19:05:35+00:00,True,1,5,206,True,,,2020-08-21 19:56:40,2020
180,True,active,208,0,0,0,True,2020-08-21 18:47:52+00:00,True,1,14,208,True,,,2020-08-21 19:56:40,2020
181,True,active,209,0,0,9,True,2020-08-21 19:36:35+00:00,False,0,6,209,True,,,2020-08-21 19:56:40,2020
182,True,active,210,0,0,14,True,2020-08-21 19:55:14+00:00,False,0,1,210,True,,,2020-08-21 19:56:40,2020
183,True,active,211,0,0,9,True,2020-08-21 19:10:05+00:00,False,0,10,211,True,,,2020-08-21 19:56:40,2020
184,True,active,212,0,0,28,True,2020-08-21 19:37:42+00:00,False,1,4,212,True,,,2020-08-21 19:56:40,2020
185,True,active,213,0,0,10,True,2020-08-21 19:55:09+00:00,True,0,6,213,True,,,2020-08-21 19:56:40,2020
